tag,main_brand,product,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,url
pod-juice-salt-aloe-grape,Pod Juice Salt,Aloe Grape,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-juice-salt-aloe-grape
lost-mary-os5000-zero-blue-razz-ice-1,Lost Mary OS5000,Blue Razz Ice 0%,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/lost-mary-os5000-zero-blue-razz-ice-1
geek-bar-meloso-max-9000-apple-sunrise,,Apple Sunrise,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/geek-bar-meloso-max-9000-apple-sunrise
hqd-cuvie-plus-coconut-grove,HQD Cuvie Plus,Coconut Grove,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-plus-coconut-grove
packspod-5000-banana-flambe,,Banana Flambe (Arctic Banana),False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/packspod-5000-banana-flambe
packspod-5000-cucumber-menthol,,Cucumber Menthol,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/packspod-5000-cucumber-menthol
hyde-n-bar-dragon-fruit-lemonade,Hyde,Dragon Fruit Lemonade,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hyde-n-bar-dragon-fruit-lemonade
raz-tn9000-blue-raz-cotton-cloudz-1,,Blue Raz Cotton Cloudz,False,False,False,False,True,True,False,False,True,False,False,https://getpop.co/products/raz-tn9000-blue-raz-cotton-cloudz-1
hyde-n-bar-brazmallows,Hyde,Brazmallows,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hyde-n-bar-brazmallows
vgod-pod-1k-crisp-apple,VGOD Pod 1K,Crisp Apple,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/vgod-pod-1k-crisp-apple
smok-novo-bar-al6000-fresh-mint,SMOK,Fresh Mint,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/smok-novo-bar-al6000-fresh-mint
caliburn-a2-pods-0-9-ohm-4-pack,UWELL,Caliburn A2 Pods (0.9-ohm),False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/caliburn-a2-pods-0-9-ohm-4-pack
elf-bar-bc5000-clear,Elf Bar BC5000,Clear,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/elf-bar-bc5000-clear
modus-x-kado-bar-kb10000-cool-mint-1,,Cool Mint,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/modus-x-kado-bar-kb10000-cool-mint-1
air-bar-atron-5000-black-dragon-ice,,Black Dragon Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-atron-5000-black-dragon-ice
pod-5500-frozen-strawberry-guava,Pod 5500,Frozen Strawberry Guava,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-5500-frozen-strawberry-guava
hyppe-max-air-black-sakura,Hyppe Max Air 5000,Black Sakura,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/hyppe-max-air-black-sakura
kado-bar-br5000-chilled-red-apple,Kado Bar BR5000,Chilled Red Apple,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/kado-bar-br5000-chilled-red-apple
flum-pebble-6000-cuban-cigar,Flum Pebble 6000,Cuban Cigar,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/flum-pebble-6000-cuban-cigar
hyde-edge-recharge-dragonfruit-lemonade,Hyde,Dragonfruit Lemonade,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hyde-edge-recharge-dragonfruit-lemonade
orgnx-disposable-aloe-grape,ORGNX 4000,Aloe Grape,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/orgnx-disposable-aloe-grape
jam-monster-salt-blueberry-jam,,Blueberry Jam,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/jam-monster-salt-blueberry-jam
lucy-pouches-cinnamon,,Cinnamon,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/lucy-pouches-cinnamon
fume-ultra-blueberry-c-c,Fume Ultra 2500,Blueberry C C,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fume-ultra-blueberry-c-c
hqd-cuvie-bar-7000-cool-mint,HQD Cuvie Bar 7000,Cool Mint,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-bar-7000-cool-mint
hyde-edge-recharge-bananas-and-cream,Hyde,Bananas and Cream,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hyde-edge-recharge-bananas-and-cream
fruit-monster-salt-blueberry-raspberry-lemon,,Blueberry Raspberry Lemon,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/fruit-monster-salt-blueberry-raspberry-lemon
funky-republic-ti7000-cantaloupe-apple,,Cantaloupe Apple,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/funky-republic-ti7000-cantaloupe-apple
pod-5500-blue-razz-chew,Pod 5500,Blue Razz Chew,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-5500-blue-razz-chew
hyde-edge-rave-recharge-blue-razz-lemonade,Hyde,Blue Razz Lemonade,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hyde-edge-rave-recharge-blue-razz-lemonade
fume-pouches-coffee,,Coffee,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fume-pouches-coffee
handshake-15k-pod-cool-mint,,Cool Mint,False,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/handshake-15k-pod-cool-mint
tyson-round-2-blue-razz,,Blue Razz,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/tyson-round-2-blue-razz
fire-zero-5000-cool-mint,,Cool Mint 0%,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fire-zero-5000-cool-mint
lost-vape-orion-bar-7500-dragon-fruit-berry,Lost Vape Orion Bar 7500,Dragon Fruit Berry,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/lost-vape-orion-bar-7500-dragon-fruit-berry
fogx-box-6000-frozen-mint,Fog X Box 6000,Frozen Mint,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fogx-box-6000-frozen-mint
hyde-iq-recharge-apple-peach-watermelon,Hyde,Apple Peach Watermelon,True,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hyde-iq-recharge-apple-peach-watermelon
fume-ultra-banana-ice,Fume Ultra 2500,Banana Ice,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fume-ultra-banana-ice
air-bar-diamond-500-cool-mint,Air Bar Diamond 500,Cool Mint,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/air-bar-diamond-500-cool-mint
hqd-cuvie-air-banana-ice,HQD Cuvie,Banana Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-air-banana-ice
elf-bar-airo-max-5000-blue-razz-ice,Elf Bar Airo Max 5000,Blue Razz Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/elf-bar-airo-max-5000-blue-razz-ice
elf-bar-bc5000-blue-razz-lemon,Elf Bar BC5000,Blue Razz Lemon,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/elf-bar-bc5000-blue-razz-lemon
hyde-n-bar-banana-ice,Hyde,Banana Ice,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hyde-n-bar-banana-ice
zyn-chill,,Chill,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/zyn-chill
pod-5500-berry-lush-apple,Pod 5500,Berry Lush Apple,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-5500-berry-lush-apple
