tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
solaris-25k,Solaris 25K,False,False,False,False,False,True,False,False,False,False,False,https://perfectvape.com/solaris-25k/
true-story-20k,True Story 20K,False,False,False,False,False,True,False,False,True,True,False,https://perfectvape.com/true-story-20k/
drule-prime-5-2500,Drule Prime 5% Disposable 2500 Puffs,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/drule-prime-5-2500/
pacha-syn-3000,Pacha Syn Disposable 3000 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/pacha-syn-3000/
pacha-syn-1500,Pacha Syn Disposable 1500 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/pacha-syn-1500/
esco-bars-2500,Esco Bars Disposable 2500 Puffs,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/esco-bars-2500/
blvd-3k-3000,BLVD 3K Disposable 3000 Puffs,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/blvd-3k-3000/
hero-time-3800,HERO Time 11ML Rechargeable Disposable 3800 Puffs,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/hero-time-3800/
yoxy-sparkle-2000,YOXY Sparkle 2000,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/yoxy-sparkle-2000/
2027-date-7-2000,2027 Date 7 Disposable 2000 Puffs,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/2027-date-7-2000/
blow-xxl-1800,Blow XXL Disposable 1800 Puffs,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/blow-xxl-1800/
hitt-switch-2000,HITT Switch 2000 Disposable Vape,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/hitt-switch-2000/
suorin-air-bar-lux-galaxy-edition,Suorin Air Bar LUX GALAXY EDITION Disposable 1000 Puffs,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/suorin-air-bar-lux-galaxy-edition/
vaptio-beco-bar-xl-550,Vaptio Beco Bar XL Disposable 550 Puffs,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/vaptio-beco-bar-xl-550/
suorin-air-bar-diamond-500,Suorin Air Bar Diamond Disposable 500 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/suorin-air-bar-diamond-500/
ijoy-lio-bee-18-1500,IJOY LIO Bee 18 Disposable 1500 Puffs,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/ijoy-lio-bee-18-1500/
bolt-plus-1200,Bolt PLUS 1200 Disposable Vapes,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/bolt-plus-1200/
hitt-plus-700,HITT Plus 700 Disposable Vape - 380mAh,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/hitt-plus-700/
oro-vape-bar-300,ORO Vape Bar Disposable 300 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/oro-vape-bar-300/
mio-stix,MiO Stix Vape Disposable,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/mio-stix/
bolt-350,Bolt 5% Nicotine Disposable 350 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/bolt-350/
cali-bar-300,Cali Bar Disposable 300 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/cali-bar-300/
juice-head-cali-bars-300,Juice Head Cali Bars Disposable 300 Puffs,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/juice-head-cali-bars-300/
switch-stick,Switch Stick Disposable,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/switch-stick/
blow-stix-300,Blow Stix Disposable 300 Puffs,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/blow-stix-300/
voopoo-navi-cartridge-2pk,VOOPOO Navi Cartridge 2pk,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/voopoo-navi-cartridge-2pk/
geekvape-aegis-x-zeus-kit,GeekVape Aegis X Zeus Kit 200W,True,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/geekvape-aegis-x-zeus-kit/
sigelei-fuchai-t3-tank,Sigelei Fuchai T3 Tank,False,False,False,False,False,True,False,False,False,False,False,https://perfectvape.com/sigelei-fuchai-t3-tank/
rincoe-tix-pod-kit,Rincoe Tix Pod Kit,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/rincoe-tix-pod-kit/
loosie-twist-battery-1100mah,Loosie Twist Battery 1100mAh - 510 Thread Battery,True,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/loosie-twist-battery-1100mah/
geekvape-frenzy-kit,Geekvape Frenzy Kit - 0.7ohm NS Mesh Coil Pre-Installed,False,False,False,False,True,False,True,False,False,False,False,https://perfectvape.com/geekvape-frenzy-kit/
