tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
geekvape-t200-aegis-touch-kit-200w,Geekvape T200 (Aegis Touch) Kit 200W,True,True,True,False,True,False,True,False,False,False,False,https://vape.com/products/geekvape-t200-aegis-touch-kit-200w
smok-mag-18-kit,SMOK Mag 18 Kit,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/smok-mag-18-kit
geekvape-l200-aegis-legend-2-kit-200w,Geekvape L200 Aegis Legend 2 Kit 200w,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/geekvape-l200-aegis-legend-2-kit-200w
geekvape-max100-aegis-max-2-100w-kit,Geekvape Max100 (Aegis Max 2) 100w Kit,True,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/geekvape-max100-aegis-max-2-100w-kit
smok-morph-3-box-mod-kit,SMOK Morph 3 Box Mod Kit,False,False,False,False,False,True,False,False,False,False,False,https://vape.com/products/smok-morph-3-box-mod-kit
smok-priv-n19-30w-kit,SMOK Priv N19 30W Kit,True,False,False,False,True,False,True,False,False,False,False,https://vape.com/products/smok-priv-n19-30w-kit
dovpo-lightsaber-pod-mod-kit,Dovpo Lightsaber Pod Mod Kit,False,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/dovpo-lightsaber-pod-mod-kit
lost-vape-thelema-mini-kit-45w-ub-lite-tank,Lost Vape Thelema Mini Kit 45W (UB Lite Tank),False,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/lost-vape-thelema-mini-kit-45w-ub-lite-tank
voopoo-drag-x-80w-pod-mod-kit,VooPoo Drag X 80w Pod Mod Kit,False,False,False,False,True,True,True,False,False,False,False,https://vape.com/products/voopoo-drag-x-80w-pod-mod-kit
voopoo-drag-h40-kit,Voopoo Drag H40 Kit,True,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/voopoo-drag-h40-kit
