tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
priv-bar-turbo,Priv Bar Turbo-famous Dr. Pepper Flavor-Alaskan Mint-14 Assorted Flavors,False,False,False,False,True,False,False,False,False,False,False,https://vapewh.com/products/priv-bar-turbo
raz-ca6000-alaskan-mint-disposable-vape-6000-puffs,Raz CA6000 Alaskan Mint Disposable Vape 6000 Puffs,False,True,False,False,True,False,False,False,False,False,False,https://vapewh.com/products/raz-ca6000-alaskan-mint-disposable-vape-6000-puffs
ijoy-bar-sd22000-disposable,iJoy SD 22000 Disposable Vape 22k Puffs With 5% Nicotine,True,False,False,False,True,False,False,False,False,False,False,https://vapewh.com/products/ijoy-bar-sd22000-disposable
captain-10000-ijoy,iJoy Captain 10000 Vape | Free Shipping,False,True,False,False,True,True,False,False,False,False,False,https://vapewh.com/products/captain-10000-ijoy
ijoy-taijizen-judo-24000-blue-strawberry-coconut,iJoy TaijiZen Judo 24000 | Blue Strawberry Coconut,True,False,True,False,True,False,False,False,False,False,False,https://vapewh.com/products/ijoy-taijizen-judo-24000-blue-strawberry-coconut
geek-bar-pulse,Geek Bar Pulse Vape,False,True,False,False,True,True,False,False,False,False,False,https://vapewh.com/products/geek-bar-pulse
realio-vape-2-strawberry-banana,REALIO 2% | Strawberry Banana | NOT Icy| Rechargeable,False,False,False,False,False,False,False,False,False,False,False,https://vapewh.com/products/realio-vape-2-strawberry-banana
realio-vape-2-peach-watermelon,REALIO 2% | Peach Watermelon | NOT Icy| Rechargeable,False,False,False,False,False,False,False,False,False,False,False,https://vapewh.com/products/realio-vape-2-peach-watermelon
raz-ca6000-miami-mint,Raz CA6000 | Miami Mint,False,True,False,False,True,False,False,False,False,False,False,https://vapewh.com/products/raz-ca6000-miami-mint
fifty-bar-disposable-vape-5-blueberry-super-strudel,Blueberry Super Strudel,False,False,False,False,True,True,False,False,False,False,False,https://vapewh.com/products/fifty-bar-disposable-vape-5-blueberry-super-strudel
ijoy-sd-22000-disposable-froze-strawberry-cream,iJoy SD 22000 Disposable | Froze Strawberry Cream,True,False,False,False,True,False,False,False,False,False,False,https://vapewh.com/products/ijoy-sd-22000-disposable-froze-strawberry-cream
fuji-ice-bc5000,Fuji Ice BC5000,False,False,False,False,True,True,False,False,False,False,False,https://vapewh.com/products/fuji-ice-bc5000
