tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
winter-mint-lost-mary-mt15000-turbo,Winter Mint LOST MARY MT15000 TURBO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/winter-mint-lost-mary-mt15000-turbo
2-0-replacement-pods,2.0 Replacement Pods,False,False,False,False,False,True,False,False,False,False,False,https://vaping.com/products/2-0-replacement-pods
mint-tobacco-elf-bar-5000,Mint Tobacco BC5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/mint-tobacco-elf-bar-5000
white-grape-ice-spaceman-10k-pro,White Grape Ice - Spaceman 10K PRO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/white-grape-ice-spaceman-10k-pro
smok-novo-3,SMOK Novo 3,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/smok-novo-3
smok-novo-4,SMOK Novo 4,True,False,False,False,True,False,True,False,False,False,False,https://vaping.com/products/smok-novo-4
strawberry-watermelon-lost-mary-os5000-luster-edition,STRAWBERRY WATERMELON LOST MARY OS5000 LUSTER EDITION,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/strawberry-watermelon-lost-mary-os5000-luster-edition
banana-cake-spaceman-10k-pro,Banana Cake - Spaceman 10K PRO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/banana-cake-spaceman-10k-pro
banana-milkshake-flonq-max-smart,Banana Milkshake FLONQ Max Smart,False,False,False,False,False,False,True,False,False,False,False,https://vaping.com/products/banana-milkshake-flonq-max-smart
blue-mint-geek-bar-pulse,Blue Mint Geek Bar Pulse,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/blue-mint-geek-bar-pulse
juicy-rainbow-ice-spaceman-10k-pro,Juicy Rainbow Ice - Spaceman 10K PRO,False,True,False,False,True,True,False,False,False,False,False,https://vaping.com/products/juicy-rainbow-ice-spaceman-10k-pro
strawberry-banana-funky-republic-ti7000-1,Strawberry Banana Funky Republic Ti7000,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/strawberry-banana-funky-republic-ti7000-1
berry-burst-lost-mary-mt15000-turbo-thermal-edition,Berry Burst LOST MARY MT15000 TURBO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/berry-burst-lost-mary-mt15000-turbo-thermal-edition
smok-novo-4-mini,SMOK Novo 4 Mini,False,False,False,False,True,False,True,False,False,False,False,https://vaping.com/products/smok-novo-4-mini
cantaloupe-apple-funky-republic-ti7000-1,Cantaloupe Apple Funky Republic Ti7000,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/cantaloupe-apple-funky-republic-ti7000-1
yummy-lost-mary-mo5000,Yummy Lost Mary MO5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/yummy-lost-mary-mo5000
clear-flum-pebble,Clear FLUM Pebble,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/clear-flum-pebble
blue-razz-ice-geek-bar-pulse,Blue Razz Ice Geek Bar Pulse,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/blue-razz-ice-geek-bar-pulse
elf-bar-bc5000-zero-sampler-pack,BC5000 ZERO Sampler Pack,False,False,False,False,True,False,False,False,False,False,False,https://vaping.com/products/elf-bar-bc5000-zero-sampler-pack
berry-cake-spaceman-prism-20k,Berry Cake SPACEMAN Prism 20K,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/berry-cake-spaceman-prism-20k
blueberry-zimo-pouches-2,Blueberry - ZIMO Pouches,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/blueberry-zimo-pouches-2
black-mint-spaceman-10k-pro,Black Mint - Spaceman 10K PRO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/black-mint-spaceman-10k-pro
cranberry-punch-elf-bar-5000,Cranberry Puncher BC5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/cranberry-punch-elf-bar-5000
geekvape-l200-aegis-legend-2-kit,GeekVape L200 Aegis Legend 2 Kit,True,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/geekvape-l200-aegis-legend-2-kit
triple-strawberry-spaceman-prism-20k,Triple Strawberry SPACEMAN Prism 20K,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/triple-strawberry-spaceman-prism-20k
black-cherry-geek-bar-pulse,Black Cherry Geek Bar Pulse,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/black-cherry-geek-bar-pulse
