title,brand,product,skunumber,price,description,eliquid_contents,nicotine_level,puffs_per_device,puffs_per_device_normal,battery,flavor_options,coil,led,dual_tank,smart_led,turbo,disposable_vape_battery,charging_dock,full_led_screen,power_mode_setting,airflow,operation,url
OXBAR X POD JUICE SVOPP BATTERY,OXBAR,OXBAR X POD JUICE SVOPP BATTERY,,$6.99,"The OXBAR x Pod Juice SVOPP Battery provides versatile performance with its 1100mAh capacity and six adjustable wattage levels ranging from 11W to 30W, giving users control over their vaping experience. Designed with convenience in mind, this draw-activated battery includes a digital display for easy wattage adjustments and a USB Type-C charging port for quick recharges. Enhanced with child lock settings, it adds an extra layer of safety. Compatible with SVOPP Pods (sold separately), this battery unit combines power, customization, and safety in a sleek Midnight Black finish.
OXBAR X POD JUICE SVOPP BATTERY FEATURES:
• BATTERY CAPACITY: 1100mAh
• OPERATION: Draw-Activated
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• 6 Wattage Levels - 11W | 13W | 15W | 22W | 26W | 30W
• Child Lock Settings
• Requires SVOPP Pod to Vape (Sold Separately)
INCLUDES:
• 1 OXBAR x Pod Juice SVOPP Battery
AVAILABLE OPTIONS:
• Midnight Black
This product can expose you to chemicals, including beta-myrcene and Δ9-Tetrahydrocannabinol (THC), which are known to the State of California to cause cancer, birth defects, or other reproductive harm.
Strain type, cannabinoid composition, and terpenes used in formulation are subject to change without notice from the manufacturer.",,,,,1100mAh,Midnight Black,,yes,,no,,1100mAh,USB Type-C,yes,,,Draw-Activated,https://www.elementvape.com/oxbar-svopp-battery
ADJUST MYCOOL 40K DISPOSABLE,FIND BRAND,ADJUST MYCOOL 40K DISPOSABLE,,$20.99,"Shop the Adjust MyCool 40K Disposable, featuring a 20mL prefilled capacity, adjustable coolness, and delivers up to 40000 puffs of amazing flavor.
ADJUST MYCOOL 40K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 20mL
• BATTERY CAPACITY: 850mAh
• MAX PUFFS: 40,000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Dual-Firing | Draw or Button
• HEATING ELEMENT: Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: Digital Display
• CHARGING: USB Type-C
• Adjustable Coolness (5 Levels)
INCLUDES:
• 1 Adjust MyCool 40K Disposable
AVAILABLE OPTIONS:
• Baja Splash
• Blue Razz Ice
• Cherry Fuse
• Cherry Strazz
• Dragon Strawnana
• Mango Magic
• Miami Mint
• Peach+
• Scary Berry
• Sour Apple Ice
• Sour Lush Gummy
• Sour Strawberry Dragonfruit
• Summer Splash
• Tigers Blood
• Watermelon Ice
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",20mL,5% (50mg),"40,000","40,000",850mAh,"Baja Splash, Blue Razz Ice, Cherry Fuse, Cherry Strazz, Dragon Strawnana, Mango Magic, Miami Mint, Peach+, Scary Berry, Sour Apple Ice, Sour Lush Gummy, Sour Strawberry Dragonfruit, Summer Splash, Tigers Blood, Watermelon Ice",Mesh Coils,yes,,no,,850mAh,USB Type-C,yes,,Adjustable,Dual-Firing | Draw or Button,//www.elementvape.com/adjust-mycool-40k-disposable
FASTA BURRST 35K DISPOSABLE,FASTA BURRST,FASTA BURRST 35K DISPOSABLE,,$14.99,"Discover the Fasta Burrst 35K Disposable, featuring an 18mL tank with a 7mL support tank that features fizzy or iced elements, 35K puff delivery, and an advanced dual mesh coil. With two tanks, each Fasta Burrst Disposable offers a more chilled or more fizzy variant of the flavor loaded into the 7mL support tank. Firing a pair of mesh coils, the Fasta Burrst develops flavor quickly and intensely, bombing the taste buds with meticulously crafted flavor.
FASTA BURRST 35K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 18mL + 7mL Support Tank
• BATTERY CAPACITY: 850mAh
• MAX PUFFS: 35,000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: 2.7"" Full Size Screen
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
• Flavor Changing Technology
• 3-Mode Power Switch
• Frozen and Soda Options
INCLUDES:
• 1 Fasta Burrst 35K Disposable
AVAILABLE OPTIONS:
• Blue Razz Ice
• Blueberry Watermelon
• Fcuking Fab
• Grape B-Pop
• Juicy Peach Ice
• Lime Cucumber
• Lime Sparkle
• Matcha Cake
• Meta Moon
• Mexico Mango
• Miami Mint
• Peach Mango Watermelon
• Sour Apple Ice
• Strawberry Banana
• Watermelon Ice
• White Grape
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",18mL + 7mL Support Tank,5% (50mg),"35,000","35,000",850mAh,"Blue Razz Ice, Blueberry Watermelon, Fcuking Fab, Grape B-Pop, Juicy Peach Ice, Lime Cucumber, Lime Sparkle, Matcha Cake, Meta Moon, Mexico Mango, Miami Mint, Peach Mango Watermelon, Sour Apple Ice, Strawberry Banana, Watermelon Ice, White Grape",Dual Mesh Coils,yes,,no,,850mAh,USB Type-C,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/fasta-burrst-35k-disposable
PILLOW TALK IC40000 DISPOSABLE,PILLOW TALK,PILLOW TALK IC40000 DISPOSABLE,,$16.99,"Shop the Pillow Talk IC40K Disposable, featuring adjustable ice levels, dual neo mesh coils, indicator screen with touch button, and offers up to 40000 puffs.
PILLOW TALK IC40000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 20mL
• BATTERY CAPACITY: 700mAh
• MAX PUFFS: 40000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual Neo Mesh Coils
• AIRFLOW: MTL
• DISPLAY SCREEN: Touch Button Indicator Screen
• CHARGING: USB Type-C
• Battery Life Indicator
• 4 Adjustable Ice Levels - No Ice | Low Ice | Medium Ice | Ice Unleashed
INCLUDES:
• 1 Pillow Talk IC40K Disposable
AVAILABLE OPTIONS:
• Black Cherry
• Blue Razz Ice
• Blueberry Watermelon
• Fcuking Fab
• Grape B-Pop
• Juicy Peach Ice
• Miami Mint
• Orange Creamsicle
• Pink Lemonade
• Sour Apple Ice
• Strawberry Banana
• Strawberry Kiwi
• Strawberry Mango
• Watermelon Ice
• White Gummy Ice
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",20mL,5% (50mg),40000,40000,700mAh,"Black Cherry, Blue Razz Ice, Blueberry Watermelon, Fcuking Fab, Grape B-Pop, Juicy Peach Ice, Miami Mint, Orange Creamsicle, Pink Lemonade, Sour Apple Ice, Strawberry Banana, Strawberry Kiwi, Strawberry Mango, Watermelon Ice, White Gummy Ice",Dual Neo Mesh Coils,yes,,no,,700mAh,USB Type-C,yes,,MTL,Draw-Activated,https://www.elementvape.com/pillow-talk-ic40k
DOJO SPHERE X 40K DISPOSABLE,FIND BRAND,DOJO SPHERE X 40K DISPOSABLE,,$17.99,"Shop the DOJO Sphere X 40K Disposable powered by Vaporesso, featuring a 20mL prefilled capacity, quad mesh coils, and the world's first 360° surround screen for the vaping industry.
DOJO SPHERE X 40K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 20mL
• BATTERY CAPACITY: 1100mAh
• MAX PUFFS: 40,000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Quad Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: 360° Surround Screen
• CHARGING: Type-C Cable
INCLUDES:
• 1 DOJO Sphere X 40K Disposable
AVAILABLE OPTIONS:
• Berry Blast Triad
• Blue Star
• Fresh Berry Orange
• Fresh Splash
• Frozen Grapefruit
• Grape Mojo
• Hawaii Dream
• Miami Mint
• Pink Lemonade
• Strawberry Slam Dunk
• Tropical Bomb
• Watermelon Ice
• Wintergreen Mint
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",20mL,5% (50mg),"40,000","40,000",1100mAh,"Berry Blast Triad, Blue Star, Fresh Berry Orange, Fresh Splash, Frozen Grapefruit, Grape Mojo, Hawaii Dream, Miami Mint, Pink Lemonade, Strawberry Slam Dunk, Tropical Bomb, Watermelon Ice, Wintergreen Mint",Quad Mesh Coils,yes,,no,,1100mAh,Type-C Cable,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/dojo-sphere-x
JNR MEDIA MAX 40K DISPOSABLE,JNR,JNR MEDIA MAX 40K DISPOSABLE,,$14.99,"Check out the JNR Media Max 40K Disposable, featuring a 21mL prefilled capacity, 20-40K puff delivery, two firing modes, and offers long-lasting performance without any refills or maintenance.
JNR MEDIA MAX 40K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 21mL
• BATTERY CAPACITY: 1000mAh
• MAX PUFFS: 20K (Pulse Mode) | 40K (Regular Mode)
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual Mesh Coils
• AIRFLOW: Fixed
• DISPLAY SCREEN: HD Display Screen
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 JNR Media MAX 40K Disposable
AVAILABLE OPTIONS:
• Blue Razz Ice
• Blueberry Watermelon
• Cherry Strawberry Raspberry
• Fcuking Fab
• Miami Mint
• Peach Mango Watermelon
• Sour Apple Ice
• Strawberry Banana
• Strawberry Ice
• Watermelon Ice
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",21mL,5% (50mg),20K (Pulse Mode) | 40K (Regular Mode),40K (Regular Mode),1000mAh,"Blue Razz Ice, Blueberry Watermelon, Cherry Strawberry Raspberry, Fcuking Fab, Miami Mint, Peach Mango Watermelon, Sour Apple Ice, Strawberry Banana, Strawberry Ice, Watermelon Ice",Dual Mesh Coils,yes,,no,,1000mAh,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/jnr-media-max-40k-disposable
HQD CUVIE X 25000 DISPOSABLE,FIND BRAND,HQD CUVIE X 25000 DISPOSABLE,,$15.99,"Discover the HQD Cuvie X 25K Disposable, featuring a 28mL prefilled capacity, 1.3ohm Dual Mesh Coils, and offers 3 firing modes with touch control functionality.
HQD CUVIE X 25000 DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 28mL
• BATTERY CAPACITY: 850mAh
• MAX PUFFS: 25,000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: 1.3ohm Dual Mesh Coils
• AIRFLOW: Fixed
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
• 3 Power Modes - Soft | Regular | Boost
• Touch Control
INCLUDES:
• 1 HQD Cuvie X 25000 Disposable
AVAILABLE OPTIONS:
• Black Dragonfruit
• Black Ice
• Blue Raspberry Grape
• Blue Raspberry Lemon
• Cherry Lemon
• Clear
• Dragon Candy
• Grape
• Kiwi Watermelon
• Lush Ice
• Miami Mint
• Mix Berries
• Raspberry Watermelon Lemon
• Straw Raspberry Gummy
• Strawberry Raspberry Ice
• Tobacco
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",28mL,5% (50mg),"25,000","25,000",850mAh,"Black Dragonfruit, Black Ice, Blue Raspberry Grape, Blue Raspberry Lemon, Cherry Lemon, Clear, Dragon Candy, Grape, Kiwi Watermelon, Lush Ice, Miami Mint, Mix Berries, Raspberry Watermelon Lemon, Straw Raspberry Gummy, Strawberry Raspberry Ice, Tobacco",1.3ohm Dual Mesh Coils,yes,,no,,850mAh,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/hqd-cuvie-x
HIDDEN HILLS X FIFTY BAR 20K DISPOSABLE,HIDDEN HILLS,HIDDEN HILLS X FIFTY BAR 20K DISPOSABLE,,$16.99,"Check out the Hidden Hills x Fifty Bar 20K Disposable, featuring 16mL Hidden Hill-made nicotine salts, active e-liquid and battery life monitoring, and comes packed in American-made Fifty Bar Hardware.
HIDDEN HILLS X FIFTY BAR 20K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 16mL
• BATTERY CAPACITY: Integrated Battery
• MAX PUFFS: 20000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Mesh Coil
• AIRFLOW: Fixed
• DISPLAY SCREEN: Digital Display
• CHARGING: USB Type-C
• Battery Life Indicator
• E-Liquid Level Indicator
INCLUDES:
• 1 Hidden Hills x Fifty Bar 20K Disposable
AVAILABLE OPTIONS:
• Hawaiian Nectar - A wonderful fusion of passionfruit, guava, and orange.
• Honeyberry Cream - Sweet velvety cream infused with honeydew and a splash of strawberry.
• Lava Blast - Captivate the taste buds with a trifecta of mango, pineapple, and peach.
• Pink Sour Straws - Enjoy the flavor of vibrant pink lemonade in gummy straw form.
• Vanilla Bean Tobacco - Made just for tobacco lovers, Vanilla Bean Tobacco infuses creamy Madagascar vanilla.
• Yeti Mint- Enjoy the gust of the Himalayas with minty peppermint flavor.
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",16mL,5% (50mg),20000,20000,Integrated Battery,"Hawaiian Nectar - A wonderful fusion of passionfruit, guava, and orange., Honeyberry Cream - Sweet velvety cream infused with honeydew and a splash of strawberry., Lava Blast - Captivate the taste buds with a trifecta of mango, pineapple, and peach., Pink Sour Straws - Enjoy the flavor of vibrant pink lemonade in gummy straw form., Vanilla Bean Tobacco - Made just for tobacco lovers, Vanilla Bean Tobacco infuses creamy Madagascar vanilla., Yeti Mint- Enjoy the gust of the Himalayas with minty peppermint flavor.",Mesh Coil,yes,,no,,Integrated Battery,USB Type-C,yes,,Fixed,Draw-Activated,https://www.elementvape.com/hidden-hills-x-fifty-bar-20k-disposable
FEED SYNC 30K DISPOSABLE,FIND BRAND,FEED SYNC 30K DISPOSABLE,,$14.99,"Check out the Feed Sync 30K Disposable, featuring a 25mL prefilled capacity, 850mAh battery, 30K puff delivery, and dual NEO mesh coils to deliver outstanding flavor and vapor.
FEED SYNC 30K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 25mL
• BATTERY CAPACITY: 850mAh
• MAX PUFFS: 30,000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: Dual Neo Mesh Coils
• AIRFLOW: Adjustable
• DISPLAY SCREEN: Digital
• CHARGING: USB Type-C
• Syncs with Mobile
• Vaping Time Tracker
• Camera Control
• Social Media Notifications
• Call Functions
• Phone Locator
• 4 Power Modes
INCLUDES:
• 1 Feed Sync 30K Disposable
AVAILABLE OPTIONS:
• Cherry Blossom Grape
• Cola Ice
• Grapevine Quench
• Green Apple Watermelon
• Icy Mint
• Mango Fiesta
• Melon Ice
• Mystic Blue Mint
• Pacific Blue Melon
• Peach Ice
• Purple Haze
• Sugar Teddy
• Two Apple
• Watermelon Ice
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",25mL,5% (50mg),"30,000","30,000",850mAh,"Cherry Blossom Grape, Cola Ice, Grapevine Quench, Green Apple Watermelon, Icy Mint, Mango Fiesta, Melon Ice, Mystic Blue Mint, Pacific Blue Melon, Peach Ice, Purple Haze, Sugar Teddy, Two Apple, Watermelon Ice",Dual Neo Mesh Coils,yes,,no,,850mAh,USB Type-C,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/feed-sync-30k-disposable
IJOY URANUS MATE 40K DISPOSABLE,IJOY,IJOY URANUS MATE 40K DISPOSABLE,,$14.99,"Shop the iJoy URANUS Mate 40K Disposable, featuring a 20mL prefilled capacity, dual mesh coils, and innovative adjustable nicotine and ice control features.
iJOY URANUS MATE 40K DISPOSABLE FEATURES:
• PREFILLED CAPACITY: 20mL
• BATTERY CAPACITY: 1100mAh
• MAX PUFFS: 40,000
• NICOTINE STRENGTH: 5% (50mg)
• OPERATION: Draw-Activated
• HEATING ELEMENT: 0.4ohm Mesh Coil + 1.4ohm Mesh Coil
• AIRFLOW: Adjustable
• DISPLAY SCREEN: Digital
• Nicotine Control
• Ice Control
INCLUDES:
• 1 iJoy URANUS Mate 40K Disposable
AVAILABLE OPTIONS:
• Blue Razz
• Blueberry Watermelon
• Cotton Candy
• Grape Blow Pop
• Juicy Peach
• Mexico Mango
• OMG Pop
• Pink Lemonade
• Raspberry Watermelon
• Sour Apple
• Spearmint
• Strawberry
• Strawberry Mango
• Watermelon
• White Gummy
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Disclaimer: Both rechargeable (Li-ion, LiPo) and non-rechargeable batteries carry inherent risks. ElementVape.com, its parent companies, and subsidiaries are not liable for any damage, injury, or defects, whether direct or indirect, resulting from the use, misuse, mishandling, or improper storage of batteries, chargers, or devices.",20mL,5% (50mg),"40,000","40,000",1100mAh,"Blue Razz, Blueberry Watermelon, Cotton Candy, Grape Blow Pop, Juicy Peach, Mexico Mango, OMG Pop, Pink Lemonade, Raspberry Watermelon, Sour Apple, Spearmint, Strawberry, Strawberry Mango, Watermelon, White Gummy",0.4ohm Mesh Coil + 1.4ohm Mesh Coil,yes,,no,,1100mAh,,yes,,Adjustable,Draw-Activated,https://www.elementvape.com/ijoy-uranus-mate
