title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
PANCAKE MAN - DOUBLE BERRY BY BREAKFAST CLASSICS - 100ML,FIND BRAND,PANCAKE MAN - DOUBLE BERRY BY BREAKFAST CLASSICS - 100ML,$13.99,"Check out Double Berry by Pancake Man, capturing the flavors of a fresh stack of buttered pancakes enhanced with mixed berries and a fat dollop of cream.
PANCAKE MAN - DOUBLE BERRY BY BREAKFAST CLASSICS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/double-berry-pancake-man
PIXIE DIP - NOMS 100 BY NOMENON - 100ML,FIND BRAND,PIXIE DIP - NOMS 100 BY NOMENON - 100ML,$13.99,"Enjoy Pixie Dip by Nomenon E-liquids, featuring a magical eJuice blend featuring the vibrant flavors of sweet sugary grape that is a recreation of the Purple Pixy Stix candy.
PIXIE DIP - NOMS 100 BY NOMENON - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 Pixie Dip - Noms 100 by Nomenon - 100mL
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/pixie-dip-nomenon
GUAVA MANGO PEACH - NOMS 100 BY NOMENON - 100ML,FIND BRAND,GUAVA MANGO PEACH - NOMS 100 BY NOMENON - 100ML,$14.99,"Check out Guava Mango Peach by Nomenon E-Liquid, blending together luscious guava, juicy peaches, tantalizing mango, and smooth refreshing cream to captivate the senses.
GUAVA MANGO PEACH - NOMS 100 BY NOMENON - 100ML FEATURES:
• BOTTLE CAPACITY: 120mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 120mL Chubby Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/guava-peach-mango-cream-nomenon
MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML,SUICIDE BUNNY,MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML,$10.99,"Shop Mother's Milk and Cookies by Suicide Bunny Salts, a nicotine salt blend of sweet creamy milk coupled with delicious cookie flavors for a tantalizing eJuice.
MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Moither's Milk and Cookies - Suicide Bunny Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 40mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mothers-milk-and-cookies-suicide-bunny-salts
MADRINA - SUICIDE BUNNY SALTS - 30ML,SUICIDE BUNNY,MADRINA - SUICIDE BUNNY SALTS - 30ML,$10.99,"Discover Madrina by Suicide Bunny Salts, capturing the flavors of summertime melons enhanced with a dollop of smooth cream within this nicotine salt blend.
MADRINA - SUICIDE BUNNY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Madrina - Suicide Bunny Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 40mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/madrina-suicide-bunny-salts
SUCKER PUNCH - SUICIDE BUNNY SALTS - 30ML,SUICIDE BUNNY,SUCKER PUNCH - SUICIDE BUNNY SALTS - 30ML,$10.99,"Check out Sucker Punch by Suicide Bunny Salts, a nicotine salt blend featuring exotic dragon fruit flavors coupled with a splash of smooth velvety cream.
SUCKER PUNCH - SUICIDE BUNNY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Sucker Punch - Suicide Bunny Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 40mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/sucker-punch-suicide-bunny-salts
MOTHER'S MILK - SUICIDE BUNNY SALTS - 30ML,SUICIDE BUNNY,MOTHER'S MILK - SUICIDE BUNNY SALTS - 30ML,$10.99,"Discover Mother's Milk by Suicide Bunny Salts, capturing a blend of sweet vine-ripened strawberries and smooth creamy milk to create a delectable nicotine salt.
MOTHER'S MILK - SUICIDE BUNNY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Mother's Milk - Suicide Bunny Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 40mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mothers-milk-suicide-bunny-salts
VANILLA ALMOND CUSTARD - THE FINEST CRÈME DE LA CRÈME - 120ML,FIND BRAND,VANILLA ALMOND CUSTARD - THE FINEST CRÈME DE LA CRÈME - 120ML,$14.99,"Discover Vanilla Almond Custard by The Finest E-Liquid, from the Creme De La Creme Collection, featuring vanilla, toasted almonds, and smooth custard.
The Finest E-Liquid - Vanilla Almond Custard Features:
2 x 60mL Unicorn Bottle
Child Resistant Cap
70% VG
30% PG
Made in USA
Available nicotine: 0mg, 3mg, 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",,,,,,https://www.elementvape.com/vanilla-almond-custard-finest
STRAWBERRY MILK - MOO SALTS - 30ML,FIND BRAND,STRAWBERRY MILK - MOO SALTS - 30ML,$10.99,"Shop the Strawberry Milk by Moo Salts, a nicotine salt blend of delicious sweet strawberries coupled with refreshing milk to add a creamy dimension.
STRAWBERRY MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/strawberry-milk-moo-salts
VANILLA ALMOND MILK - MOO SALTS - 30ML,FIND BRAND,VANILLA ALMOND MILK - MOO SALTS - 30ML,$10.99,"Dive into a bottle of Vanilla Almond Milk by Moo Salts, a nicotine salt blend of smooth creamy almond milk that tantalizes the taste buds with nutty flavor.
VANILLA ALMOND MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/vanilla-almond-milk-moo-salts
