tag,title,brand,link,price,summary,image_url,image_urls,description,warning_description,package_contents_description,ingredients_description,key_features_description,flavors_description,specifications_description,performance_description,disposable_description,why_description,innovation_description,preference_description,enjoyment_description,compatibility_description,coil_description,battery_description,puffs_description,nicotine_description,e_liquid_description,prefilled_description,devices_description,airflow_description,heating_element_description,operation_description,charging_description,screen_description,links_description,colors_description,returns_description,options_description,size_description,pods_description,hardware_description,wattage_description,faqs_description,disposable,rechargeable,battery,mesh,usb,adjustable
solaris-25k,Solaris 25K,SOLARIS,https://perfectvape.com/solaris-25k/,$13.95,"SOLARIS 25K DISPOSABLE VAPE SOLAR CHARGING
Approximate Puffs: ~25,000 Puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Rechargeable USB Type-C
Dual Mesh Coil
Solar Charging 
Boost Mode
Adjustable Airflow",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2537/9014/images__57298.1715789992.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2537/9014/images__57298.1715789992.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2537/9015/solaris-solar-powered-disposable-ecigs-wholesale-vape-distribution__95966.1715790119.jpg?c=2']","SOLARIS 25K DISPOSABLE VAPE SOLAR CHARGING

Approximate Puffs: ~25,000 Puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Rechargeable USB Type-C
Dual Mesh Coil
Solar Charging
Boost Mode
Adjustable Airflow
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE
true-story-20k,True Story 20K,TRUE STORY,https://perfectvape.com/true-story-20k/,$13.75,"TRUE STORY 20K DISPOSABLE VAPE
Approximate Puffs: ~20,000 Puffs 
Adjustable Modes: A - ~20,000 Puffs, B - ~15,000 Puffs, C - ~10,000 Puffs
E-Liquid Capacity: 20ml
Nicotine: 5% | 50mg
Rechargeable
Air Flow Control
Mega Clear Tank
Mega Dual...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2536/9017/tsflavors__83705.1715790234.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2536/9017/tsflavors__83705.1715790234.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2536/9016/true-story-specification__32012.1715790184.jpg?c=2']","TRUE STORY 20K DISPOSABLE VAPE

Approximate Puffs: ~20,000 Puffs
Adjustable Modes: A - ~20,000 Puffs, B - ~15,000 Puffs, C - ~10,000 Puffs
E-Liquid Capacity: 20ml
Nicotine: 5% | 50mg
Rechargeable
Air Flow Control
Mega Clear Tank
Mega Dual Mesh Coil
Mega HD Animated Screen
First Adjustable Puff Device
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,TRUE,,
drule-prime-5-2500,Drule Prime 5% Disposable 2500 Puffs,Drule Vape Pens,https://perfectvape.com/drule-prime-5-2500/,$7.00,"CAPACITY:8 ML E-LIQUID
UP TO:~2500 PUFFS
BATTERY:1000 MAH
INNER PACK:10 PCS
SALT NICOTINE: 5% | 50mg
MASTER PACK:300 PCS",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2271/7451/drule-prime-5percent-2500__66157.1713328022.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2271/7451/drule-prime-5percent-2500__66157.1713328022.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2271/6582/drule-prime-5percent-2500__18699.1713328022.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2271/6496/drule-prime-5percent-2500__99029.1713328022.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2271/7486/drule-prime-5percent-2500__94130.1713328022.jpg?c=2']","CAPACITY:8 ML E-LIQUID
UP TO:~2500 PUFFS
BATTERY:1000 MAH
INNER PACK:10 PCS
SALT NICOTINE: 5% | 50mg
MASTER PACK:300 PCS
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
pacha-syn-3000,Pacha Syn Disposable 3000 Puffs,Pachamama Disposable Vapes,https://perfectvape.com/pacha-syn-3000/,$9.97,Imagine a taste like you’ve never experienced before. The innovative team at PACHA Syn has combined their award winning flavors with cutting-edge technology in order to produce a revolutionary and satisfying experience. This 8 ml capacity...,https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2225/7659/pachamama-pacha-syn-3000__48580.1713327890.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2225/7659/pachamama-pacha-syn-3000__48580.1713327890.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2225/6668/pachamama-pacha-syn-3000__35834.1713327890.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2225/7069/pachamama-pacha-syn-3000__85794.1713327890.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2225/8048/pachamama-pacha-syn-3000__24347.1713327890.jpg?c=2']","Imagine a taste like you’ve never experienced before. The innovative team at PACHA Syn has combined their award winning flavors with cutting-edge technology in order to produce a revolutionary and satisfying experience. This 8 ml capacity disposable device is available in 8 unique and delightful flavors, each featuring the taste-enhancing benefits of synthetic nicotine and quick-heating, long-lasting mesh coils to get the most out of every puff.
TFN | Tobacco-Free Nicotine
Approximately 3000 puffs
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,
pacha-syn-1500,Pacha Syn Disposable 1500 Puffs,Pachamama Disposable Vapes,https://perfectvape.com/pacha-syn-1500/,$7.86,"The 1500 puff disposable device takes all of your favorite flavors, to-go. Compact and long-lasting with our proprietary 4ml tank gives you full-bodied flavor through every puff.
TFN | Tobacco-Free Nicotine",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2224/7854/pachamama-pacha-syn-1500__63555.1713327889.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2224/7854/pachamama-pacha-syn-1500__63555.1713327889.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2224/7555/pachamama-pacha-syn-1500__83897.1713327889.jpg?c=2']","The 1500 puff disposable device takes all of your favorite flavors, to-go. Compact and long-lasting with our proprietary 4ml tank gives you full-bodied flavor through every puff.
TFN | Tobacco-Free Nicotine
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
esco-bars-2500,Esco Bars Disposable 2500 Puffs,Esco Bars Disposable Vapes,https://perfectvape.com/esco-bars-2500/,$8.62,"The Esco Bars by Pastel Cartel has arrived! Limited Edition Carsonator, Fruitia, and Ripe collection all here.
Approximate Puffs: 2500
E-Liquid Capacity: 6ml
Nioctine: 5%| 50mg
Battery: 100mAh
Mesh Coil",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2210/7600/esco-bars-esco-bars-2500__04263.1713327862.jpg?c=2,[],"The Esco Bars by Pastel Cartel has arrived! Limited Edition Carsonator, Fruitia, and Ripe collection all here.
Approximate Puffs: 2500
E-Liquid Capacity: 6ml
Nioctine: 5%| 50mg
Battery: 100mAh
Mesh Coil
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,
blvd-3k-3000,BLVD 3K Disposable 3000 Puffs,BLVD Disposable Vapes,https://perfectvape.com/blvd-3k-3000/,$8.30,"BLVD 3K DISPOSABLE VAPE
Approximate Puffs: 3000
Juice Capacity: 8ml
Coil: 1.0 Mesh
Battery: 1100mAh
Nicotine: 5% | 50mg 
Tobacco Free Nicotine",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2207/6198/blvd-3k-3000__97056.1713327860.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2207/6897/blvd-3k-3000__16888.1713327860.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2207/6198/blvd-3k-3000__97056.1713327860.jpg?c=2']","BLVD 3K DISPOSABLE VAPE

Approximate Puffs: 3000
Juice Capacity: 8ml
Coil: 1.0 Mesh
Battery: 1100mAh
Nicotine: 5% | 50mg
Tobacco Free Nicotine
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,
hero-time-3800,HERO Time 11ML Rechargeable Disposable 3800 Puffs,HERO Disposable Vapes and E-Liquids,https://perfectvape.com/hero-time-3800/,$8.44,"HERO TIME DISPOSABLE Capacity: 11ml Approximate Puffs: 3800 Nicotine: 5% | 50mg Battery: 850mAh Adjustable Airflow Rechargeable Ingredients: Vegetable glycerin, propylene glycol, natural/artificial flavoring, nicotine 5mg (5%) Compatible Micro USB...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2175/7093/hero-time-3800__31958.1713327831.jpg?c=2,[],"HERO TIME DISPOSABLE

Capacity: 11ml
Approximate Puffs: 3800
Nicotine: 5% | 50mg
Battery: 850mAh
Adjustable Airflow
Rechargeable
Ingredients: Vegetable glycerin, propylene glycol, natural/artificial flavoring, nicotine 5mg (5%)
Compatible Micro USB Charger:
Hyde USB Charger
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE
yoxy-sparkle-2000,YOXY Sparkle 2000,YOXY Disposable Vapes,https://perfectvape.com/yoxy-sparkle-2000/,$7.27,"Unique effect, the bottom airflow ring adjusts the size of the airflow, a cigarette can have a different experience. The surging amount of fog, strong battery life, the ergonomic design of the suction nozzle, that is, smoke is inhaled, and the...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2166/6066/yoxy-sparkle-2000__73952.1713327818.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/6066/yoxy-sparkle-2000__73952.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/6782/yoxy-sparkle-2000__10072.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7111/yoxy-sparkle-2000__28818.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/6867/yoxy-sparkle-2000__90596.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7948/yoxy-sparkle-2000__61484.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7468/yoxy-sparkle-2000__67971.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7319/yoxy-sparkle-2000__44679.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/6229/yoxy-sparkle-2000__44725.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7169/yoxy-sparkle-2000__48646.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/6248/yoxy-sparkle-2000__29928.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/6756/yoxy-sparkle-2000__09412.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7023/yoxy-sparkle-2000__40382.1713327818.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2166/7479/yoxy-sparkle-2000__17208.1713327818.jpg?c=2']","Unique effect, the bottom airflow ring adjusts the size of the airflow, a cigarette can have a different experience. The surging amount of fog, strong battery life, the ergonomic design of the suction nozzle, that is, smoke is inhaled, and the atomization speed is fast. Carefully selected flavors, there is always one to meet your needs.
Approximate Puffs: 2000
E-Liquid Capacity: 5.0ml
Battery Capacity: 1300mah
Resistance: 1.8ohm
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
2027-date-7-2000,2027 Date 7 Disposable 2000 Puffs,"Suorin Disposable Vapes, Pods and More",https://perfectvape.com/2027-date-7-2000/,$7.93,"2027 DATE 7 DISPOSABLE VAPE
Approximate puffs: 2000
Nicotine strength: 5% | 50mg
E-Liquid capacity: 6.5ml
Battery: 1250mAh",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2164/6797/suorin-2027-date-7-2000__91162.1713327816.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2164/6797/suorin-2027-date-7-2000__91162.1713327816.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2164/6358/suorin-2027-date-7-2000__40579.1713327816.jpg?c=2']","2027 DATE 7 DISPOSABLE VAPE

Approximate puffs: 2000
Nicotine strength: 5% | 50mg
E-Liquid capacity: 6.5ml
Battery: 1250mAh
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,
