title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
BLUE RAZZ - FUME SALTS - 30ML,FIND BRAND,BLUE RAZZ - FUME SALTS - 30ML,$11.99,"Blue Razz - Fume Salts delivers a refreshing blend of juicy blueberry and tart raspberry, offering a balanced and flavorful vape perfect for fruit lovers. This 30mL e-liquid is crafted with a 50/50 VG/PG ratio, providing smooth vapor production and rich taste. Available in a 50mg nicotine salt formulation, it ensures a satisfying hit with each puff. Ideal for those who enjoy a fruity, sweet vape with a hint of tartness, Blue Razz captures the essence of summer berries in every draw.
BLUE RAZZ - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Blueberry | Raspberry
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Blue Razz - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/fume-vape-blue-razz-salts
MIAMI MIX - FUME SALTS - 30ML,FIND BRAND,MIAMI MIX - FUME SALTS - 30ML,$11.99,"Miami Mix - Fume Salts combines a tantalizing array of fruits, blending the juicy flavors of watermelon, raspberry, blackberry, and kiwi with a cool hint of mint for a truly refreshing vape experience. This 30mL e-liquid is crafted with a balanced 50/50 VG/PG ratio, ensuring both rich flavor and smooth vapor production. Available at a 50mg nicotine salt strength, Miami Mix offers a satisfying hit with each puff, making it the perfect choice for those who love a fruity, tropical escape. Enjoy the taste of a Miami summer with every draw from this bold and invigorating vape juice.
MIAMI MIX - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Watermelon | Raspberry | Blackberry | Kiwi | Mint
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Miami Mix - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/fume-vape-miami-mix-salts
GRAPE SLUSHY - FUME SALTS - 30ML,FIND BRAND,GRAPE SLUSHY - FUME SALTS - 30ML,$11.99,"Grape Slushy - Fume Salts delivers a cool and fruity vape experience with the rich flavor of grape, reminiscent of a classic frozen slushy. This 30mL e-liquid is formulated with a balanced 50/50 VG/PG ratio for smooth vapor production and is crafted with nicotine salts for a satisfying hit at a 50mg strength. Perfect for fans of fruity beverages, Grape Slushy provides a delightful escape into the sweet and refreshing world of grape slushies, making every puff as enjoyable as your favorite icy treat.
GRAPE SLUSHY - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Beverage | Grape | Slushy
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Grape Slushy - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/fume-vape-grape-slushy-salts
LUSH MINT - FUME SALTS - 30ML,FIND BRAND,LUSH MINT - FUME SALTS - 30ML,$11.99,"Lush Mint - Fume Salts combines the juicy flavor of ripe watermelon with a crisp, cooling mint, delivering a balanced and invigorating vape. This 30mL e-liquid offers a 50/50 VG/PG ratio for smooth vapor production and is formulated with nicotine salts for a satisfying hit at a 50mg strength. Perfect for fruit and menthol lovers alike, Lush Mint provides a refreshing, fruity experience that leaves a cool minty sensation in every puff.
LUSH MINT - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Watermelon | Mint
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Lush Mint - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/fume-vape-lush-mint-salts
BLACK ICE - HQD SALTS - 30ML,FIND BRAND,BLACK ICE - HQD SALTS - 30ML,$11.99,"Black Ice - HQD Salts delivers an invigorating combination of dark blackberry and icy menthol, ideal for those who enjoy a crisp and fruity vape. This 30mL e-liquid features a balanced 50/50 VG/PG ratio, offering both rich flavor and smooth vapor. Formulated with nicotine salts, it provides a satisfying hit and is available in a 20mg strength. Perfect for menthol enthusiasts who love fruity undertones, Black Ice delivers a chilling and flavorful experience in each puff.
BLACK ICE - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Blackberry | Menthol
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Black Ice - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-black-ice-salts
GRAPEY - HQD SALTS - 30ML,FIND BRAND,GRAPEY - HQD SALTS - 30ML,$11.99,"Grapey - HQD Salts captures the essence of sweet blue grapes, offering a bold and flavorful vape for fruit enthusiasts. This 30mL e-liquid, formulated with a balanced 50/50 VG/PG ratio, provides both rich flavor and smooth vapor production. Designed with nicotine salts and available in a 20mg strength, Grapey ensures a satisfying and mellow hit with every puff. Perfect for those who love the natural sweetness of grapes, this e-liquid brings a refreshing and fruity sensation to each vape session.
GRAPEY - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Blue Grape
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Grapey - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-grapey-salts
STRAWBERRY BANANA - HQD SALTS - 30ML,FIND BRAND,STRAWBERRY BANANA - HQD SALTS - 30ML,$11.99,"Strawberry Banana - HQD Salts delivers the perfect blend of ripe strawberry and creamy banana flavors, ideal for fruit lovers seeking a smooth and delicious vape. This 30mL e-liquid comes with a balanced 50/50 VG/PG ratio, providing rich flavor and satisfying vapor production. Crafted with nicotine salts and available in a 20mg strength, it ensures a gentle and enjoyable hit with every puff. Whether you’re drawn to the sweetness of strawberry or the mellow notes of banana, this vape juice offers a refreshing escape into a classic fruit duo.
STRAWBERRY BANANA - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Strawberry | Banana
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Strawberry Banana - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/hqd-technology-strawberry-banana-salts
ORANGE SODA - HQD SALTS - 30ML,FIND BRAND,ORANGE SODA - HQD SALTS - 30ML,$11.99,"Orange Soda - HQD Salts delivers a lively and refreshing vaping experience that combines the sweet and tangy essence of oranges with the fizzy delight of soda. This 30mL e-liquid features a balanced 50/50 VG/PG ratio, providing both full-bodied flavor and smooth vapor. Crafted with nicotine salts, it offers a satisfying hit and is available in a 20mg strength, making it perfect for those who enjoy the vibrant taste of citrus beverages. With each puff, Orange Soda - HQD Salts brings you the zesty flavor of an orange soda, perfect for an uplifting, fruity vape session.
ORANGE SODA - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Beverage | Orange | Soda
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Orange Soda - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-orange-soda-salts
BLUEBERRY LEMONADE - HQD SALTS - 30ML,FIND BRAND,BLUEBERRY LEMONADE - HQD SALTS - 30ML,$11.99,"Blueberry Lemonade - HQD Salts combines the sweet and tart flavors of ripe blueberries with a cool burst of freshly squeezed lemonade, perfect for those who enjoy a vibrant and fruity vape. This 30mL e-liquid offers a balanced 50/50 VG/PG ratio, delivering both robust flavor and smooth vapor production. Formulated with nicotine salts, it provides a satisfying hit, available in 20mg and 50mg strengths. Ideal for fruit flavor enthusiasts, this vape juice captures the refreshing essence of a favorite summer beverage, making each puff an uplifting experience.
BLUEBERRY LEMONADE - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Beverage | Blueberry | Lemonade
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Blueberry Lemonade - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-blueberry-lemonade-salts
BLACK DRAGON - HQD SALTS - 30ML,FIND BRAND,BLACK DRAGON - HQD SALTS - 30ML,$11.99,"Black Dragon - HQD Salts offers a unique and flavorful vaping experience that combines the rich sweetness of blackberry with the refreshing and tropical notes of dragonfruit. This blend is crafted with a balanced 50/50 VG/PG ratio, enhancing both flavor intensity and vapor production. Ideal for fruit lovers, this e-liquid comes in a 30mL unicorn bottle with nicotine salt formulation available in 20mg and 50mg strengths, ensuring a satisfying and smooth hit every time. Dive into a lush, fruity escape with every draw from Black Dragon - HQD Salts.
BLACK DRAGON - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Blackberry | Dragonfruit
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Black Dragon - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/hqd-technology-black-dragon-salts
