title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
GRAPE SLUSHY - FUME SALTS - 30ML,FIND BRAND,GRAPE SLUSHY - FUME SALTS - 30ML,$11.99,"Grape Slushy - Fume Salts delivers a cool and fruity vape experience with the rich flavor of grape, reminiscent of a classic frozen slushy. This 30mL e-liquid is formulated with a balanced 50/50 VG/PG ratio for smooth vapor production and is crafted with nicotine salts for a satisfying hit at a 50mg strength. Perfect for fans of fruity beverages, Grape Slushy provides a delightful escape into the sweet and refreshing world of grape slushies, making every puff as enjoyable as your favorite icy treat.
GRAPE SLUSHY - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Beverage | Grape | Slushy
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Grape Slushy - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/fume-vape-grape-slushy-salts
ORANGE SODA - HQD SALTS - 30ML,FIND BRAND,ORANGE SODA - HQD SALTS - 30ML,$11.99,"Orange Soda - HQD Salts delivers a lively and refreshing vaping experience that combines the sweet and tangy essence of oranges with the fizzy delight of soda. This 30mL e-liquid features a balanced 50/50 VG/PG ratio, providing both full-bodied flavor and smooth vapor. Crafted with nicotine salts, it offers a satisfying hit and is available in a 20mg strength, making it perfect for those who enjoy the vibrant taste of citrus beverages. With each puff, Orange Soda - HQD Salts brings you the zesty flavor of an orange soda, perfect for an uplifting, fruity vape session.
ORANGE SODA - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Beverage | Orange | Soda
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Orange Soda - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-orange-soda-salts
BLUEBERRY LEMONADE - HQD SALTS - 30ML,FIND BRAND,BLUEBERRY LEMONADE - HQD SALTS - 30ML,$11.99,"Blueberry Lemonade - HQD Salts combines the sweet and tart flavors of ripe blueberries with a cool burst of freshly squeezed lemonade, perfect for those who enjoy a vibrant and fruity vape. This 30mL e-liquid offers a balanced 50/50 VG/PG ratio, delivering both robust flavor and smooth vapor production. Formulated with nicotine salts, it provides a satisfying hit, available in 20mg and 50mg strengths. Ideal for fruit flavor enthusiasts, this vape juice captures the refreshing essence of a favorite summer beverage, making each puff an uplifting experience.
BLUEBERRY LEMONADE - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Beverage | Blueberry | Lemonade
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Blueberry Lemonade - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-blueberry-lemonade-salts
STRAWBERRY LEMONADE - ELF VPR120 - 120ML,ELF,STRAWBERRY LEMONADE - ELF VPR120 - 120ML,$14.99,"Discover Strawberry Lemonade by ELF VPR120, capturing the incredible flavor of sweet strawberries muddled into a tall glass of refreshing lemonade.
STRAWBERRY LEMONADE - ELF VPR120 - 120ML FEATURES:
• BOTTLE CAPACITY: 120mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 120mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/strawberry-lemonade-elf-vpr120
FIZZY COLA BLAST - POD MONSTER SALTS - 60ML,FIND BRAND,FIZZY COLA BLAST - POD MONSTER SALTS - 60ML,$11.99,"Discover Fizzy Cola Blast by Pod Monster Salts, a nicotine salt blend that incorporates your favorite soda, exploding with effervescence to tickle the taste buds.
FIZZY COLA BLAST - POD MONSTER SALTS - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",60mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/fizzy-cola-blast-pod-monster-salts
STRAWBERRY PINA ICE - FUYL SALTS - 30ML,FUYL,STRAWBERRY PINA ICE - FUYL SALTS - 30ML,$10.99,"Shop Strawberry Pina Ice by FUYL Salts, a tantalizing nicotine salt blend featuring smooth coconut cream, tropical pineapples, and vine-ripened strawberries with menthol.
STRAWBERRY PINA ICE - FUYL SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
• Approximately 9000 Puffs Per Bottle
• Powered by Vape Dinner Lady
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 25mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/strawberry-pina-ice-fuyl-salts
BLUE RAZZ LEMONADE - FUYL SALTS - 30ML,FUYL,BLUE RAZZ LEMONADE - FUYL SALTS - 30ML,$10.99,"Check out Blue Razz Lemonade by FUYL Salts, captivating the tongue with tangy lemonade and muddled blue raspberry puree to create a vibrant nicotine salt.
BLUE RAZZ LEMONADE - FUYL SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
• Approximately 9000 Puffs Per Bottle
• Powered by Vape Dinner Lady
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 25mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%%,50%,Nicotine Salts,USA,https://www.elementvape.com/blue-razz-lemonade-fuyl-salts
STRAWBERRY PINA ICE - FUYL - 100ML,FUYL,STRAWBERRY PINA ICE - FUYL - 100ML,$14.99,"Shop Strawberry Pina Ice by FUYL, revamping the classic pina colada with sweet strawberries, creamy coconut, and pineapple touched with menthol.
STRAWBERRY PINA ICE - FUYL - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
• Powered by Vape Dinner Lady
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-pina-ice-fuyl
BLUE RAZZ LEMONADE - FUYL - 100ML,FUYL,BLUE RAZZ LEMONADE - FUYL - 100ML,$13.99,"Check out Blue Razz Lemonade by FUYL, captivating the taste buds with dazzling notes of tart lemonade coupled with tangy blue raspberry.
BLUE RAZZ LEMONADE - FUYL - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
• Powered by Vape Dinner Lady
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/blue-razz-lemonade-fuyl
MILKY LOOPS - THE ONE - BEARD VAPE - 100ML,FIND BRAND,MILKY LOOPS - THE ONE - BEARD VAPE - 100ML,$13.99,"Savor the nostalgic delight of Milky Loops by The One, a creamy fusion of fruity cereal loops and rich milk, delivering a smooth and satisfying vaping experience of reminiscent mornings. From the creators at Beard Vape Co.
MILKY LOOPS - THE ONE - BEARD VAPE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MANUFACTURED BY: Beard Vape Co.
INCLUDES:
• 1 Milky Loops - The One - Beard Vape - 100mL
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,,https://www.elementvape.com/milky-loops-the-one
