title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
PANCAKE MAN - BOYSENBERRY BY BREAKFAST CLASSICS SALTS - 30ML,FIND BRAND,PANCAKE MAN - BOYSENBERRY BY BREAKFAST CLASSICS SALTS - 30ML,$10.99,"Explore Boysenberry by The Pancake Man, featuring a freshly griddled stack of pancakes topped with blackberries and raspberries, followed by a dollop of cream.
PANCAKE MAN - BOYSENBERRY BY BREAKFAST CLASSICS SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt Formulation
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt Formulation,USA,https://www.elementvape.com/boysenberry-pancake-man-salts
GLAZED DONUT - DONUT SLAM SALTS - 30ML,FIND BRAND,GLAZED DONUT - DONUT SLAM SALTS - 30ML,$10.99,"Experience the Glazed Donut by Donut Slam Salts, a 30mL e-liquid that captures the decadent flavor of a classic glazed donut fresh out of the oven. Each puff delivers the rich, buttery sweetness of the dough, perfectly complemented by a warm vanilla glaze that melts in your mouth. As you exhale, a subtle, sugary finish lingers, making every vape as satisfying as biting into a freshly baked treat. Formulated with nicotine salts for a smooth, potent hit, this e-liquid is available in 30mg or 50mg strengths, offering an indulgent dessert-like experience that's perfect for satisfying your sweet tooth. Crafted with care in the USA, Donut Slam brings the irresistible taste of a bakery favorite straight to your vape.
GLAZED DONUT - DONUT SLAM SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Glazed Donut - Donut Slam Salts - 30mL
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/glazed-donut-donut-slam-salts-30ml
STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML,POD JUICE,STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML,$10.99,"Discover Strawberry Glazed Donut by Pod Juice Salts x RAZ, featuring sweet strawberries, creamy icing glaze, and freshly baked donuts in nicotine salt form.
STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 20mg
• 35mg
• 55mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt,USA,https://www.elementvape.com/strawberry-glazed-donut-pod-juice-raz-salts
STRAWBERRY GLAZED DONUT - POD JUICE X RAZ E-LIQUID - 100ML,POD JUICE,STRAWBERRY GLAZED DONUT - POD JUICE X RAZ E-LIQUID - 100ML,$13.99,"Check out Strawberry Glazed Donut by Pod Juice x RAZ, featuring a delicious baked confectionary vape, that mimics a warm strawberry jelly-filled donut.
STRAWBERRY GLAZED DONUT - POD JUICE X RAZ E-LIQUID - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-glazed-donut-pod-juice-raz
MILKY LOOPS - THE ONE - BEARD VAPE - 100ML,FIND BRAND,MILKY LOOPS - THE ONE - BEARD VAPE - 100ML,$13.99,"Savor the nostalgic delight of Milky Loops by The One, a creamy fusion of fruity cereal loops and rich milk, delivering a smooth and satisfying vaping experience of reminiscent mornings. From the creators at Beard Vape Co.
MILKY LOOPS - THE ONE - BEARD VAPE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MANUFACTURED BY: Beard Vape Co.
INCLUDES:
• 1 Milky Loops - The One - Beard Vape - 100mL
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,,https://www.elementvape.com/milky-loops-the-one
PIXIE DIP - NOMS 100 BY NOMENON - 100ML,FIND BRAND,PIXIE DIP - NOMS 100 BY NOMENON - 100ML,$13.99,"Enjoy Pixie Dip by Nomenon E-liquids, featuring a magical eJuice blend featuring the vibrant flavors of sweet sugary grape that is a recreation of the Purple Pixy Stix candy.
PIXIE DIP - NOMS 100 BY NOMENON - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 Pixie Dip - Noms 100 by Nomenon - 100mL
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/pixie-dip-nomenon
GLAZED DONUT BLUEBERRY - POD JUICE - 100ML,POD JUICE,GLAZED DONUT BLUEBERRY - POD JUICE - 100ML,$13.99,"Check out Glazed Donut Blueberry by Pod Juice, capturing a blend of freshly baked donuts sprinkled with sweet decadent blueberries bursting with flavor.
GLAZED DONUT BLUEBERRY - POD JUICE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
• 12mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/glazed-donut-blueberry-pod-juice
STRAWBERRY MILK - MOO SALTS - 30ML,FIND BRAND,STRAWBERRY MILK - MOO SALTS - 30ML,$10.99,"Shop the Strawberry Milk by Moo Salts, a nicotine salt blend of delicious sweet strawberries coupled with refreshing milk to add a creamy dimension.
STRAWBERRY MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/strawberry-milk-moo-salts
VANILLA ALMOND MILK - MOO SALTS - 30ML,FIND BRAND,VANILLA ALMOND MILK - MOO SALTS - 30ML,$10.99,"Dive into a bottle of Vanilla Almond Milk by Moo Salts, a nicotine salt blend of smooth creamy almond milk that tantalizes the taste buds with nutty flavor.
VANILLA ALMOND MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/vanilla-almond-milk-moo-salts
COFFEE MILK - MOO SALTS - 30ML,FIND BRAND,COFFEE MILK - MOO SALTS - 30ML,$10.99,"Check out Coffee Milk by Moo Salts, captivating the tongue and taste buds with notes of bold coffee coupled with a splash of refreshingly creamy milk.
COFFEE MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/coffee-milk-moo-salts
