title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
MIAMI MIX - FUME SALTS - 30ML,FIND BRAND,MIAMI MIX - FUME SALTS - 30ML,$11.99,"Miami Mix - Fume Salts combines a tantalizing array of fruits, blending the juicy flavors of watermelon, raspberry, blackberry, and kiwi with a cool hint of mint for a truly refreshing vape experience. This 30mL e-liquid is crafted with a balanced 50/50 VG/PG ratio, ensuring both rich flavor and smooth vapor production. Available at a 50mg nicotine salt strength, Miami Mix offers a satisfying hit with each puff, making it the perfect choice for those who love a fruity, tropical escape. Enjoy the taste of a Miami summer with every draw from this bold and invigorating vape juice.
MIAMI MIX - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Watermelon | Raspberry | Blackberry | Kiwi | Mint
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Miami Mix - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/fume-vape-miami-mix-salts
LUSH MINT - FUME SALTS - 30ML,FIND BRAND,LUSH MINT - FUME SALTS - 30ML,$11.99,"Lush Mint - Fume Salts combines the juicy flavor of ripe watermelon with a crisp, cooling mint, delivering a balanced and invigorating vape. This 30mL e-liquid offers a 50/50 VG/PG ratio for smooth vapor production and is formulated with nicotine salts for a satisfying hit at a 50mg strength. Perfect for fruit and menthol lovers alike, Lush Mint provides a refreshing, fruity experience that leaves a cool minty sensation in every puff.
LUSH MINT - FUME SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Watermelon | Mint
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Lush Mint - Fume Salts - 30mL
AVAILABLE OPTIONS:
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/fume-vape-lush-mint-salts
BLACK ICE - HQD SALTS - 30ML,FIND BRAND,BLACK ICE - HQD SALTS - 30ML,$11.99,"Black Ice - HQD Salts delivers an invigorating combination of dark blackberry and icy menthol, ideal for those who enjoy a crisp and fruity vape. This 30mL e-liquid features a balanced 50/50 VG/PG ratio, offering both rich flavor and smooth vapor. Formulated with nicotine salts, it provides a satisfying hit and is available in a 20mg strength. Perfect for menthol enthusiasts who love fruity undertones, Black Ice delivers a chilling and flavorful experience in each puff.
BLACK ICE - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Fruit | Blackberry | Menthol
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Black Ice - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-black-ice-salts
SKY MINT - HQD SALTS - 30ML,FIND BRAND,SKY MINT - HQD SALTS - 30ML,$11.99,"Sky Mint - HQD Salts offers a refreshing blend that brings together the sweet flavor of candy with the cool, crisp sensation of minty gum. This 30mL e-liquid is crafted with a balanced 50/50 VG/PG ratio, ensuring a smooth inhale and a satisfying vapor. Formulated with nicotine salts and available in a 20mg strength, it provides a soothing and enjoyable hit. Sky Mint is perfect for those who appreciate the invigorating taste of mint and the sweetness of candy, delivering a flavorful escape with every puff.
SKY MINT - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Candy | Mint | Gum
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Sky Mint - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,//www.elementvape.com/hqd-technology-sky-mint-salts
MIXED BERRY ICE - BETTER SALT BY VAPETASIA - 30ML,VAPETASIA,MIXED BERRY ICE - BETTER SALT BY VAPETASIA - 30ML,$10.99,"Shop Mixed Berry Ice by Better Salt, captivating the taste buds with the flavor of fresh berries combined with a blast of chilling menthol to revitalize the tongue.
MIXED BERRY ICE - BETTER SALT BY VAPETASIA - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt Formulation
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 25mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt Formulation,USA,https://www.elementvape.com/mixed-berry-ice-better-salt-vapetasia
MIAMI MINT - BETTER SALT BY VAPETASIA - 30ML,VAPETASIA,MIAMI MINT - BETTER SALT BY VAPETASIA - 30ML,$10.99,"Discover Miami Mint by Better Salt by Vapetasia, capturing the vivid flavor of rejuvenating mint combined with light citrus notes for a tantalizing blend.
MIAMI MINT - BETTER SALT BY VAPETASIA - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt Formulation
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 25mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt Formulation,USA,https://www.elementvape.com/miami-mint-better-salt-vapetasia
FRESH MINT - BETTER SALT BY VAPETASIA - 30ML,VAPETASIA,FRESH MINT - BETTER SALT BY VAPETASIA - 30ML,$10.99,"Check out Fresh Mint by Better Salt by Vapetasia, featuring notes of refreshing mint mixed into a potent nicotine salt blend that will revitalize the taste buds.
FRESH MINT - BETTER SALT BY VAPETASIA - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt Formulation
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 25mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt Formulation,USA,https://www.elementvape.com/fresh-mint-better-salt-vapetasia
TROPICAL FRUIT - ELF VPR3000 SALTS - 30ML,ELF,TROPICAL FRUIT - ELF VPR3000 SALTS - 30ML,$11.99,"Discover Tropical Fruit by ELF VPR3000 Salts, mixing various tropical fruits from exotic lands that come together to create a tasty nicotine salt.
TROPICAL FRUIT - ELF VPR3000 SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/tropical-fruit-elf-vpr3000-salts
PEACH GRAPE MANGO - ELF VPR3000 SALTS - 30ML,ELF,PEACH GRAPE MANGO - ELF VPR3000 SALTS - 30ML,$10.99,"Shop Peach Grape Mango by ELF VPR3000 Salts, blending together luscious peaches, tasty grapes, and tropical mangoes for a tropical nicotine salt.
PEACH GRAPE MANGO - ELF VPR3000 SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/peach-grape-mango-elf-vpr3000-salts
MANGO ICE - ELF VPR3000 SALTS - 30ML,ELF,MANGO ICE - ELF VPR3000 SALTS - 30ML,$11.99,"Check out Mango Ice by ELF VPR3000 Salts, a nicotine salt blend of luscious mangoes dripping with sweet nectar to create a tropical nicotine salt.
MANGO ICE - ELF VPR3000 SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mango-ice-elf-vpr3000-salts
