title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
NUTS TOBACCO - HQD SALTS - 30ML,FIND BRAND,NUTS TOBACCO - HQD SALTS - 30ML,$11.99,"Nuts Tobacco - HQD Salts delivers a distinctive and layered flavor profile, blending the warmth of roasted almond, a touch of minty freshness, and the robust undertones of tobacco. This e-liquid is formulated with a balanced 50/50 VG/PG ratio, making it perfect for those who appreciate a complex, nutty tobacco flavor with a refreshing twist. Available in a 30mL unicorn bottle, it comes in 20mg and 50mg nicotine salt strengths for a satisfying, smooth inhale every time. Nuts Tobacco - HQD Salts offers a refined and flavorful option for tobacco enthusiasts seeking a unique vape.
NUTS TOBACCO - HQD SALTS - 30ML FEATURES:
• FLAVOR PROFILE: Almond | Mint | Tobacco
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Nuts Tobacco - HQD Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/hqd-technology-nuts-tobacco-salts
VANILLA ALMOND CUSTARD - THE FINEST CRÈME DE LA CRÈME - 120ML,FIND BRAND,VANILLA ALMOND CUSTARD - THE FINEST CRÈME DE LA CRÈME - 120ML,$14.99,"Discover Vanilla Almond Custard by The Finest E-Liquid, from the Creme De La Creme Collection, featuring vanilla, toasted almonds, and smooth custard.
The Finest E-Liquid - Vanilla Almond Custard Features:
2 x 60mL Unicorn Bottle
Child Resistant Cap
70% VG
30% PG
Made in USA
Available nicotine: 0mg, 3mg, 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",,,,,,https://www.elementvape.com/vanilla-almond-custard-finest
VANILLA ALMOND MILK - MOO SALTS - 30ML,FIND BRAND,VANILLA ALMOND MILK - MOO SALTS - 30ML,$10.99,"Dive into a bottle of Vanilla Almond Milk by Moo Salts, a nicotine salt blend of smooth creamy almond milk that tantalizes the taste buds with nutty flavor.
VANILLA ALMOND MILK - MOO SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/vanilla-almond-milk-moo-salts
BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop the Blackberry Granola Bar by Yogi, taking notes of ripe blackberries baked into a hearty granola bar base that will excite the taste buds.
BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/blackberry-granola-bar-yogi
BOSS RESERVE - CUTTWOOD SALTS - 30ML,CUTTWOOD,BOSS RESERVE - CUTTWOOD SALTS - 30ML,$10.99,"Discover Boss Reserve by Cuttwood Salts, mixing together notes of graham crackers, sweet milk, bananas, and nutty clusters in a nicotine salt blend.
BOSS RESERVE - CUTTWOOD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/boss-reserve-cuttwood-salts
MYSTERY E-LIQUID 100/200ML PACK,FIND BRAND,MYSTERY E-LIQUID 100/200ML PACK,$11.99,"The perfect gift for any vaping enthusiasts or those looking to try new fun flavors, members of the Element Vape community can pick up a Mystery E-Liquid Bag containing premium e-liquid(s) at a  low price in a variety of size option - 100mL & 200mL. These randomly chosen bottles are sure to be a pleasant surprise. No cherry picking, as this would not be a mystery if you knew what you would be getting. The only thing definite is that you will receive some of the industry's most popular and best e-juices at incredible value.
Simply select your desired Mystery Bag size in the drop down menu. Due to the nature of this promotion, no returns or exchanges will be accepted and all sales are final. 
Features:
100mL Mystery Bag - Contains at least 100mL of juices - can be a combination of 60mLs or one bottle of 100mL/120mL.
200mL Mystery Bag - A combination of 60mL, 100mL, and 120mL bottles with at least 200mL of juices!
Premium Brands Available on Our Catalog
Incredible Value
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",,,,,,https://www.elementvape.com/e-liquid-mystery-bag-200ml-edition
MYSTERY NICOTINE SALTS PACK - 60/120ML,FIND BRAND,MYSTERY NICOTINE SALTS PACK - 60/120ML,$19.99,"The ultimate Mystery E-Liquid Pack returns with Nicotine Salts offerings for those looking to try new flavors to pair with your favorite portable devices!
These randomly chosen bottles are sure to be a pleasant surprise. No cherry picking, as this would not be a mystery if you knew what you would be getting. The only thing definite is that you will receive some of the industry's most popular nic salts at incredible value.
Simply select your desired Mystery Bag size in the drop down menu. Due to the nature of this promotion, no returns or exchanges will be accepted and all sales are final. 
Warning: This product is not meant for use in devices that reach sub-ohm resistance. We recommend this liquid to be used in vape pod system and ultra low-output atomizers/mods. Every nicotine salts e-juice contains significantly higher levels of nicotine per milliliter, optimal for beginners or experienced vapers looking for a travel-friendly experience.
Features:
60mL Mystery Pack - Contains at least 60mL of nicotine salts
120mL Mystery Pack - Contains at least 120mL of nicotine salts
Two Nicotine Strength Range: 20mg to 35mg & 36mg to 60mg
Premium Brands Available on Our Catalog
Incredible Value
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",,,,,,https://www.elementvape.com/mystery-nicotine-salts-pack
GOLDEN RESERVE TOBACCO - BANTAM SALTS - 30ML,FIND BRAND,GOLDEN RESERVE TOBACCO - BANTAM SALTS - 30ML,$10.99,"Try the Golden Reserve Tobacco by Bantam Salts, featuring a synthetic nicotine salt blend of flue-curated tobacco that creates a nutty & smoky bold flavor.Ω
Golden Reserve Tobacco - Bantam SALTS - 30mL Features:
• Capacity: 30mL
• PG: 50%
• VG: 50%
• Fomulation: Synthetic Nicotine Salts
• Child Resistant Cap
• Made in USA
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",,50%,50%,,,https://www.elementvape.com/golden-reserve-tobacco-bantam-salts
ALMOND CAPPUCCINO - NITROS COLD BREW SALTS - 30ML,FIND BRAND,ALMOND CAPPUCCINO - NITROS COLD BREW SALTS - 30ML,$10.99,"Discover Almond Cappuccino by Nitro's Cold Brew Salts, blending notes of robust coffee, smooth almond milk, and a helping of sugar to balance the flavor.
Warning: This product is not meant for use in devices that reach sub-ohm resistance. We recommend this liquid to be used in pod-based, closed systems devices, and ultra low-output atomizers/mods. Every salt-based nicotine e-juice contains significantly higher levels of nicotine per milliliter, optimal for beginners or experienced vapers looking for a travel-friendly experience.
Nitro's Cold Brew Salts - Almond Cappuccino Features:
30mL Chubby Unicorn Bottle
Child Resistant Cap
50% VG
50% PG
Nicotine Salts Formulation
Made in USA
Available in 25mg, 45mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",,,,,,https://www.elementvape.com/almond-cappuccino-nitros-cold-brew-salts
ALMOND CAPPUCCINO - NITROS COLD BREW - 100ML,FIND BRAND,ALMOND CAPPUCCINO - NITROS COLD BREW - 100ML,$13.99,"Check out Almond Cappuccino by Nitro's Cold Brew, blending together a smooth robust coffee, sugar, and almond milk that will delight the taste buds.
Nitro's Cold Brew - Almond Cappuccino Features:
100mL Chubby Unicorn Bottle
Child Resistant Cap
70% VG
30% PG
Made in USA
Available in 0mg, 3mg, 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",,,,,,https://www.elementvape.com/almond-cappuccino-nitros-cold-brew
