tag,title,brand,stock_status,link,price,image_url,image_alt_text,image2_url,image2_alt_text,image_urls,sizes,nicotine_values,colors,warning,description,warning_description,package_contents_description,ingredients_description,key_features_description,flavors_description,specifications_description,performance_description,disposable_description,why_description,innovation_description,preference_description,enjoyment_description,compatibility_description,coil_description,battery_description,puffs_description,nicotine_description,e_liquid_description,prefilled_description,devices_description,airflow_description,heating_element_description,operation_description,charging_description,screen_description,links_description,colors_description,returns_description,options_description,size_description,pods_description,hardware_description,wattage_description,faqs_description,vgpg_ratio_description,power_mode_description,name_description,disposable,rechargeable,battery,mesh,usb,adjustable
winter-mint-lost-mary-mt15000-turbo,Winter Mint LOST MARY MT15000 TURBO,Lost Mary,"In stock


In stock",https://vaping.com/products/winter-mint-lost-mary-mt15000-turbo,From $11.99,http://vaping.com/cdn/shop/files/Mt15000-Turbo_Winter-Mint_Render_600x600_00e6bf75-12be-4529-a58b-ff767b5f6a02.png?v=1711583219&width=600,Winter Mint LOST MARY MT15000 TURBO Vape,http://vaping.com/cdn/shop/files/Lost-Mary_Mt15000-Turbos_Winter-Ice_5pk_600x600_fc62eedf-7b20-44b2-970c-30ba149e1f03.png?v=1722464659&width=600,Winter Mint LOST MARY MT15000 TURBO Vape 5-pack,"['https://vaping.com/cdn/shop/files/Mt15000-Turbo_Winter-Mint_Render_600x600_00e6bf75-12be-4529-a58b-ff767b5f6a02.png?v=1711583219&width=600', 'https://vaping.com/cdn/shop/files/Lost-Mary_Mt15000-Turbos_Winter-Ice_5pk_600x600_fc62eedf-7b20-44b2-970c-30ba149e1f03.png?v=1722464659&width=600']","['Single', '5 Pack']",['50mg'],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","LOST MARY VAPE

Lost Mary Disposables",,,,,"Vaping.com carries all the best disposable vape devices and flavors. Experience the refreshing and palate-cleansing flavor of Winter Mint - LOST MARY MT15000 TURBO. This blend expertly balances the crisp flavor of wintergreen mint with a cool menthol finish, making it a must-try for both mint enthusiasts and fans of invigorating disposables.",,,,,,,,,Dual Mesh Coil,"600mAh, rechargeable via USB-C","15,000",50mg,16ml,,,,,,,E-Liquid and Battery Meters,Shop Disposable Vapes,,,,,,,,,,Smooth Mode (11W)/ Turbo Mode (22W),,TRUE,TRUE,TRUE,TRUE,TRUE,
2-0-replacement-pods,2.0 Replacement Pods,Mi-Pod,In stock,https://vaping.com/products/2-0-replacement-pods,$10.99,http://vaping.com/cdn/shop/files/pod-box-1_809f2279-3d9f-43e9-8aec-ead37a351e84.png?v=1709274768&width=600,2.0 Replacement Pods,http://vaping.com/cdn/shop/files/pod-box-3_6b8fbebc-f76c-495d-96e6-b1b97540bfc4.png?v=1709274770&width=600,2.0 Replacement Pods,"['https://vaping.com/cdn/shop/files/pod-box-1_809f2279-3d9f-43e9-8aec-ead37a351e84.png?v=1709274768&width=600', 'https://vaping.com/cdn/shop/files/pod-box-3_6b8fbebc-f76c-495d-96e6-b1b97540bfc4.png?v=1709274770&width=600', 'https://vaping.com/cdn/shop/files/pod-box-4_264a8b9f-8829-441b-9b48-7bf26dd87ac2.png?v=1709274773&width=600', 'https://vaping.com/cdn/shop/files/pod-2_22c94f93-677a-4fb6-ab4d-ea106e2b8ab0.png?v=1709274775&width=600', 'https://vaping.com/cdn/shop/files/pod-3_24f00ede-1602-4e51-99db-8ee9a477dbe1.png?v=1709274777&width=600', 'https://vaping.com/cdn/shop/files/pod-1_2431f1e0-8f1b-4047-9d6f-2fdd7a8d5b0a.png?v=1709274779&width=600', 'https://vaping.com/cdn/shop/files/pod-4_b3c4d3c3-1bda-4a8f-a890-f7cc81fee7a3.png?v=1709274781&width=600']",[],[],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","MANUFACTURED BY MI-ONE BRANDS

Get optimal performance and flavor from your Mi-Pod 2.0 and Mi-Pod 2.0+ vape pod kit with Mi-Pod 2.0+ Replacement Pods. Sold in 2-packs, these pods have a 2ml capacity and feature a side-fill juice port and air bubble reduction design for easy top-offs. The integrated 0.9ohm coil ensures a strong, flavorful vapor experience and can handle both regular e-liquid and nic salts. With increased longevity, these Replacement Pods are a must-have.
Organic Cotton Mesh Coil
Pack of 2 Pods
0.9 Ohm resistance
Refillable up to 5 times
Designed for All E-Liquids
Shop Mi-Pod Collection

Shop All Vape Pod Kits

Shop Salt Nic Vape Juices

*Not compatible with Mi-Pod PRO and Wi-Pod devices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
mint-tobacco-elf-bar-5000,Mint Tobacco BC5000,EBCREATE,"In stock


In stock",https://vaping.com/products/mint-tobacco-elf-bar-5000,From $12.99,http://vaping.com/cdn/shop/files/mint-tobacco_ebdesign_bc5000_600x600_464cddb5-1400-45f2-b3e9-6db31aba82b7.png?v=1709272763&width=600,Mint Tobacco BC5000 Vape,http://vaping.com/cdn/shop/files/Ebcreate-Bc5000-10pk_Mint-Tobacco_600x600_dcbe108f-4e71-42dc-9db4-78a841b5c7f6.png?v=1722539118&width=600,Mint Tobacco BC5000,"['https://vaping.com/cdn/shop/files/mint-tobacco_ebdesign_bc5000_600x600_464cddb5-1400-45f2-b3e9-6db31aba82b7.png?v=1709272763&width=600', 'https://vaping.com/cdn/shop/files/Ebcreate-Bc5000-10pk_Mint-Tobacco_600x600_dcbe108f-4e71-42dc-9db4-78a841b5c7f6.png?v=1722539118&width=600']","['Single', '10 Pack']",[],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","DISPOSABLE VAPORIZER

Shop All Disposable Vapes

Shop EB Vapes﻿",,,,,"Mint Tobacco EB CREATE flavor combines smooth tobacco with refreshing mint in a long-lasting vape device, providing a unique and satisfying experience.",,,,,,,,,,,+5000,50mg,13ml,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
white-grape-ice-spaceman-10k-pro,White Grape Ice - Spaceman 10K PRO,Spaceman,"In stock


In stock",https://vaping.com/products/white-grape-ice-spaceman-10k-pro,From $11.99,http://vaping.com/cdn/shop/files/White-Grape-Ice_Spaceman-10k-Pro_600x600_e2e265df-0686-4384-aad6-98f547883b63.png?v=1711582856&width=600,White Grape Ice - Spaceman 10K PRO,,,[],"['Single', '5 Pack']",['50mg'],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","SPACEMAN DISPOSABLE VAPE

Shop All Disposable Vapes

Shop Spaceman Vapes Collection",,,,,"The White Grape Ice Spaceman 10K Pro flavor presents itself on inhale as a crisp and sweet rendition of white grape flavor. With a cool mint finish, it is soothing and refreshing as well. The combination of realistic grape and frigid ice notes offers an elegant and invigorating fruit vape experience. The flavor is not dissimilar from the chilled white grape beverage.",,,,,,,,,,800mAh (Rechargeable via USB-C),+10000,50mg,16ml,,,,,,,Battery and e-Juice Indicators,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,
smok-novo-3,SMOK Novo 3,Smok,"Only 13 units left


Only 11 units left


Only 11 units left


Only 9 units left


Only 15 units left",https://vaping.com/products/smok-novo-3,$19.99,http://vaping.com/cdn/shop/files/Gold-Cobra_Novo-3_Smok_600x600_2840f1ab-f507-4692-9103-eae66e86550d.png?v=1709277742&width=600,SMOK Novo 3 Vape,http://vaping.com/cdn/shop/files/Purple-Red-Carbon-Fiber_Novo-3_Smok_600x600_a82f94a6-4d5c-447e-9037-9879949da9f2.png?v=1709277744&width=600,SMOK Novo 3 Vape Purple - Red,"['https://vaping.com/cdn/shop/files/Gold-Cobra_Novo-3_Smok_600x600_2840f1ab-f507-4692-9103-eae66e86550d.png?v=1709277742&width=600', 'https://vaping.com/cdn/shop/files/Purple-Red-Carbon-Fiber_Novo-3_Smok_600x600_a82f94a6-4d5c-447e-9037-9879949da9f2.png?v=1709277744&width=600', 'https://vaping.com/cdn/shop/files/7-Color-Cobra_Novo-3_Smok_600x600_61d14de2-ee86-47f2-a744-c218042fdf47.png?v=1709277747&width=600', 'https://vaping.com/cdn/shop/files/Peacock-Blue-Carbon-Fiber_Novo-3_Smok_600x600_ee55f817-f495-4279-8e17-fd59382e1da6.png?v=1709277749&width=600', 'https://vaping.com/cdn/shop/files/Black-Carbon-Fiber_Novo-3_Smok_600x600_67ccae43-8cda-47a2-90ae-e63949e2470b.png?v=1709277752&width=600']",[],[],"['Gold Cobra', 'Black Carbon FIber', '7 Cobra', 'Purple Red Carbon Fiber', 'Tiffany Blue Carbon Fiber']","WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","SMOK Vape Kit
Vaping.com has the perfect refillable vape pod kit for disposable vape users. If you are an adult looking for a more eco-friendly way to enjoy salt nicotine vape juices, the sturdy, reliable and flavorful Smok Novo 3 is a perfect choice.
The draw-activated Smok Novo 3 is powered by an 800mAh battery and generates up to 25 watts of power. It has a very compact size. It is compatible with original Novo, Novo 2, Novo 2X and of course Novo 3 pods. Each pod holds 2ml of e-liquid, and this vape pod kit comes with a pair of 0.8ohm Novo 3 pods. The pods use an integrated coil design which requires no swapping of coils and reduces the threat of leakage.
The Smok Novo 3 is a perfect alternative to disposable vapes and excels at extracting flavor from nicotine salts. But the lower resistance pods also work great with regular e-liquids. This was the perfected pod design right out of the gates and a worthy device for novice and veteran vapers alike.
Smok Novo 3 25W Features

Smok Novo 3 Pods

Integrated 800mAh Battery
Output Range: 6-25W
Zinc Alloy Construction
2ml Pod Capacity
Improved Airflow Pods
Compatibility: Smok Novo, Novo 2, Novo 2X and Novo 3 Replacement Pods
Smok Novo 3 Kit Includes

1 Smok Novo 3 Battery
2 0.8ohm Novo 3 Pods
1 USB Cable
1 User Manual
Smok Novo 2 Pods

Smok Novo 3 Pods

Shop All Smok Vape Kits

Shop All Vape Pod Kits

Shop Salt Nic Vape Juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,TRUE,
smok-novo-4,SMOK Novo 4,Smok,"Only 4 units left


Only 8 units left


Only 10 units left


Only 7 units left


Only 2 units left


Only 9 units left


Only 5 units left


Only 7 units left


Only 2 units left


Only 16 units left",https://vaping.com/products/smok-novo-4,$23.99,http://vaping.com/cdn/shop/files/Black-Armor_Novo-4_Smok_600x600_aa258517-b1b2-4341-952e-b57d3122f0df.png?v=1709277659&width=600,SMOK Novo 4 Vape,http://vaping.com/cdn/shop/files/Black-Carbon-Fiber_Novo-4_Smok_600x600_780703c7-4f09-430f-9b9a-96434dde729a.png?v=1709277661&width=600,SMOK Novo 4 Vape Kit - Black Carbon Fiber,"['https://vaping.com/cdn/shop/files/Black-Armor_Novo-4_Smok_600x600_aa258517-b1b2-4341-952e-b57d3122f0df.png?v=1709277659&width=600', 'https://vaping.com/cdn/shop/files/Black-Carbon-Fiber_Novo-4_Smok_600x600_780703c7-4f09-430f-9b9a-96434dde729a.png?v=1709277661&width=600', 'https://vaping.com/cdn/shop/files/Black-Stabilizing-Wood_Novo-4_Smok_600x600_558bee1c-bdc2-473f-8287-41e00b251fff.png?v=1709277664&width=600', 'https://vaping.com/cdn/shop/files/Blue-Grey-Cobra_Novo-4_Smok_600x600_966fac25-efdc-459f-bb9e-8545c3f106a3.png?v=1709277666&width=600', 'https://vaping.com/cdn/shop/files/Cyan-Pink-Cobra_Novo-4_Smok_600x600_06b4074f-4b31-4e82-bdfc-1675f693bb2b.png?v=1709277669&width=600', 'https://vaping.com/cdn/shop/files/Fluid-7-Colors_Novo-4_Smok_600x600_2c56d8eb-2dbe-4567-8bca-6e6d378e6187.png?v=1709277671&width=600', 'https://vaping.com/cdn/shop/files/Fluid-Black-Grey_Novo-4_Smok_600x600_b273c60a-6a88-4ee0-94a7-4c39cc7eed64.png?v=1709277674&width=600', 'https://vaping.com/cdn/shop/files/Red-Stabilizing-Wood_Novo-4_Smok_600x600_d64170bd-976e-488c-930c-43397da28cfc.png?v=1709277676&width=600', 'https://vaping.com/cdn/shop/files/Silver-Carbon-Fiber_Novo-4_Smok_600x600_fc6878a1-6a41-4a43-911e-babc9780b94c.png?v=1709277679&width=600', 'https://vaping.com/cdn/shop/files/White-Armor_Novo-4_Smok_600x600_d99e470f-982e-45e0-ba6f-ac74bfb7e3db.png?v=1709277681&width=600']",[],[],"['Black Armor', 'Carbon Fiber', 'Black Stabilizing Wood', 'Blue Grey Cobra', 'Cyan Pink Cobra', 'Fluid 7 Color', 'Fluid Black Gray', 'Red Stabilizing Wood', 'Silver Carbon Fiber', 'White Armor']","WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","SMOK Vape Kit
Vaping.com carries the flagship of the Smok Novo line-up. The Smok Novo 4 is a 25-watt refillable vape pod kit. It retains the compact form factor and functionality of the original Novo but adds useful features like adjustable wattage and airflow.
Coils are no longer integrated but can be swapped out. This makes it an eco-friendlier alternative to disposable vapes, as only the coil needs replacing. It also features a 0.49"" OLED Screen, which allows for adjustable wattage control. It operates between 5 and 25-watts.
It uses the LP1 coil family, featuring three resistance choices, have improved leak-reducing technology. Powered by an 800mAh battery, the Smok Novo 4 is optimized for discrete and flavorful vaping.
With a 2ml capacity, the Smok Novo 4 is an efficient device that extracts every bit of flavor from nic salts but has the power to handle regular freebase e-liquids as well. Each Smok Novo 4 kit includes the Novo 4 device, two 0.8ohm mesh coils, one 2ml Novo 4 pod, and a USB-C cable.
Smok Novo 4 Features

Smok Novo 4 Pods

Smok LP1 Coil

Integrated 800mAh Battery

Adjustable Wattage: 8-25W

Rotating Airflow Control

Zinc Alloy Construction

2ml Pod Capacity

Improved Airflow Pods

Smart Pod Detection

Press Fit Coils

Single Button Operation

Compatibility: LP1 Coil and Smok Novo 4 Replacement Pods

Smok Novo 4 Kit Includes

1 Smok Novo 4 Battery

1 2ml Novo 4 Pod

2 Smok LP1 0.8ohm Mesh Coils

1 USB-C Charging Cable

1 User Manual

Smok Novo 4 Pods

Smok LP1 Coil

Shop All Smok Vape Kits

Shop All Vape Pod Kits

Shop Salt Nic Vape Juices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,
strawberry-watermelon-lost-mary-os5000-luster-edition,STRAWBERRY WATERMELON LOST MARY OS5000 LUSTER EDITION,Lost Mary,"In stock


In stock",https://vaping.com/products/strawberry-watermelon-lost-mary-os5000-luster-edition,From $12.99,http://vaping.com/cdn/shop/files/Strawberry-Watermelon_Lost-Mary_Device_600x600_acc6300e-1f58-4659-959d-30b211c53f19.png?v=1709276635&width=600,STRAWBERRY WATERMELON LOST MARY OS5000 LUSTER EDITION,http://vaping.com/cdn/shop/files/strawberry-watermelon-10pk_Lost-Mary_Device_600x600_4aa2f4d1-e5b6-4a67-868f-9d50be5a1139.png?v=1709276637&width=600,STRAWBERRY WATERMELON LOST MARY OS5000 LUSTER EDITION,"['https://vaping.com/cdn/shop/files/Strawberry-Watermelon_Lost-Mary_Device_600x600_acc6300e-1f58-4659-959d-30b211c53f19.png?v=1709276635&width=600', 'https://vaping.com/cdn/shop/files/strawberry-watermelon-10pk_Lost-Mary_Device_600x600_4aa2f4d1-e5b6-4a67-868f-9d50be5a1139.png?v=1709276637&width=600']","['Single', '10 Pack']",['50mg'],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","Lost Mary Luster VAPE

Lost Mary Disposables",,,,,The Strawberry Watermelon Lost Mary OS5000 Luster is packed with ripe strawberry and watermelon flavors in every puff. Vaping.com carries the best Lost Mary flavors.,,,,,,,,,Mesh Coil,"650mAh, rechargeable via USB-C",+5000,40mg,10ml,,,,,,,,Shop Disposable Vapes,,,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,
banana-cake-spaceman-10k-pro,Banana Cake - Spaceman 10K PRO,Spaceman,"In stock


In stock",https://vaping.com/products/banana-cake-spaceman-10k-pro,From $11.99,http://vaping.com/cdn/shop/files/Banana-Cake_Spaceman-10k-Pro_600x600_81b1564b-41f4-400b-8392-1fb457e3b2e1.png?v=1711582863&width=600,Banana Cake - Spaceman 10K PRO,,,[],"['Single', '5 Pack']",['50mg'],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","SPACEMAN DISPOSABLE VAPE

Shop All Disposable Vapes

Shop Spaceman Vapes Collection",,,,,"The Banana Cake Spaceman 10K Pro disposable vape offers flavors that recall the familiar comfort of sweet, ripe bananas baked into a decadent cake. With sponge like flavors, creamy banana notes, and a unique dessert mouthfeel, this is an unusually sophisticated flavor for a disposable vape. The creamy banana flavor stands out above all else and results in a familiar yet truly indulgent flavor treat. It's a comforting, dessert-like nic salt flavor that's perfect for the sweet-toothed vaper.",,,,,,,,,,800mAh (Rechargeable via USB-C),+10000,50mg,16ml,,,,,,,Battery and e-Juice Indicators,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,
banana-milkshake-flonq-max-smart,Banana Milkshake FLONQ Max Smart,Flonq,"In stock


In stock


In stock


In stock


In stock


In stock",https://vaping.com/products/banana-milkshake-flonq-max-smart,From $14.99,http://vaping.com/cdn/shop/files/Banana-Milkshake_5mg-Flonq-Smart_600x600_e8f1fc0a-63fb-415d-b9e9-dd8cd680fe7a.png?v=1709277845&width=600,Banana Milkshake FLONQ Max Smart Vape,http://vaping.com/cdn/shop/files/Banana-Milkshake_Flonq-Smart-5mg_5pks_600x600_67837698-1d0c-476b-9870-c5ece07cd291.png?v=1709277847&width=600,Banana Milkshake FLONQ Max Smart 5-Pack,"['https://vaping.com/cdn/shop/files/Banana-Milkshake_5mg-Flonq-Smart_600x600_e8f1fc0a-63fb-415d-b9e9-dd8cd680fe7a.png?v=1709277845&width=600', 'https://vaping.com/cdn/shop/files/Banana-Milkshake_Flonq-Smart-5mg_5pks_600x600_67837698-1d0c-476b-9870-c5ece07cd291.png?v=1709277847&width=600', 'https://vaping.com/cdn/shop/files/Banana-Milkshake_2mg-Flonq-Smart_600x600_56005233-2ba2-400e-88b0-a7e4a9c3e0c2.png?v=1722527459&width=600', 'https://vaping.com/cdn/shop/files/Banana-Milkshake_Flonq-Smart-2mg_5pks_600x600_21546086-1101-46ee-adb4-e87b4dc01744.png?v=1722527462&width=600', 'https://vaping.com/cdn/shop/files/Banana-Milkshake_0mg-Flonq-Smart_600x600_2d09be9e-4b39-405f-904b-3f710d32a9e8.png?v=1722527462&width=600', 'https://vaping.com/cdn/shop/files/Banana-Milkshake_Flonq-Smart-0mg_5pks_600x600_ea5ea31a-1e25-418e-84a6-fdab4a8a65fa.png?v=1722527462&width=600']","['Single', '5 Pack']","['50mg', '20mg', '0mg']",[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.","FLONQ MAX SMART

Nicotine Levels

: 0mg (Nicotine-Free), 20mg (2%), 50mg (5%)",,,,,The Banana Milkshake FLONQ Max Smart is known for its deliciously creamy and realistic banana flavor. Its icy elements perfectly balance the sweetness for a truly satisfying vape.,,,,,,,,,,"650mAh (Rechargeable via USB-C)
Made with Mesh Coil",+10000,,14ml,,,,,,,,"Shop All Disposable Vapes
Flonq Collection
Flonq Max Smart",,,,,,,,,,,,,TRUE,,TRUE,TRUE,
blue-mint-geek-bar-pulse,Blue Mint Geek Bar Pulse,Geek Bar,"In stock


In stock",https://vaping.com/products/blue-mint-geek-bar-pulse,From $15.99,http://vaping.com/cdn/shop/files/Scorpio-Blue-Mint_Geek-Bar-Pulse_Device_600x600_cad19a7e-c0d6-472a-b21d-54724d32389a.png?v=1720720179&width=600,Blue Mint Geek Bar Pulse Vape,http://vaping.com/cdn/shop/files/Blue-Mint_Geek-Bar_5pks_600x600_7c681bec-4405-4ea1-b0ea-ae2290d7c27b.png?v=1720720177&width=600,Blue Mint Geek Bar Pulse Bundle,"['https://vaping.com/cdn/shop/files/Scorpio-Blue-Mint_Geek-Bar-Pulse_Device_600x600_cad19a7e-c0d6-472a-b21d-54724d32389a.png?v=1720720179&width=600', 'https://vaping.com/cdn/shop/files/Blue-Mint_Geek-Bar_5pks_600x600_7c681bec-4405-4ea1-b0ea-ae2290d7c27b.png?v=1720720177&width=600']","['Single', '5 Pack']",['50mg'],[],"WARNING: This product can expose you to chemicals including nicotine,
        which is known to be harmful in the State of California to cause birth
        defects or other reproductive harm. For more information, go to
        www.P65Warnings.ca.gov.",GEEK BAR PULSE DISPOSABLE VAPE,,,,,The Blue Mint Geek Bar Pulse features cool and sweet mint flavors with a hint of ripe blueberry.,,,,,,,,,,"650mAh (Rechargeable via USB-C)
Made with Dual Mesh Coil
Pulse Mode",+15000,50mg,16ml,,,,,,,Battery and e-Liquid Meters,"Shop All Disposable Vapes
Shop Geek Bar Pulse Collection",,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
