id,product_id,flavor_name,flavor_description,flavor_category,iced_bool,cbd_bool,date_inserted,date_updated,predicted_category,confidence,raw_llm_response
4179,1740,Aloe Grape,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4180,1740,Aloe Watermelon Splash,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4181,1740,Apple,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4182,1740,Apple Grapefruit,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4183,1740,Arctic Icy,,,,,29:44.1,29:44.1,Clear/Other Cooling,medium,**Clear/Other Cooling**
4184,1740,Berrymelon Icy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4185,1740,Black Icy,,,,,29:44.1,29:44.1,Clear/Other Cooling,medium,**Clear/Other Cooling**
4186,1740,Blanco Grapefruit,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4187,1740,Blue Energy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4188,1740,Blue Icy,,,,,29:44.1,29:44.1,Clear/Other Cooling,medium,**Clear/Other Cooling**
4189,1740,Blue Razz Icy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4190,1740,Blueberry Melo,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4191,1740,Blueberry Mint,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4192,1740,Blueberry Pineapple Kiwi,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4193,1740,Cherry Berry,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4194,1740,Clear,,,,,29:44.1,29:44.1,Clear/Other Cooling,medium,**Clear/Other Cooling**
4195,1740,Cool Mint,,,,,29:44.1,29:44.1,Mint,high,Mint
4196,1740,Cranberry Grape,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4197,1740,Cuban Cigar,,,,,29:44.1,29:44.1,Tobacco,high,Tobacco
4198,1740,Green Apple Watermelon,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4199,1740,Hot Fudge,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4200,1740,Icy Mint,,,,,29:44.1,29:44.1,Mint,high,Mint
4201,1740,Lusious Watermelon,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4202,1740,Mango Icy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4203,1740,Matcha,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4204,1740,Melo Ice Cream,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4205,1740,Menthol,,,,,29:44.1,29:44.1,Menthol,high,Menthol
4206,1740,Mighty Grapefruit,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4207,1740,OG Mnster,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4208,1740,Passion Grape,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4209,1740,Passion Kiwi,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4210,1740,Peach Icy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4211,1740,Peach Orange,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4212,1740,Pineapple Coconut,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4213,1740,Pink Kiwi,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4214,1740,Sour Mango,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4215,1740,Sour X'Max,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4216,1740,Spearmint,,,,,29:44.1,29:44.1,Mint,high,Mint
4217,1740,Straw Guava,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4218,1740,Straw Mango,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4219,1740,Strawberry Banana,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4220,1740,Strawberry Coconut,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4221,1740,Strawberry Tonic,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4222,1740,Strawmelon,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4223,1740,Strawmelon Apple,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4224,1740,Summer Glacier,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4225,1740,Sunshine Icy,,,,,29:44.1,29:44.1,Other Flavors,medium,**Other Flavors**
4226,1740,Tobacco,,,,,29:44.1,29:44.1,Tobacco,high,Tobacco
4227,1740,Vanilla Ice Cream,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4228,1740,Watermelon Icy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4229,1740,Watermelon Lemon Mint,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4230,1740,Watermelon Sour Peach,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4231,1740,White Gummy,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4232,1740,Peach Berry,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4233,1740,Santa,,,,,29:44.1,29:44.1,Other Flavors,high,Other Flavors
4234,1740,Claus,,,,,29:44.1,29:44.1,Other Flavors,medium,**Other Flavors**
4235,1741,Berry Bliss,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4236,1741,Black Cherry,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4237,1741,Blow Pop,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4238,1741,Blueberry Watermelon,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4239,1741,Blue Mint,,,,,30:06.6,30:06.6,Mint,high,Mint
4240,1741,Blue Razz Ice,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4241,1741,California Cherry,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4242,1741,Cherry Bomb,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4243,1741,Cool Mint,,,,,30:06.6,30:06.6,Mint,high,Mint
4244,1741,Crazy Melon,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4245,1741,Dragon Melon,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4246,1741,Fcuking Fab,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4247,1741,Frozen Blackberry Fab,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4248,1741,Frozen Cherry Apple,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4249,1741,Frozen Pina Colada,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4250,1741,Frozen Strawberry,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4251,1741,Frozen Watermelon,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4252,1741,Frozen White Grape,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4253,1741,Grape Blow Pop,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4254,1741,Grape Lemon,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4255,1741,Juicy Peach Iced,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4256,1741,Meta Moon,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4257,1741,Mexican Mango,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4258,1741,Miami Mint,,,,,30:06.6,30:06.6,Mint,high,Mint
4259,1741,OMG Blow Pop,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4260,1741,Orange Creamsicle,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4261,1741,Pink Lemonade,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4262,1741,Sour Apple Blow Pop,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4263,1741,Sour Apple Iced,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4264,1741,Sour Blue Dust,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4265,1741,Sour Cranapple,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4266,1741,Sour Gush,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4267,1741,Sour Strawberry,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4268,1741,Sour Watermelon Drop,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4269,1741,Spooky Vanilla,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4270,1741,Strawberry Banana,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4271,1741,Strawberry CC,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4272,1741,Strawberry Mango,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4273,1741,Sunny Tart,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4274,1741,Tropical Rainbow Blast,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4275,1741,Watermelon Iced,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4276,1741,White Gummy Ice,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4277,1741,IceyMintz,,,,,30:06.6,30:06.6,Mint,medium,**Mint**
4278,1741,CreamyMintz,,,,,30:06.6,30:06.6,Mint,medium,**Mint**
4279,1741,Coconut Milk Ice,,,,,30:06.6,30:06.6,Other Flavors,high,Other Flavors
4280,1741,Peppermintz,,,,,30:06.6,30:06.6,Mint,high,Mint
4281,1741,Blackmintz,,,,,30:06.6,30:06.6,Mint,medium,**Mint**
4282,1742,ATL Mint,,,,,30:20.6,30:20.6,Mint,high,Mint
4283,1742,Banana Taffy Freeze,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4284,1742,Blackberry Blueberry,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4285,1742,Blackberry B-Pop,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4286,1742,Blue Rancher,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4287,1742,Blue Razz Ice,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4288,1742,Cool Mint,,,,,30:20.6,30:20.6,Mint,high,Mint
4289,1742,Grapefruit Refresher,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4290,1742,Lemon Heads,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4291,1742,Lime Berry Orange,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4292,1742,Miami Mint,,,,,30:20.6,30:20.6,Mint,high,Mint
4293,1742,Orange Dragon,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4294,1742,Orange Fcuking Fab,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4295,1742,Pink & Blue,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4296,1742,Raspberry Peach Lime,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4297,1742,Sour Apple Ice,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4298,1742,Sour Fcuking Fab,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4299,1742,Sour Mango Pineapple,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4300,1742,Sour Straws,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4301,1742,Strawberry B-Pop,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4302,1742,Strawberry Kiwi Ice,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4303,1742,Strawberry Colada,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4304,1742,Strawberry Watermelon,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4305,1742,Watermelon Ice,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4306,1742,White Peach Raspberry,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4307,1742,Cherrymintz,,,,,30:20.6,30:20.6,Other Flavors,medium,**Other Flavors**
4308,1742,Peppermintz,,,,,30:20.6,30:20.6,Mint,high,Mint
4309,1742,Cola Slush,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4310,1742,Peach Perfect Slush,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4311,1742,Grape Slush,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4312,1742,Orange Slush,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4313,1742,Wild Cherry Slush,,,,,30:20.6,30:20.6,Other Flavors,high,Other Flavors
4314,1743,Aloe Grape,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4315,1743,Aloe Mango Melon Ice,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4316,1743,Aloe Pineapple Ice,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4317,1743,American Tobacco,,,,,30:34.5,30:34.5,Tobacco,high,Tobacco
4318,1743,Apple Icy,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4319,1743,Blue Raspberry Ice,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4320,1743,Breeze,,,,,30:34.5,30:34.5,Other Flavors,medium,**Other Flavors**
4321,1743,Clear,,,,,30:34.5,30:34.5,Clear/Other Cooling,medium,**Clear/Other Cooling**
4322,1743,Cool Mint,,,,,30:34.5,30:34.5,Mint,high,Mint
4323,1743,Cotton Candy,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4324,1743,De'Lo Lychee,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4325,1743,Fruity Hawaii,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4326,1743,Guava Citrus,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4327,1743,Gummy Drop,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4328,1743,Icy Berry Lemon,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4329,1743,Lichi Rosy,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4330,1743,Lime Romance,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4331,1743,Lush Ice,,,,,30:34.5,30:34.5,Clear/Other Cooling,medium,**Clear/Other Cooling**
4332,1743,Melon Ice Cream,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4333,1743,Menthol,,,,,30:34.5,30:34.5,Menthol,high,Menthol
4334,1743,Mixed Berries,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4335,1743,Nana Cobler,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4336,1743,Peach Gelato,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4337,1743,Peach Ice,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4338,1743,Pina Polo,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4339,1743,Rainbow Skittle,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4340,1743,Red Apple,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4341,1743,Red Bang,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4342,1743,Rum Freeze,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4343,1743,Strawberry Banana,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4344,1743,Strawberry Ice Cream,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4345,1743,Strawberry Mango,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4346,1743,Strawberry Watermelon,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4347,1743,StrawMelon,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4348,1743,Summer StrawKiwi,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4349,1743,Tobacco,,,,,30:34.5,30:34.5,Tobacco,high,Tobacco
4350,1743,Tropical Delight,,,,,30:34.5,30:34.5,Other Flavors,high,Other Flavors
4351,1744,Blue Razz Icy,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4352,1744,Cool Mint,,,,,30:48.4,30:48.4,Mint,high,Mint
4353,1744,Fabulous,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4354,1744,Frozen Watermelon,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4355,1744,Midnight Barcelona,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4356,1744,Milano Adore,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4357,1744,Peach Icy,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4358,1744,Rome,,,,,30:48.4,30:48.4,Other Flavors,medium,**Other Flavors**
4359,1744,Ruby Green,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4360,1744,Ruby Yellow,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4361,1744,Sapphire,,,,,30:48.4,30:48.4,Other Flavors,medium,**Other Flavors**
4362,1744,Spearmint Watermelon,,,,,30:48.4,30:48.4,Other Flavors,medium,**Other Flavors**
4363,1744,Sour Apple Icy,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4364,1744,Summer Delux,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4365,1744,Sunshine Cherry,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4366,1744,Strawberry Blast,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4367,1744,Vienna Bliss,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4368,1744,Watermelon Icy,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4369,1744,Miami Mint,,,,,30:48.4,30:48.4,Mint,high,Mint
4370,1744,Watermelon Peach Lime,,,,,30:48.4,30:48.4,Other Flavors,high,Other Flavors
4371,1744,Vol. 9,,,,,30:48.4,30:48.4,Other Flavors,medium,**Other Flavors**
4372,1744,Vol. 1,,,,,30:48.4,30:48.4,Other Flavors,medium,**Other Flavors**
4373,1744,Vol. 5,,,,,30:48.4,30:48.4,Other Flavors,medium,**Other Flavors**
4374,1744,Tobacco,,,,,30:48.4,30:48.4,Tobacco,high,Tobacco
