id,product_id,flavor_name,flavor_description,flavor_category,iced_bool,cbd_bool,date_inserted,date_updated,predicted_category,confidence,raw_llm_response,categories,confidence,rationale
12249,9628,Milky Loops - Fifty Bar 20000 (Not Avail in FL) - SOLD OUT,,,,,43:37.0,43:37.0,Other Flavors,high,Other Flavors,"['Sweets', 'Other']",low,"The name 'Milky Loops' suggests a sweet flavor, but the rest of the description is unclear and may be related to sales or inventory information."
4745,1763,Sour Apple Watermelon,,,,,35:43.9,35:43.9,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'apple' and 'watermelon', which are fruits; 'sour' is a common descriptor for non-alcoholic drinks like lemonade or soda."
13505,9687,Blueberry Punch - RIA by Geek Bar Pulse - SOLD OUT,,,,,01:49.6,01:49.6,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'blueberry', which is a fruit; 'Punch' typically refers to a non-alcoholic drink."
9033,9170,Cream,,,,,01:15.7,01:15.7,Other Flavors,high,Other Flavors,['Sweets'],high,The word 'cream' often refers to sweet or dessert-like flavors.
12849,9654,Wildberry Savers - SOLD OUT,,,,,07:11.3,07:11.3,Other Flavors,high,Other Flavors,['Fruit'],low,"The name contains 'Wildberry', which is likely a fruit flavor, but the presence of 'Savers' makes it unclear."
7517,4879,Strawberry,,,,,12:22.1,12:22.1,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'strawberry' is a type of fruit.
7943,5637,Blue Mist,,,,,32:01.0,32:01.0,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"The word 'Mist' could imply a cooling effect, and 'Blue' is often associated with fruit flavors."
13387,9682,Kiberry Chew - Fifty Bar 20000,,,,,45:07.1,45:07.1,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"The presence of 'Kiberry', which sounds like a mix of kiwi and strawberry, suggests fruit flavors. The addition of '-Chew' indicates a sweet or dessert-like flavor profile."
11818,9608,Strawberry Super Strudel - SOLD OUT,,,,,14:30.3,14:30.3,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'strawberry', which is a fruit; 'strudel' implies a sweet pastry."
8651,8849,Florida Lemonade,,,,,19:25.3,19:25.3,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'lemonade', which is a non-alcoholic drink; 'Florida' may refer to a citrus-based flavor profile."
7374,4783,Cantaloupe,,,,,06:55.6,06:55.6,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'cantaloupe' is a type of fruit.
7157,4422,Mixed Fruit,,,,,29:01.5,29:01.5,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'fruit' in the name suggests that it's a fruit-based flavor.
4484,1750,Strawberry Freeze,,,,,32:16.5,32:16.5,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'strawberry', which is a fruit; 'freeze' may refer to cooling."
5556,2649,Cookie,,,,,40:41.9,40:41.9,Other Flavors,high,Other Flavors,['Sweets'],high,The word 'cookie' directly implies a sweet flavor.
4456,1749,Orange Pomegranate Cranberry,,,,,32:02.7,32:02.7,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains multiple fruit names ('orange', 'pomegranate', and 'cranberry'), indicating a fruity flavor."
6220,3355,Cola,,,,,43:54.1,43:54.1,Other Flavors,high,Other Flavors,['Non-alcoholic Drinks'],high,The word 'Cola' is associated with a popular soft drink.
13641,9691,Wildberry Savers - SOLD OUT,,,,,04:43.1,04:43.1,Other Flavors,high,Other Flavors,['Fruit'],low,"The name contains 'Wildberry', which is a type of fruit, but the presence of '-Savers' makes it unclear and less confident."
11193,9580,Milky Loops - Fifty Bar 20000 (Not Avail in FL) - SOLD OUT,,,,,22:28.4,22:28.4,Other Flavors,high,Other Flavors,"['Sweets', 'Other']",low,"The name 'Milky Loops' suggests a sweet flavor, but the rest of the description is unclear and may be related to sales or inventory information."
10179,9505,Leo Orange Creamsicle - SOLD OUT,,,,,19:36.5,19:36.5,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'orange', which is a fruit; 'creamsicle' references a dessert-like flavor."
13532,9687,Pineapple Savers - SOLD OUT,,,,,01:50.2,01:50.2,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'Pineapple' is a fruit, and there are no other associations that would lead to different classifications."
6178,3330,Peach,,,,,30:11.3,30:11.3,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Peach' directly refers to a fruit.
12679,9649,Cinn Funn! - Fifty Bar 20000,,,,,58:21.6,58:21.6,Other Flavors,high,Other Flavors,['Spice'],high,"The word 'cinn' is an abbreviation for cinnamon, which is a spice."
12527,9642,White Gummy Ice - (Not Avail in FL),,,,,42:09.4,42:09.4,Other Flavors,high,Other Flavors,"['Sweets', 'Cooling']",high,"Contains 'Gummy', which is a type of candy; 'Ice' may refer to cooling."
12087,9621,White Gummy Ice - (Not Avail in FL),,,,,30:52.8,30:52.8,Other Flavors,high,Other Flavors,"['Sweets', 'Cooling']",high,"The name 'Gummy' is associated with sweets, and the presence of 'Ice' suggests a cooling agent."
13893,9704,Sour Strawberry Dragonfruit - RIA by Geek Bar Pulse - SOLD OUT,,,,,22:56.3,22:56.3,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The flavor name contains 'strawberry' and 'dragonfruit', which are fruits. However, the brand name 'Geek Bar Pulse' suggests a specific product line, making it difficult to categorize without more information."
13328,9679,Blue Razz Ice - RIA by Geek Bar Pulse - SOLD OUT,,,,,30:07.4,30:07.4,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'blue razz', which is a fruit flavor; 'ice' may refer to cooling."
13099,9666,Sour Gush - SOLD OUT,,,,,40:46.1,40:46.1,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The name 'Sour Gush' suggests a fruity flavor, but the presence of '- SOLD OUT' makes it unclear and difficult to categorize."
4544,1754,Sour Apple Belts,,,,,33:12.1,33:12.1,Other Flavors,high,Other Flavors,"['Fruit', 'Sweets']",high,"Contains 'Apple', which is a fruit; 'Belts' likely references a candy or dessert."
8464,8797,Blueberry Punch - SOLD OUT,,,,,55:45.2,55:45.2,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'blueberry', which is a fruit; 'Punch' typically refers to a non-alcoholic drink."
12242,9628,Juicy Mango Melon Ice,,,,,43:36.8,43:36.8,Other Flavors,high,Other Flavors,"['Fruit', 'Cooling']",high,"Contains 'mango' and 'melon', which are fruits; 'ice' may refer to cooling."
10416,9539,Capricorn Dragon Melon - (Not Avail in FL) - SOLD OUT,,,,,45:37.7,45:37.7,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The flavor name contains 'melon', which is a fruit, but the rest of the text appears to be unrelated to any specific flavor category."
11133,9577,Crazy Berry - RIA by Geek Bar Pulse - SOLD OUT,,,,,20:17.5,20:17.5,Other Flavors,high,Other Flavors,['Fruit'],high,The word 'Berry' is associated with fruit flavors.
13696,9696,Gemini Grape Lemon - SOLD OUT,,,,,14:40.0,14:40.0,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'Grape' and 'Lemon', which are both fruits."
6750,3681,Blue Raspberry,,,,,03:52.2,03:52.2,Other Flavors,high,Other Flavors,['Fruit'],high,"Contains 'blue raspberry', which is a fruit-based flavor."
6494,3538,Pink Lemonade,,,,,37:20.6,37:20.6,Other Flavors,high,Other Flavors,"['Fruit', 'Non-alcoholic Drinks']",high,"Contains 'lemonade', which is a non-alcoholic drink; 'pink' may refer to fruit flavoring."
4791,1770,Sour Island,,,,,36:42.2,36:42.2,Other Flavors,high,Other Flavors,"['Fruit', 'Other']",low,"The word 'Island' is ambiguous and could refer to various flavors, but 'Sour' suggests a fruit-based flavor. However, without more context or information about the specific ingredients, it's difficult to make an accurate classification."
9388,9399,Fcuking FAB (Not Avail in FL) - SOLD OUT,,,,,44:19.4,44:19.4,Other Flavors,high,Other Flavors,['Other'],low,"The flavor name appears to be a brand-specific or proprietary name, making it difficult to categorize based on the provided information."
9261,9373,Strawberry Savers - SOLD OUT,,,,,36:10.2,36:10.2,Other Flavors,high,Other Flavors,['Fruit'],high,"The word 'strawberry' is a fruit, and there's no other information that would suggest otherwise."
12604,9645,Butterbean - SOLD OUT,,,,,54:50.7,54:50.7,Other Flavors,high,Other Flavors,['Sweets'],high,"The word 'Butterbean' is likely associated with a sweet or dessert-like flavor, possibly referencing a pastry or baked good."
5669,2745,Cream,,,,,01:02.1,01:02.1,Other Flavors,high,Other Flavors,['Sweets'],high,The word 'cream' often refers to sweet or dessert-like flavors.
