tag,vendor,main_brand,product,product_id,money,disposable,rechargeable,battery,mesh coil,USB,Adjustable Airflow,flavor1,flavor2,flavor3,flavor4,flavor5,% nicotine,puffs,ml,url,description,image_url,image_url_zoom
pod-juice-salt-aloe-grape,Pod Juice Salt,Pod Juice Salt,Aloe Grape,6783374327894,$12.99,TRUE,,,,,,grape,,,,,,,30,https://getpop.co/products/pod-juice-salt-aloe-grape,"Salt Nicotine e-liquid Use with refillable pod system. Pod Juice Salt flavor description coming soon! This is a terrific option if you are already familiar with devices and you would like to switch to a more economical and eco-friendly alternative. This bottle of salt-nicotine e-liquid is from Pod Juice, the maker of Pod 2500, Pod Mesh Flo, and Pod 5500 disposable device. If you're not already familiar with Pod Juice Salt or salt-nicotine e-liquids, they are a terrific alternative to disposable devices. Simply pair a bottle of salt-nicotine e-liquid with a refillable pod system. This method also provides low-nicotine options and has a significantly lower impact on the environment. Product details: Volume: 30ml Nicotine options: 3.5% (35mg) 5.5% (55mg) About Pod Juice Salt Pod Juice Salt is the line of salt-nicotine e-liquids by Pod Juice. Based in California, Pod Juice is best known for their wide range of flavors and popular line of disposables, including Pod 2500, Pod Mesh FLO, and Pod 5500. We love Pod Juice. They are a terrific company to work with, and they stand by the quality of their product. This is a brand that you can trust and we are proud to share Pod Juice salt nicotine with you! Tap here to check out the Pod Juice website at https://podjuice55.com/ .",http://getpop.co/cdn/shop/products/pod-juice-salt-aloe-grape-bottle_1024x1024.jpg?v=1659898855,http://getpop.co/cdn/shop/products/pod-juice-salt-aloe-grape-bottle_2048x2048.jpg?v=1659898855
lost-mary-os5000-zero-blue-razz-ice-1,Lost Mary OS5000 ZERO,Lost Mary OS5000,Blue Razz Ice 0%,6910200545366,$14.99,TRUE,TRUE,,TRUE,TRUE,,,,,,,0%,5000,13,https://getpop.co/products/lost-mary-os5000-zero-blue-razz-ice-1,"Up to 5,000 puffs (13ml) Mesh Coil Rechargeable via USB Type-C cable (not included) 0% nicotine Flavor description coming soon! Enjoy a zero-nicotine experience in top-notch flavors from one of the leading brands with the Lost Mary OS5000. This rechargeable device is simple and easy to use, without any extraneous or complicated features. What's included: 1 Lost Mary OS5000 ZERO rechargeable disposable device USB Type-C Cable is not included 0% salt nicotine Volume: 13ml (up to 5,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors About Lost Mary Tap here to check out the Lost Mary website at http://www.lost-mary.com/ .",http://getpop.co/cdn/shop/products/lost-mary-os5000-zero-blue-razz-ice-box_1024x1024.jpg?v=1704309009,http://getpop.co/cdn/shop/products/lost-mary-os5000-zero-blue-razz-ice-box_2048x2048.jpg?v=1704309009
geek-bar-meloso-max-9000-apple-sunrise,Geek Bar Meloso Max 9000,,Apple Sunrise,6880792379478,$13.99,,TRUE,TRUE,TRUE,TRUE,TRUE,apple,sour apple,,,,5%,9000,14,https://getpop.co/products/geek-bar-meloso-max-9000-apple-sunrise,"Up to 9,000 puffs (14ml) Adjustable Airflow Mesh Coil Rechargeable via USB Type-C cable (not included) Geek Bar Meloso Max Apple Sunrise is a chilled sweet and sour apple blend, like a double apple flavor. It’s solid and one of the best apple flavors we've tried. Geek Bar Meloso Max 9000 is an upgrade from the Geek Bar B5000 in both volume and quality. Not only does every Geek Bar Meloso Max 9000 feature 14ml of e-liquid, good for up to 9,000 puffs, it also has a dual mesh coil, which enhances and extends the quality of the flavor. E-Liquid and Battery levels are easy to track, thanks to LCD indicator lights. What's included: 1 Geek Bar Meloso Max 9000 rechargeable device USB Type-C Cable is not included 5% salt nicotine Volume: 14ml (up to 9,000 puffs) Battery Capacity: 600mAh Dual Mesh Coil Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) About Geek Bar Meloso Max 9000 Geek Bar Meloso Max 9000 by Geek Bar is the most advanced and longest-lasting device. The Meloso Max is all about quality thanks to a dual mesh coil. It's also about convenience, with LED indicator lights to easily track the remaining battery and e-liquid levels. Step up to the best that Geek Bar has to offer with the Geek Bar Meloso Max 9000 Tap here to learn more about Geek Bar Meloso Max 9000 by visitng the official Geek Bar website at http://www.geekbar.com/ .",http://getpop.co/cdn/shop/products/geek-bar-meloso-max-9000-apple-sunrise-device_1024x1024.jpg?v=1700510138,http://getpop.co/cdn/shop/products/geek-bar-meloso-max-9000-apple-sunrise-device_2048x2048.jpg?v=1700510138
hqd-cuvie-plus-coconut-grove,HQD Cuvie Plus,HQD Cuvie Plus,Coconut Grove,6611871891542,$11.99,TRUE,,,,,,coconut,iced tea,lemon,,,5%,1200,,https://getpop.co/products/hqd-cuvie-plus-coconut-grove,"1,200 puffs (5.0ml) HQD Cuvie Plus Ice Tea is delicious, refreshing, and pairs perfectly on a bright sunny day. We found this flavor to be just like a classic sweet iced tea with a very light touch of lemon. It's not too icy. In fact, there's very little ice at all. We highly recommend you give this a try, especially if you enjoy a flavor that's light and sweet. What's included: 1 HQD Cuvie Plus disposable device 5% salt nicotine Volume: 5.0ml (1,200 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine E-Liquid origin: China Device origin: China About HQD Cuvie Plus HQD Cuvie brings their e-liquid to a larger, longer-lasting device, filled with the same e-liquid flavors that made the HQD Cuvie a hit.",http://getpop.co/cdn/shop/products/hqd-cuvie-plus-coconut-grove-device_1024x1024.jpg?v=1628554915,http://getpop.co/cdn/shop/products/hqd-cuvie-plus-coconut-grove-device_2048x2048.jpg?v=1628554915
packspod-5000-banana-flambe,PacksPod 5000,,Banana Flambe (Arctic Banana),6863699673174,$9.99,,TRUE,TRUE,,TRUE,,banana,,,,,5%,5000,12,https://getpop.co/products/packspod-5000-banana-flambe,"Up to 5,000 puffs (12ml) Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your PacksPod 5000 rechargeable device. Packspod Banana Flambe is an extra sweet banana ice flavor. Banana Flambe is an apt name because it’s a punchy and full of banana, so it tastes like a banana dessert, almost like a chilled banana pudding or banana cream pie. Every Packspod 5000 features up to 5000 puffs and a rechargeable battery. There's only one reason for you to try a PacksPod: the flavor. We're blown away by the variety, quality, and unique set of flavors by PacksPod, brought by the team from Packwoods! What's included: 1 PacksPod 5000 rechargeable device 5% salt nicotine Volume: 12ml (5,000 puffs) Battery Capacity: 1400mAh Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine About PacksPod 5000 PacksPod 5000 is brought to you by the team from Packwoods. Tap here to check out the Packwoods website at https://www.packwoods.com/ .",http://getpop.co/cdn/shop/products/packspod-5000-banana-flambe-device_1024x1024.jpg?v=1689709809,http://getpop.co/cdn/shop/products/packspod-5000-banana-flambe-device_2048x2048.jpg?v=1689709809
packspod-5000-cucumber-menthol,PacksPod 5000,,Cucumber Menthol,6882901033046,$9.99,,TRUE,TRUE,,TRUE,,menthol,,,,,5%,5000,12,https://getpop.co/products/packspod-5000-cucumber-menthol,"Up to 5,000 puffs (12ml) Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your PacksPod 5000 rechargeable device. Flavor description coming soon! This flavor is part of the Limited Edition collection. Every Packspod 5000 features up to 5000 puffs and a rechargeable battery. There's only one reason for you to try a PacksPod: the flavor. We're blown away by the variety, quality, and unique set of flavors by PacksPod, brought by the team from Packwoods! What's included: 1 PacksPod 5000 rechargeable device 5% salt nicotine Volume: 12ml (5,000 puffs) Battery Capacity: 1400mAh Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine About PacksPod 5000 PacksPod 5000 is brought to you by the team from Packwoods. Tap here to check out the Packwoods website at https://www.packwoods.com/ .",http://getpop.co/cdn/shop/products/packspod-5000-cucumber-menthol-device_1024x1024.jpg?v=1700510127,http://getpop.co/cdn/shop/products/packspod-5000-cucumber-menthol-device_2048x2048.jpg?v=1700510127
hyde-n-bar-dragon-fruit-lemonade,Hyde N-Bar Recharge,Hyde,Dragon Fruit Lemonade,6777002426454,$7.99,TRUE,TRUE,,,TRUE,TRUE,fruit,lemon,,,,5%,4500,,https://getpop.co/products/hyde-n-bar-dragon-fruit-lemonade,"Up to 4,500 puffs Rechargeable via Micro USB cable (not included) Click or tap here for Micro USB cable to recharge your Hyde N-Bar Recharge. Hyde N-Bar Dragon Fruit Lemonade flavor description coming soon! The Hyde N Bar Recharge features a Nord-style shape and design. Fans not only love the flavor and performance, but also the distinctive duck bill mouthpiece. NOTE: the Hyde N Bar does not provide adjustable airflow What's included: 1 Hyde N-Bar Recharge rechargeable disposable device Micro USB Cable is not included 5% salt nicotine Volume: up to 4,500 puffs Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) E-Liquid origin: unknown Device origin: China About Hyde N-Bar Recharge The Hyde N-Bar is a Nord-style rechargeable device by Hyde, featuring a compact design and distinctive duck bill mouthpiece that's easy to grip. Packed with up to 4,500 puffs, this is another leap forward by Hyde in terms of quality and reliability. Tap here to check out the Hyde website at http://hydedisposables.com/ .",http://getpop.co/cdn/shop/products/hyde-n-bar-dragonfruit-lemonade-device_1024x1024.jpg?v=1661984975,http://getpop.co/cdn/shop/products/hyde-n-bar-dragonfruit-lemonade-device_2048x2048.jpg?v=1661984975
raz-tn9000-blue-raz-cotton-cloudz-1,RAZ TN9000,,Blue Raz Cotton Cloudz,6953946021974,$17.99,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,5%,9000,12,https://getpop.co/products/raz-tn9000-blue-raz-cotton-cloudz-1,"Powered by Geek Vape Up to 9,000 puffs (12ml) Adjustable Airflow Mesh Coil MEGA HQ Display with Battery and E-Liquid Indicators Rechargeable via USB Type-C cable (not included) Flavor description coming soon! The RAZ TN9000 features a mega HD display screen with battery and e-liquid indicators along with cool animations when vaping and recharging. Along with adjustable airflow and mesh coil, the RAZ TN9000 is a new class of device, powered by Geek Vape. What's included: 1 RAZ TN9000 rechargeable device USB Type-C Cable is not included 5% salt nicotine Volume: 12ml (up to 9,000 puffs) 650mAh rechargeable battery Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume)",http://getpop.co/cdn/shop/products/raz-tn9000-blue-raz-cotton-cloudz-box_1024x1024.jpg?v=1707662689,http://getpop.co/cdn/shop/products/raz-tn9000-blue-raz-cotton-cloudz-box_2048x2048.jpg?v=1707662689
hyde-n-bar-brazmallows,Hyde N-Bar Recharge,Hyde,Brazmallows,6696900198486,$7.99,TRUE,TRUE,,,TRUE,TRUE,candy,cotton candy,,,,5%,4500,,https://getpop.co/products/hyde-n-bar-brazmallows,"Up to 4,500 puffs Rechargeable via Micro USB cable (not included) Click or tap here for Micro USB cable to recharge your Hyde N-Bar Recharge. Hyde N-Bar Brazmallows is a new exotic addition to the Hyde family of flavors. We found this to be a very close relative of and terrific alternative to the classic blue razz ice. The addition of mallow to the blend adds a slightly sweet and creamy texture that's very subtle. The result is essentially a blue razz cotton candy or a blue razz soft gummy candy. The Hyde N Bar Recharge features a Nord-style shape and design. Fans not only love the flavor and performance, but also the distinctive duck bill mouthpiece. NOTE: the Hyde N Bar does not provide adjustable airflow What's included: 1 Hyde N-Bar Recharge rechargeable disposable device Micro USB Cable is not included 5% salt nicotine Volume: up to 4,500 puffs Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) E-Liquid origin: unknown Device origin: China About Hyde N-Bar Recharge The Hyde N-Bar is a Nord-style rechargeable device by Hyde, featuring a compact design and distinctive duck bill mouthpiece that's easy to grip. Packed with up to 4,500 puffs, this is another leap forward by Hyde in terms of quality and reliability. Tap here to check out the Hyde website at http://hydedisposables.com/ .",http://getpop.co/cdn/shop/products/hyde-n-bar-brazmallows-device_1024x1024.jpg?v=1641671632,http://getpop.co/cdn/shop/products/hyde-n-bar-brazmallows-device_2048x2048.jpg?v=1641671632
vgod-pod-1k-crisp-apple,VGOD Pod 1K,VGOD Pod 1K,Crisp Apple,6616339873878,$11.99,TRUE,,,,,,apple,sour apple,,,,5%,1000,4,https://getpop.co/products/vgod-pod-1k-crisp-apple,"This item has been discontinued by the manufacturer. Stay tuned for the new VGOD Pod 1500 Crisp Apple , coming soon! GetPop recommends STIG Crisp Apple Up to 1,000 puffs (4ml) NOTE: VGOD Pod 1K (5% nicotine) is the larger and improved version of the original STIG (6% nicotine) VGOD Pod 1K Crisp Apple is simply one of the best green apple flavors, featuring a lip-smacking sweet and sour apple. There is no ice in this flavor, just juicy green apple. The VGOD Pod 1K disposable device is the welcome and much overdue upgrade from the original STIG disposable device. We love the improved performance and reliability. All VGOD Pod 1K devices feature the high quality liquids made by VGOD SaltNic. What's included: 1 VGOD Pod 1K disposable device 5% salt nicotine Volume: 4ml (up to 1,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Nicotine (5.0%) Natural & Artificial Flavors Made in China About VGOD Pod 1K VGOD Pod 1K is the new, bigger, and better device from the team that brought the original STIG disposable device. If you already enjoy STIG, then you will love the new VGOD Pod 1K, which feature the same flavors made by VGOD SaltNic.",http://getpop.co/cdn/shop/products/vgod-pod-1k-crisp-apple-device_1024x1024.jpg?v=1628967600,http://getpop.co/cdn/shop/products/vgod-pod-1k-crisp-apple-device_2048x2048.jpg?v=1628967600
