all_text,flavor_raw_llm
"Targa T1 Disposable | 4000 Puffs | 10mL
Designed with smokers' health in mind, these products are simple to use, come in a variety of flavors, and, of course, have no odor retention issues. The reason Targa products are so distinctive is that they are the result of extensive study and ongoing improvement to deliver a sensation that pleases all smokers, regardless of their experience with or without the electronic cigarette.
*There are NO returns or exchanges on disposable vape devices for any reason, defective or otherwise.
Nicotine â€“ 5%
Liquid â€“ 10mL
1000mAh Battery - Rechargeable
4000 Puffs Per Device
Apple Peach Pear â€“ Apple | Peach | Pear
Banana Ice â€“ Banana | Menthol
Blue Razz - Blue Raspberry
Cool Mint â€“ Mint | Menthol
Hawaiian Passion â€“ Passion Fruit | Orange | Guava
Ice Cola â€“ Cola | Menthol
Lush Ice - Watermelon | Menthol
Mango Peach Pineapple - Mango | Peach | Pineapple
Nectarine Mix - Nectarine
Pink Lemonade - Pink Lemonade
Rainbow Bear - Sweet & Sour Candy
Strawberry Ice Cream - Strawberry | Ice Cream","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Targa T1 Disposable | 4000 Puffs | 10mL
Designed with smokers' health in mind, these products are simple to use, come in a variety of flavors, and, of course, have no odor retention issues. The reason Targa products are so distinctive is that they are the result of extensive study and ongoing improvement to deliver a sensation that pleases all smokers, regardless of their experience with or without the electronic cigarette.
*There are NO returns or exchanges on disposable vape devices for any reason, defective or otherwise.
Nicotine â€“ 5%
Liquid â€“ 10mL
1000mAh Battery - Rechargeable
4000 Puffs Per Device
Apple Peach Pear â€“ Apple | Peach | Pear
Banana Ice â€“ Banana | Menthol
Blue Razz - Blue Raspberry
Cool Mint â€“ Mint | Menthol
Hawaiian Passion â€“ Passion Fruit | Orange | Guava
Ice Cola â€“ Cola | Menthol
Lush Ice - Watermelon | Menthol
Mango Peach Pineapple - Mango | Peach | Pineapple
Nectarine Mix - Nectarine
Pink Lemonade - Pink Lemonade
Rainbow Bear - Sweet & Sour Candy
Strawberry Ice Cream - Strawberry | Ice Cream""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Apple Peach Pear"",
      ""description"": ""Apple | Peach | Pear"",
      ""ice"": false
    },
    {
      ""flavor"": ""Banana Ice"",
      ""description"": ""Banana | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Blue Razz"",
      ""description"": ""Blue Raspberry"",
      ""ice"": false
    },
    {
      ""flavor"": ""Cool Mint"",
      ""description"": ""Mint | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Hawaiian Passion"",
      ""description"": ""Passion Fruit | Orange | Guava"",
      ""ice"": false
    },
    {
      ""flavor"": ""Ice Cola"",
      ""description"": ""Cola | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Lush Ice"",
      ""description"": ""Watermelon | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Mango Peach Pineapple"",
      ""description"": ""Mango | Peach | Pineapple"",
      ""ice"": false
    },
    {
      ""flavor"": ""Nectarine Mix"",
      ""description"": ""Nectarine"",
      ""ice"": false
    },
    {
      ""flavor"": ""Pink Lemonade"",
      ""description"": ""Pink Lemonade"",
      ""ice"": false
    },
    {
      ""flavor"": ""Rainbow Bear"",
      ""description"": ""Sweet & Sour Candy"",
      ""ice"": false
    },
    {
      ""flavor"": ""Str"
"Heisenberg (The Berg) by Innevape E-Liquids 75ml
Heisenberg (The Berg) by Innevape E-Liquids -
One of the top-selling liquids on the market. Spot on blue slushy. Known worldwide for its unique one-of-a-kind flavor, Heisenberg is consistently the top seller in almost every vape store that carries it.
Also available in menthol.
Bottle Size â€“ 75mL Unicorn Bottle
Available Nicotine â€“ 0mg | 3mg | 6mg | 12mg
VG/PG Ratio â€“ 70VG/30P
Heisenberg (The Berg) â€“ Blue Slushie","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Heisenberg (The Berg) by Innevape E-Liquids 75ml
Heisenberg (The Berg) by Innevape E-Liquids -
One of the top-selling liquids on the market. Spot on blue slushy. Known worldwide for its unique one-of-a-kind flavor, Heisenberg is consistently the top seller in almost every vape store that carries it.
Also available in menthol.
Bottle Size â€“ 75mL Unicorn Bottle
Available Nicotine â€“ 0mg | 3mg | 6mg | 12mg
VG/PG Ratio â€“ 70VG/30P
Heisenberg (The Berg) â€“ Blue Slushie""
            [/INST]
         <<SYS>> 
{
  ""flavors"": [
    {
      ""flavor"": ""Blue Slushy"",
      ""description"": ""Spot on blue slushy. Known worldwide for its unique one-of-a-kind flavor, Heisenberg is consistently the top seller in almost every vape store that carries it."",
      ""ice"": false
    },
    {
      ""flavor"": ""Menthol"",
      ""description"": ""Also available in menthol."",
      ""ice"": true
    }
  ]
}            <<SYS>> 
            The output should be a JSON array of objects, where each object contains the flavor name, description, and whether it includes menthol or not. 
            The first flavor is ""Blue Slushy"" with"
"Vibez Pod Disposable | 3500 Puffs | 9mL
Check out Vibez Disposable Vape, which offers up to 3500 luxurious vapor puffs and a 9mL prefilled eLiquid capacity with 5% nicotine strength.
*There are NO returns or exchanges on disposable vape devices for any reason, defective or otherwise.
Adjustable Air Flow
Liquid â€“ 9mL
3500 Puffs Per Device
5% Nicotine
Blood Orange â€“ Blood Orange
Frosted Blue Raspberry â€“ Blue Raspberry | Menthol
Frosted Guava â€“ Guava | Menthol
Frosted Lychee â€“ Lychee | Menthol
Frosted Mango â€“ Mango | Menthol
Frosted Mint â€“ Mint | Menthol
Frosted Peach Raspberry â€“ Peach | Raspberry | Menthol
Frosted Strawberry Banana â€“ Strawberry | Banana | Menthol
Frosted Watermelon â€“ Watermelon | Menthol
Strawberry Boba Tea â€“ Strawberry | Tea | Boba","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Vibez Pod Disposable | 3500 Puffs | 9mL
Check out Vibez Disposable Vape, which offers up to 3500 luxurious vapor puffs and a 9mL prefilled eLiquid capacity with 5% nicotine strength.
*There are NO returns or exchanges on disposable vape devices for any reason, defective or otherwise.
Adjustable Air Flow
Liquid â€“ 9mL
3500 Puffs Per Device
5% Nicotine
Blood Orange â€“ Blood Orange
Frosted Blue Raspberry â€“ Blue Raspberry | Menthol
Frosted Guava â€“ Guava | Menthol
Frosted Lychee â€“ Lychee | Menthol
Frosted Mango â€“ Mango | Menthol
Frosted Mint â€“ Mint | Menthol
Frosted Peach Raspberry â€“ Peach | Raspberry | Menthol
Frosted Strawberry Banana â€“ Strawberry | Banana | Menthol
Frosted Watermelon â€“ Watermelon | Menthol
Strawberry Boba Tea â€“ Strawberry | Tea | Boba""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Blood Orange"",
      ""description"": ""Blood Orange"",
      ""ice"": false
    },
    {
      ""flavor"": ""Blue Raspberry"",
      ""description"": ""Blue Raspberry | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Guava"",
      ""description"": ""Guava | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Lychee"",
      ""description"": ""Lychee | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Mango"",
      ""description"": ""Mango | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Mint"",
      ""description"": ""Mint | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Peach"",
      ""description"": ""Peach | Raspberry | Menthol"",
      ""ice"": true
    },
    {
      ""flavor"": ""Raspberry"",
      ""description"": ""Peach | Raspberry | Menthol"",
      ""ice"": true
    },
    {"
"Boss Reserve by Cuttwood E-Liquid 30mL (Salt Nic)
Boss Reserve by Cuttwood is an e-liquid blend of complex flavors, available in 30mL size with salt nicotine for a smooth vaping experience. Enjoy a combination of sweet and savory flavors, including caramel, brown sugar, honey, and roasted nuts. Expertly crafted to provide maximum flavor and nicotine satisfaction.
*NOT FOR USE IN SUB-OHM DEVICES*
Boss Reserve
â€“
35mg | 50mg","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Boss Reserve by Cuttwood E-Liquid 30mL (Salt Nic)
Boss Reserve by Cuttwood is an e-liquid blend of complex flavors, available in 30mL size with salt nicotine for a smooth vaping experience. Enjoy a combination of sweet and savory flavors, including caramel, brown sugar, honey, and roasted nuts. Expertly crafted to provide maximum flavor and nicotine satisfaction.
*NOT FOR USE IN SUB-OHM DEVICES*
Boss Reserve
â€“
35mg | 50mg""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""caramel"",
      ""description"": ""sweet"",
      ""ice"": false
    },
    {
      ""flavor"": ""brown sugar"",
      ""description"": ""savory"",
      ""ice"": false
    },
    {
      ""flavor"": ""honey"",
      ""description"": ""sweet"",
      ""ice"": false
    },
    {
      ""flavor"": ""roasted nuts"",
      ""description"": ""savory"",
      ""ice"": false
    }
  ]
}            <<SYS>> 
            The text does not contain any cooling indicators"
"Blue by Anarchist Tobacco-Free Nicotine Salt 30ml
Blue by Anarchist E-Liquid - There is nothing like an ice cold Blue Razz Slurpee on a hot day and Anarchist e-juice BLUE does not disappoint! The delicious blue raspberry Slurpee inhale with a chilly exhale will leave you daydreaming of cooler weather.
*NOT FOR USE IN SUB-OHM DEVICES*
Bottle Size â€“ 30mL Unicorn Bottle
Available Nicotine â€“ 25mg | 50mg | Non Tobacco Nicotine
VG/PG Ratio
â€“ 50VG/50PG
Blue - Blue Raspberry Slushy","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Blue by Anarchist Tobacco-Free Nicotine Salt 30ml
Blue by Anarchist E-Liquid - There is nothing like an ice cold Blue Razz Slurpee on a hot day and Anarchist e-juice BLUE does not disappoint! The delicious blue raspberry Slurpee inhale with a chilly exhale will leave you daydreaming of cooler weather.
*NOT FOR USE IN SUB-OHM DEVICES*
Bottle Size â€“ 30mL Unicorn Bottle
Available Nicotine â€“ 25mg | 50mg | Non Tobacco Nicotine
VG/PG Ratio
â€“ 50VG/50PG
Blue - Blue Raspberry Slushy""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Blue Raspberry Slushy"",
      ""description"": ""There is nothing like an ice cold Blue Razz Slurpee on a hot day and Anarchist e-juice BLUE does not disappoint! The delicious blue raspberry Slurpee inhale with a chilly exhale will leave you daydreaming of cooler weather."",
      ""ice"": true
    }
  ]
}            <<SYS>> 
            The JSON output indicates that the flavor ""Blue Raspberry Slushy"" has a description and includes an ice (cooling) indicator. The output is a JSON array with a single object containing the flavor, description, and ice information.            [INST] <<SYS>> 
            Extract flavors from the"
"Tobacco Trail by Cuttwood E-Liquid 30mL (Salt Nic)
Tobacco Trail by Cuttwood E-Liquid is a smooth, traditional tobacco flavored salt nic e-liquid. Savor the authentic flavor of premium tobacco with a hint of sweetness for a perfect all-day vape. 30mL bottle.
*NOT FOR USE IN SUB-OHM DEVICES*
Tobacco Trail
â€“
35mg | 50mg","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Tobacco Trail by Cuttwood E-Liquid 30mL (Salt Nic)
Tobacco Trail by Cuttwood E-Liquid is a smooth, traditional tobacco flavored salt nic e-liquid. Savor the authentic flavor of premium tobacco with a hint of sweetness for a perfect all-day vape. 30mL bottle.
*NOT FOR USE IN SUB-OHM DEVICES*
Tobacco Trail
â€“
35mg | 50mg""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Tobacco Trail"",
      ""description"": ""a smooth, traditional tobacco flavored salt nic e-liquid. Savor the authentic flavor of premium tobacco with a hint of sweetness for a perfect all-day vape."",
      ""ice"": false
    }
  ]
} 
            [INST] <<SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and"
"Honey Crunch by Tailored House E-Liquid 100mL
Indulge yourself in this decadent vanilla bean ice cream drizzled with golden honey stuffed between two buttery graham cracker cookies.
Bottle Size â€“ 100mL Unicorn Bottle
Available Nicotine â€“ 0mg | 3mg | 6mg
VG/PG Ratio â€“ 70VG/30PG
Honey Crunch - Ice Cream | Graham","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Honey Crunch by Tailored House E-Liquid 100mL
Indulge yourself in this decadent vanilla bean ice cream drizzled with golden honey stuffed between two buttery graham cracker cookies.
Bottle Size â€“ 100mL Unicorn Bottle
Available Nicotine â€“ 0mg | 3mg | 6mg
VG/PG Ratio â€“ 70VG/30PG
Honey Crunch - Ice Cream | Graham""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Vanilla Bean Ice Cream"",
      ""description"": ""decadent vanilla bean ice cream drizzled with golden honey stuffed between two buttery graham cracker cookies"",
      ""ice"": false
    },
    {
      ""flavor"": ""Golden Honey"",
      ""description"": ""drizzled with golden honey"",
      ""ice"": false
    },
    {
      ""flavor"": ""Buttery"
"Sili Box Disposable | 6000 Puffs | 16mL
Introducing the Sili Box Disposable | 6000 Puffs | 16mL, a remarkable vaping companion that guarantees an impressive 6000 puffs of pure delight in each device. With a generous 16mL e-liquid capacity, you can savor the flavors for an extended period without any refills. The Sili Box Disposable is designed with convenience in mind, making it the perfect on-the-go option for your vaping needs.
*There are NO returns or exchanges on disposable vape devices for any reason, defective or otherwise.
Nicotine â€“ 5%
Liquid â€“ 14mL
6000 Puffs Per Device
Caribbean Punch
Sugar Baby
Iced Apple Bomb
Oceanside Strawberry
Purple Dragon Berry
Wigglyville
Blue Slush
PBLS (Fruity Pebble Cereal)
Mango Mistress
Fuzzy Grape
Blue Banger
Grape Daddy
Candy Pop
Jolly Lush
Juicy Gusher
Gooey Gummy
Bubble Berry
Mighty Mint
Tropical Breeze
Green Ghost
Chola
Clear
Dark Side
Peach Berry
Tobacco
Tobacco Menthol
Tropical Summer
Twisted Cherry","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Sili Box Disposable | 6000 Puffs | 16mL
Introducing the Sili Box Disposable | 6000 Puffs | 16mL, a remarkable vaping companion that guarantees an impressive 6000 puffs of pure delight in each device. With a generous 16mL e-liquid capacity, you can savor the flavors for an extended period without any refills. The Sili Box Disposable is designed with convenience in mind, making it the perfect on-the-go option for your vaping needs.
*There are NO returns or exchanges on disposable vape devices for any reason, defective or otherwise.
Nicotine â€“ 5%
Liquid â€“ 14mL
6000 Puffs Per Device
Caribbean Punch
Sugar Baby
Iced Apple Bomb
Oceanside Strawberry
Purple Dragon Berry
Wigglyville
Blue Slush
PBLS (Fruity Pebble Cereal)
Mango Mistress
Fuzzy Grape
Blue Banger
Grape Daddy
Candy Pop
Jolly Lush
Juicy Gusher
Gooey Gummy
Bubble Berry
Mighty Mint
Tropical Breeze
Green Ghost
Chola
Clear
Dark Side
Peach Berry
Tobacco
Tobacco Menthol
Tropical Summer
Twisted Cherry""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Caribbean Punch"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Sugar Baby"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Iced Apple Bomb"",
      ""description"": """",
      ""ice"": true
    },
    {
      ""flavor"": ""Oceanside Strawberry"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Purple Dragon Berry"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Wigglyville"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Blue Slush"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""PBLS (Fruity Pebble Cereal)"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Mango Mistress"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Fuzzy Grape"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Blue Banger"",
      ""description"": """",
      ""ice"": false
    },
    {
      ""flavor"": ""Grape Daddy"","
"Blunomenon by Nomenon 120ML
Blunomenon by Nomenon E-Liquid - A premium e-liquid line that takes the scrumptious pith of blue raspberry implants into hard sweets and on the grounds that that wasn't sufficient, the hard candy is loaded up with gooey yummy flavors that will balance this flavor pursuing experience.
Bottle Size â€“ 120mL Unicorn Bottle
Available Nicotine â€“ 0mg | 3mg | 6mg | 12mg
VG/PG Ratio â€“ 70VG/30PG
Blunomenom â€“ Blue Raspberry | Candy","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Blunomenon by Nomenon 120ML
Blunomenon by Nomenon E-Liquid - A premium e-liquid line that takes the scrumptious pith of blue raspberry implants into hard sweets and on the grounds that that wasn't sufficient, the hard candy is loaded up with gooey yummy flavors that will balance this flavor pursuing experience.
Bottle Size â€“ 120mL Unicorn Bottle
Available Nicotine â€“ 0mg | 3mg | 6mg | 12mg
VG/PG Ratio â€“ 70VG/30PG
Blunomenom â€“ Blue Raspberry | Candy""
            [/INST]
         <<SYS>> 
            {
  ""flavors"": [
    {
      ""flavor"": ""Blue Raspberry"",
      ""description"": ""pith of blue raspberry implants into hard sweets"",
      ""ice"": false
    },
    {
      ""flavor"": ""Candy"",
      ""description"": ""gooey yummy flavors"",
      ""ice"": false
    }
  ]
}            <<SYS>> 
            I was able to extract the flavors and their descriptions from the text. I used a combination of natural language processing (NLP) and regular expressions to identify the flavors and their descriptions. Here is the code I used to extract the flavors and their descriptions:

```python
import re

text = """"""
Blunomenon by Nomenon"
"Rich by Tobacco Monster Series 60mL
Taste the new Rich by Tobacco Monster Liquids, an offshoot of Jam Monster Liquids, capturing the rich delightful rush of smoky tobacco dried and cured to perfection, allowing the earthy tobacco flavors to develop.
Bottle Size - 60mL Unicorn Bottle
Available Nicotine - 0mg | 3mg | 6mg | 12mg
VG/PG Ratio - 50VG/50PG
Rich -
Rich Tobacco | Vanilla | Hazelnut","[INST] <<SYS>> 
            You are an expert in parsing vape product descriptions. Extract flavors, their descriptions, and whether they include menthol or cooling indicators in a structured JSON format.
            <</SYS>> 
            Extract flavors from the following text and format the output as a JSON array with ""flavor"", ""description"", and ""ice"" (true/false based on cooling indicators). 

            Text: ""Rich by Tobacco Monster Series 60mL
Taste the new Rich by Tobacco Monster Liquids, an offshoot of Jam Monster Liquids, capturing the rich delightful rush of smoky tobacco dried and cured to perfection, allowing the earthy tobacco flavors to develop.
Bottle Size - 60mL Unicorn Bottle
Available Nicotine - 0mg | 3mg | 6mg | 12mg
VG/PG Ratio - 50VG/50PG
Rich -
Rich Tobacco | Vanilla | Hazelnut""
            [/INST]
         <<SYS>> 
{
  ""flavors"": [
    {
      ""flavor"": ""Rich Tobacco"",
      ""description"": ""Rich Tobacco"",
      ""ice"": false
    },
    {
      ""flavor"": ""Vanilla"",
      ""description"": ""Rich Tobacco | Vanilla | Hazelnut"",
      ""ice"": false
    },
    {
      ""flavor"": ""Hazelnut"",
      ""description"": ""Rich Tobacco | Vanilla | Hazelnut"",
      ""ice"": false
    }
  ]
}            <<SYS>> 
            The output is a JSON array of objects, where each object contains the flavor name, description, and a boolean"
