,Unnamed: 0,title,link,all_text,CBD,TFN,Extract text
8,8,CraftBox V-Play 20K Puffs Disposable Vape,https://csvape.com/products/craftbox-v-play-20k-puffs-disposable-vape,"CraftBox V-Play 20K Puffs Disposable Vape
['Blueberry Grapefruit', 'Bluerazz Bash', 'Cherry Pop', 'Grape Escape', 'Merry Berry', 'Minty Thrill', 'Pineapple Punch', 'Strawberry Blowpop', 'Strawberry Fun-ta', 'Watermelon Breeze', 'Watermelon Sour Berry', 'WTF']
Introducing the V-Play 20K Puffs Disposable by CraftBox.
V-Play 20K Puffs Disposable Vape by CraftBox with 3 Retro Games & Child Lock.
Experience the world's first Vapetainment system with this latest innovation – the V-Play 20K Puffs Disposable. Prepare for an extraordinary journey brimming with excitement and satisfaction as you delve into the realm of vaping excellence:
Extended Capacity:

Delight in an ample 25ml E-Liquid reservoir, shattering the limits of traditional disposables. Revel in uninterrupted vaping pleasure, free from the hassle of constant refills.
Dual Mesh Coil:

Immerse your senses in a symphony of flavor and dense clouds, courtesy of this cutting-edge Dual Mesh Coil technology. Unlike anything you've experienced before, these dual coils ensure rapid heating and intensified flavor production, rivaling even the most elite vaping devices.
Long-lasting Power:

Empower your vaping sessions with an impressive 850mAh battery, granting you the freedom to indulge in extended journeys without compromise. Bid farewell to the hunt for charging ports as you vape throughout the day with unparalleled ease.
Customizable Airflow:

Tailor your vaping voyage to perfection with adjustable airflow settings, allowing you to sculpt your ideal draw. Whether you crave a tight, mouth-to-lung embrace or a liberating direct-to-lung inhale, the V-Play 20K Puffs Disposable empowers you to seize ultimate satisfaction.
Fast Charging:

Bid farewell to downtime and welcome rapid recharges with Type-C USB charging. Harnessing the latest in USB-C technology, this disposable vape ensures swift replenishment, granting you more time to savor the moment and less time waiting.
Safety Assurance:

Rest easy knowing this device comes equipped with child lock protection, safeguarding your vaping experience with unyielding security. Designed to thwart accidental activation, this feature provides peace of mind, particularly in households bustling with little ones or furry friends.
Remarkable Lifespan:

Prepare to be astounded by a staggering 20,000 puffs lifespan, setting the V-Play 20K Puffs Disposable leagues ahead of the competition. Experience unparalleled value and bid adieu to frequent replacements as you embark on an enduring vaping odyssey.
Vibrant Display:

Immerse yourself in a kaleidoscope of hues with a vivid 1.77-inch Colorful Display, enhancing your vaping escapades with every glance. Unlike mundane disposables, this device boasts a vibrant interface, showcasing vital information such as battery life, puff count, and selected settings with captivating clarity.
Beast Mode:

Unleash the beast within and elevate your vaping journey with a thrilling surge in airflow, flavor, and overall performance. Engage Beast mode with a simple press, amplifying vapor production and intensifying flavor profiles to exhilarating heights.
Vapetainment System:

Prepare to be dazzled as vaping transcends into a realm of entertainment with this groundbreaking Vapetainment system. Dive into a world of interactive features, customizable LED light displays, and yes, three playable retro games, transforming each vaping session into an electrifying spectacle of endless amusement and delight.
Diverse Flavors:

Indulge your palate with over 10 tantalizing flavors meticulously crafted to tantalize your taste buds. From timeless fruit blends like Pineapple Punch and Grape Escape to daring concoctions like ""WTF"" and Watermelon Sour Berry, such diverse flavor selection promises a vaping experience tailored to every whim and fancy.",UNKNOWN,UNKNOWN,unknown
12,12,CraftBox V-Touch 30k Puff Smart Disposable Vape,https://csvape.com/products/craftbox-v-touch-30k-puff-smart-disposable-vape,"CraftBox V-Touch 30k Puff Smart Disposable Vape
['Blueberry Watermelon', 'Cherry Storm', 'FN Fab', 'Gummylicious', 'Jolly Rancher', 'Menthol Mania', 'Midnight Madness', 'Pineapple Coconut Freeze', 'Sour Apple Ice', 'Peachy Peach', 'Spearmint Splash', 'Strawberry Banana', 'Strawberry Delight', 'Strawberry Mango', 'Triple Berry Blast', 'Mango Mama']
The V-Touch emerges as an exceptional option for vapers who crave a fusion of cutting-edge technology and ease of use. This advanced device features seamless app syncing, phone call functionality, and smart technology that retains data even when the e-liquid is depleted, providing an unparalleled vaping experience.
Bluetooth Functionality

Call Functionality

Built-in Audio Player

Find My Phone Feature

Interactive Touch Screen

Games and Entertainment

Dedicated Selfie Button

Integrated Speaker & Mic

Three Vape Modes

Workout Tracker

Social Media & Text Integration

The V-Touch’s advanced oscillation technology ensures smooth and consistent vapor production, while its superior flavor enhancement guarantees rich and satisfying hits with every puff. Ideal for both tech aficionados and vaping enthusiasts, the V-Touch is more than just a vape—it’s a technological wonder that transforms your vaping experience.
Blueberry Watermelon

- A juicy mix of ripe blueberries and refreshing watermelon.
Cherry Storm

- Bold, tart cherries with a stormy twist.
FN Fab

- A fantastic blend of exotic fruits for a fabulous vape.
Gummylicious

- The sweet and chewy taste of your favorite gummy candies.
Mango Mama

- A tropical burst of luscious mangoes.
Menthol Mania

- A cool, invigorating menthol experience.
Midnight Madness

- A mysterious and dark berry blend.
Peachy Peach

- The juicy and sweet essence of ripe peaches.
Pineapple Coconut Freeze

- A tropical blend of pineapple and coconut with a frosty finish.
Sour Apple Ice

- Tangy green apple with an icy chill.
Spearmint Splash

- Refreshing and crisp spearmint.
Strawberry Banana

- The classic combination of sweet strawberries and creamy bananas.
Strawberry Delight

- A delightful burst of fresh strawberries.
Strawberry Mango

- A harmonious blend of strawberries and tropical mangoes.
Triple Berry Blast

- A powerful explosion of mixed berries.
Explore the CraftBox V-Touch 30K Puff Smart Disposable Vape and elevate your vaping experience with its blend of advanced technology and exceptional flavor. Crafted to surpass all expectations, the V-Touch is designed for those who demand the best.",UNKNOWN,UNKNOWN,unknown
24,24,CraftBox V-Play 20K Puffs Disposable Vape,https://csvape.com/products/craftbox-v-play-20k-puffs-disposable-vape,"CraftBox V-Play 20K Puffs Disposable Vape
['Blueberry Grapefruit', 'Bluerazz Bash', 'Cherry Pop', 'Grape Escape', 'Merry Berry', 'Minty Thrill', 'Pineapple Punch', 'Strawberry Blowpop', 'Strawberry Fun-ta', 'Watermelon Breeze', 'Watermelon Sour Berry', 'WTF']
Introducing the V-Play 20K Puffs Disposable by CraftBox.
V-Play 20K Puffs Disposable Vape by CraftBox with 3 Retro Games & Child Lock.
Experience the world's first Vapetainment system with this latest innovation – the V-Play 20K Puffs Disposable. Prepare for an extraordinary journey brimming with excitement and satisfaction as you delve into the realm of vaping excellence:
Extended Capacity:

Delight in an ample 25ml E-Liquid reservoir, shattering the limits of traditional disposables. Revel in uninterrupted vaping pleasure, free from the hassle of constant refills.
Dual Mesh Coil:

Immerse your senses in a symphony of flavor and dense clouds, courtesy of this cutting-edge Dual Mesh Coil technology. Unlike anything you've experienced before, these dual coils ensure rapid heating and intensified flavor production, rivaling even the most elite vaping devices.
Long-lasting Power:

Empower your vaping sessions with an impressive 850mAh battery, granting you the freedom to indulge in extended journeys without compromise. Bid farewell to the hunt for charging ports as you vape throughout the day with unparalleled ease.
Customizable Airflow:

Tailor your vaping voyage to perfection with adjustable airflow settings, allowing you to sculpt your ideal draw. Whether you crave a tight, mouth-to-lung embrace or a liberating direct-to-lung inhale, the V-Play 20K Puffs Disposable empowers you to seize ultimate satisfaction.
Fast Charging:

Bid farewell to downtime and welcome rapid recharges with Type-C USB charging. Harnessing the latest in USB-C technology, this disposable vape ensures swift replenishment, granting you more time to savor the moment and less time waiting.
Safety Assurance:

Rest easy knowing this device comes equipped with child lock protection, safeguarding your vaping experience with unyielding security. Designed to thwart accidental activation, this feature provides peace of mind, particularly in households bustling with little ones or furry friends.
Remarkable Lifespan:

Prepare to be astounded by a staggering 20,000 puffs lifespan, setting the V-Play 20K Puffs Disposable leagues ahead of the competition. Experience unparalleled value and bid adieu to frequent replacements as you embark on an enduring vaping odyssey.
Vibrant Display:

Immerse yourself in a kaleidoscope of hues with a vivid 1.77-inch Colorful Display, enhancing your vaping escapades with every glance. Unlike mundane disposables, this device boasts a vibrant interface, showcasing vital information such as battery life, puff count, and selected settings with captivating clarity.
Beast Mode:

Unleash the beast within and elevate your vaping journey with a thrilling surge in airflow, flavor, and overall performance. Engage Beast mode with a simple press, amplifying vapor production and intensifying flavor profiles to exhilarating heights.
Vapetainment System:

Prepare to be dazzled as vaping transcends into a realm of entertainment with this groundbreaking Vapetainment system. Dive into a world of interactive features, customizable LED light displays, and yes, three playable retro games, transforming each vaping session into an electrifying spectacle of endless amusement and delight.
Diverse Flavors:

Indulge your palate with over 10 tantalizing flavors meticulously crafted to tantalize your taste buds. From timeless fruit blends like Pineapple Punch and Grape Escape to daring concoctions like ""WTF"" and Watermelon Sour Berry, such diverse flavor selection promises a vaping experience tailored to every whim and fancy.",UNKNOWN,UNKNOWN,unknown
26,26,Chris Brown CB15K 15000 Puff Disposable Vape w/ Wireless Charging,https://csvape.com/products/chris-brown-cb15k-disposable-vape,"Chris Brown CB15K 15000 Puff Disposable Vape w/ Wireless Charging
['Blue Razz', 'Blue Slurpie', 'Blueberry Watermelon', 'Cherry Cola', 'Cherry Lemon', 'Cool Mint', 'Dragonfruit Lemonade', 'Georgian Peach', 'Grape Blow Pop', 'Grape Razz', 'Miami Mint', 'Passionfruit Pineapple', 'Pineapple Lemonade', 'Sour Apple Raspberry', 'Strawmelon', 'Strawberry Kiwi', 'Strawberry Watermelon', 'Strawberry Whip']
Chris Brown CB15K Disposable Vape

represents the pinnacle of vaping innovation, blending cutting-edge technology with unparalleled artistry. Designed for both functionality and style, this device is perfect for those who demand the best in their vaping experience.
Wireless Charging:

Say goodbye to tangled cables and enjoy the convenience of wireless charging. Keep your device powered effortlessly, ensuring you're always ready to vape.
Integrated Battery Display:

Stay informed with the integrated battery display, which shows your device's charge levels at a glance. Plus, the animated wings blink as you inhale, adding a touch of Chris Brown's artistic flair.
Exclusive Collector’s Card:

Each CB15K includes a unique character card designed by Chris Brown, making every vape a piece of art and a collectible item.
Advanced Vaping Technology:

Adjustable Airflow Intake:

Customize your vaping experience with the adjustable airflow intake, allowing you to control the intensity of each draw.
Reinforced Mesh Coil:

Enjoy better taste and thicker clouds thanks to the reinforced mesh coil, enhancing every flavor to its fullest potential.
Apple Gummies

Blue Razz

Blue Slurpie

Blueberry Watermelon

Cherry Cola

Cherry Lemon

Cool Mint

Dragonfruit Lemonade

Georgian Peach

Grape Blow Pop

Grape Razz

Miami Mint

Passionfruit Pineapple

Pina Colada

Pineapple Lemonade

Sour Apple Raspberry

Strawberry Banana

Strawberry Kiwi

Strawberry Watermelon

Strawberry Whip

Strawmelon

From the first inhale to the last, the
Chris Brown CB15K

ensures a pure and intense taste sensation with every draw. Elevate your vaping journey with this stylish and technologically advanced disposable vape, and immerse yourself in a world of rich, satisfying flavors.
The Chris Brown Vape

—where innovation meets artistry.
Dive into a luxurious assortment of long-lasting flavors, each crafted to provide a unique and satisfying experience:",UNKNOWN,UNKNOWN,unknown
27,27,Nebula Universe 18K Puffs Disposable Device,https://csvape.com/products/nebula-universe-18k-puffs-disposable-device,"Nebula Universe 18K Puffs Disposable Device
['Banana Ice', 'Black Ice', 'Blue Razz', 'Clear', 'Double Apple', 'Grape Energy', 'Ice Mint', 'Kiwi Strawberry', 'Lush Ice', 'Passionfruit Mango', 'Strawberry Banana', 'Strawberry Watermelon', 'Tobacco']
Nebula Universe 18K Puffs Disposable Vape Device

Elevate your vaping experience with the Nebula Universe 18K Puffs Disposable Vape Device. This cutting-edge disposable vape is meticulously designed to maximize puff capacity, providing an impressive 18,000 puffs to ensure prolonged enjoyment without the hassle of frequent replacements.
Extended Puff Potential:

Enjoy the convenience of a long-lasting device that delivers consistent performance and satisfaction, allowing you to vape longer without interruption.
Smart Temperature Control:

Equipped with advanced temperature control technology, the 850mAh battery regulates and maintains a safe, consistent vaping experience, protecting both the device and the user.
Flavor-Rich:

Pre-filled with premium flavors, each puff from the Nebula Universe offers a rich, satisfying flavor profile, making every inhale a delight for your taste buds.
Effortless Operation:

Designed for simplicity, the Nebula Universe requires no buttons or refillable cartridges. Just inhale to activate and enjoy a seamless, straightforward vaping experience.
Sleek & Compact Design:

Combining technology with style, the Nebula Universe features a sleek, compact design that is both visually appealing and easy to carry, fitting comfortably in your pocket or hand.
Leak-Resistance:

Built with leak-resistant technology, this device ensures your vaping experience remains mess-free and consistent, giving you peace of mind with every use.
Enhanced Safety:

Prioritizing your safety, the Nebula Universe incorporates intelligent chipsets that monitor usage and temperature, providing a secure and enjoyable vaping encounter.
Discover the future of vaping with the Nebula Universe 18K Puffs Disposable Vape Device – where extended enjoyment, flavor richness, and advanced safety come together in one sleek, compact package.",UNKNOWN,UNKNOWN,unknown
31,31,CraftBox V-Touch 30k Puff Smart Disposable Vape,https://csvape.com/products/craftbox-v-touch-30k-puff-smart-disposable-vape,"CraftBox V-Touch 30k Puff Smart Disposable Vape
['Blueberry Watermelon', 'Cherry Storm', 'FN Fab', 'Gummylicious', 'Jolly Rancher', 'Menthol Mania', 'Midnight Madness', 'Pineapple Coconut Freeze', 'Sour Apple Ice', 'Peachy Peach', 'Spearmint Splash', 'Strawberry Banana', 'Strawberry Delight', 'Strawberry Mango', 'Triple Berry Blast', 'Mango Mama']
The V-Touch emerges as an exceptional option for vapers who crave a fusion of cutting-edge technology and ease of use. This advanced device features seamless app syncing, phone call functionality, and smart technology that retains data even when the e-liquid is depleted, providing an unparalleled vaping experience.
Bluetooth Functionality

Call Functionality

Built-in Audio Player

Find My Phone Feature

Interactive Touch Screen

Games and Entertainment

Dedicated Selfie Button

Integrated Speaker & Mic

Three Vape Modes

Workout Tracker

Social Media & Text Integration

The V-Touch’s advanced oscillation technology ensures smooth and consistent vapor production, while its superior flavor enhancement guarantees rich and satisfying hits with every puff. Ideal for both tech aficionados and vaping enthusiasts, the V-Touch is more than just a vape—it’s a technological wonder that transforms your vaping experience.
Blueberry Watermelon

- A juicy mix of ripe blueberries and refreshing watermelon.
Cherry Storm

- Bold, tart cherries with a stormy twist.
FN Fab

- A fantastic blend of exotic fruits for a fabulous vape.
Gummylicious

- The sweet and chewy taste of your favorite gummy candies.
Mango Mama

- A tropical burst of luscious mangoes.
Menthol Mania

- A cool, invigorating menthol experience.
Midnight Madness

- A mysterious and dark berry blend.
Peachy Peach

- The juicy and sweet essence of ripe peaches.
Pineapple Coconut Freeze

- A tropical blend of pineapple and coconut with a frosty finish.
Sour Apple Ice

- Tangy green apple with an icy chill.
Spearmint Splash

- Refreshing and crisp spearmint.
Strawberry Banana

- The classic combination of sweet strawberries and creamy bananas.
Strawberry Delight

- A delightful burst of fresh strawberries.
Strawberry Mango

- A harmonious blend of strawberries and tropical mangoes.
Triple Berry Blast

- A powerful explosion of mixed berries.
Explore the CraftBox V-Touch 30K Puff Smart Disposable Vape and elevate your vaping experience with its blend of advanced technology and exceptional flavor. Crafted to surpass all expectations, the V-Touch is designed for those who demand the best.",UNKNOWN,UNKNOWN,unknown
39,39,"Jam Monster, Monster Bars 3500 Puff Disposable Device",https://csvape.com/products/jam-monster-monster-bars-5-disposable-device,"Jam Monster, Monster Bars 3500 Puff Disposable Device
['Banana Ice', 'Blueberry', 'Blueberry Raspberry Lemon', 'Blueberry Raspberry Lemon Ice', 'Mango Peach Guava', 'Mango Peach Guava Ice', 'Mint', 'Mixed Berry', 'Mixed Berry Ice', 'Passionfruit Orange Guava', 'Passionfruit Orange Guava Ice', 'Smooth Tobacco', 'Strawberry', 'Strawberry Banana', 'Strawberry Banana Ice', 'Strawberry Custard', 'Strawberry Kiwi Pomegranate', 'Strawberry Kiwi Pomegranate Ice', 'Vanilla Custard', 'Blackberry', 'PB & Banana', 'PB & Grape']
Jam Monster, Monster Bars 5% Disposable Device has a 1000mah battery with a 6ml juice capacity with approximately 3500 puffs.",0,0,Assume nicotine
43,43,Melli Disposable Botanical Diffuser,https://csvape.com/products/melli-disposable-botanical-diffuser-2-pack,"Melli Disposable Botanical Diffuser
['Balance', 'Chill Out', 'Power Up', 'In Focus']
Melli Disposable Botanical Diffuser is a revolutionary disposable device, made from natural ingredients and refreshing flavor combinations makes this device hard to put down!
Balance:

Cinnamon Aura - Apricot + Fig
Chill Out:
Peppermint Aura - Prickly Pear, Lime + Marjoram
Power Up:
Mandarin - Ginseng, OJ + Lemon Balm
In Focus:

﻿ Jasmine Aura - Vanilla + Geranium Rose",UNKNOWN,UNKNOWN,unknown
66,66,Innokin Innobar 7000 Puff Disposable Device,https://csvape.com/products/innokin-innobar-7000-puff-disposable-device,"Innokin Innobar 7000 Puff Disposable Device
['Blue Razz', 'Kiwi Passionfruit Guava', 'Mixed Berries', 'Peach Mango Watermelon', 'Pineapple Coconut', 'Pink Lemonade', 'Spearmint', 'Strawberry Kiwi', 'Strawberry Raspberry Cherry', 'Tropical Gummy', 'Watermelon Bubblegum', 'Watermelon Ice']
Introducing the Innokin Innobar 7000 Puff Disposable Device, offering up to 7000 puffs of flavor-packed vaping. This device features a 1.2 mesh coil, 650mAh battery, 16ml eliquid capacity, and a USB-C for fast recharging. Enjoy delicious flavor and long-lasting performance, packed into a convenient, disposable device.",UNKNOWN,UNKNOWN,unknown
3,3,"MY SHISHA 3MG FREEBASE 10,000 PUFFS DISPOSABLE VAPE",https://csvape.com/products/my-shisha-10000-puffs-disposable-vape-freebase,"MY SHISHA 3MG FREEBASE 10,000 PUFFS DISPOSABLE VAPE
['Black Ice', 'Blueberry Mist', 'Berry Bomb', 'Bubblegum', 'Blueberry Kiwi', 'Cherry Blueberry', 'Cherry Cola', 'Double Apple', 'Cherry Candy', 'Grape Aloe', 'Lemon Mint', 'Strawberry Smooth', 'Ice Tea Peach', 'Watermelon Ice', 'Cuba Cream']
Experience the ultimate convenience with My Shisha – the perfect solution for those pressed for time or seeking a refreshing alternative to traditional shisha. Say goodbye to the hassle of charging and the monotony of your regular vape – My Shisha offers a hassle-free experience that saves you time and effort, all while delivering your favorite flavors in perfect balance.
This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
Vegetable Glycerin, Propylene Glycol, Freebase Nicotine, Natural & Artificial Flavors
Provides up to 10,000 Puffs
Available in 3mg freebase nicotine strength
Ergonomic and premium build for comfortable vaping
Includes a mouthpiece silicone cover for dust protection
Offers a selection of 13 delicious flavors to suit every palate",0,0,Freebase Nicotine
