,tag,title,link,sale_price,regular_price,image_urls,compare_price,flavor_list,nicotine_strengths,bottle_sizes,stock_status,description,warning_description,package_contents_description,ingredients_description,key_features_description,flavors_description,specifications_description,performance_description,disposable_description,why_description,innovation_description,preference_description,enjoyment_description,compatibility_description,coil_description,battery_description,puffs_description,nicotine_description,e_liquid_description,prefilled_description,devices_description,airflow_description,heating_element_description,operation_description,charging_description,screen_description,disposable,rechargeable,battery,mesh,usb,adjustable,all_text
45,esco-bars-ripe-5-disposable-device,Esco Bars Ripe 5% Disposable Device,https://csvape.com/products/esco-bars-ripe-5-disposable-device,$10.00,$26.95,"http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_400x.jpg?v=1643935822 400w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_500x.jpg?v=1643935822 500w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_600x.jpg?v=1643935822 600w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_700x.jpg?v=1643935822 700w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_800x.jpg?v=1643935822 800w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_900x.jpg?v=1643935822 900w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_1000x.jpg?v=1643935822 1000w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_1100x.jpg?v=1643935822 1100w,http://csvape.com/cdn/shop/products/EscoBarsRipe5_DisposableDevice_1200x.jpg?v=1643935822 1200w",Regular price$30.00,"['Blue Razzleberry Pomegranate', 'Fiji Melons Ice', 'Kiwi Dragon Berry', 'Peachy Mango Pineapple', 'Peachy Mango Pineapple Ice', 'Straw Nanners Ice', 'Tropical Rainbow Blast']",[],[],Sold out,"Esco Bars Ripe 5% Disposable Device has a 6ml juice capacity, 1200mah battery and 2500 puff count.",,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,"Esco Bars Ripe 5% Disposable Device
['Blue Razzleberry Pomegranate', 'Fiji Melons Ice', 'Kiwi Dragon Berry', 'Peachy Mango Pineapple', 'Peachy Mango Pineapple Ice', 'Straw Nanners Ice', 'Tropical Rainbow Blast']
Esco Bars Ripe 5% Disposable Device has a 6ml juice capacity, 1200mah battery and 2500 puff count."
82,daze-fusion-series-kiwi-passionfruit-guava-iced,7 Daze Fusion Series Kiwi Passionfruit Guava ICED,https://csvape.com/products/daze-fusion-series-kiwi-passionfruit-guava-iced,$18.00,$29.95,"http://csvape.com/cdn/shop/products/DazeFusionSeriesKiwiPassionfruitGuavaIced_400x.png?v=1676406009 400w,http://csvape.com/cdn/shop/products/DazeFusionSeriesKiwiPassionfruitGuavaIced_500x.png?v=1676406009 500w,http://csvape.com/cdn/shop/products/DazeFusionSeriesKiwiPassionfruitGuavaIced_600x.png?v=1676406009 600w",Regular price$30.00,"['0mg', '3mg', '6mg', '100ml']",[],[],In stock,"Daze Fusion Series Kiwi Passionfruit Guava Iced is ripe kiwi, juicy passionfruit, and sweet guava with a touch of ice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Daze Fusion Series Kiwi Passionfruit Guava ICED
['0mg', '3mg', '6mg', '100ml']
Daze Fusion Series Kiwi Passionfruit Guava Iced is ripe kiwi, juicy passionfruit, and sweet guava with a touch of ice."
577,juice-head-cake-batter,Juice Head Cake Batter,https://csvape.com/products/juice-head-cake-batter,$14.95,$29.95,http://csvape.com/cdn/shop/files/juiceheaddsrt-1_400x.jpg?v=1683746003 400w,Regular price$30.00,"['3mg', '6mg', '100ml']",[],[],In stock,Cake Batter by Juice head is a sweet cake batter mixed with a dollop of whipped cream.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juice Head Cake Batter
['3mg', '6mg', '100ml']
Cake Batter by Juice head is a sweet cake batter mixed with a dollop of whipped cream."
79,kuz-9000-puff-disposable-device,KUZ 9000 Puff Disposable Device,https://csvape.com/products/kuz-9000-puff-disposable-device,From $16.00,$32.95,http://csvape.com/cdn/shop/files/cbf0d1ac54684e418922625b0df63d9f_400x.png?v=1698178758 400w,Regular price$30.00,"['Cola Icy', 'Crystal Clear', 'Mighty Mint', 'Naked']",[],[],Sold out,"Inside the KUZ Disposable, you'll find an integrated rechargeable battery and a generously-sized vape juice capacity. With the ability to deliver up to 9000 puffs per device and 5% nicotine. What sets the KUZ apart is its illuminated LED display. This display not only adds a touch of modern style but also provides essential information at a glance. You can easily monitor both the current battery level and the remaining vape juice, eliminating any guesswork. Say goodbye to unexpected surprises – the KUZ keeps you informed.",,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,"KUZ 9000 Puff Disposable Device
['Cola Icy', 'Crystal Clear', 'Mighty Mint', 'Naked']
Inside the KUZ Disposable, you'll find an integrated rechargeable battery and a generously-sized vape juice capacity. With the ability to deliver up to 9000 puffs per device and 5% nicotine. What sets the KUZ apart is its illuminated LED display. This display not only adds a touch of modern style but also provides essential information at a glance. You can easily monitor both the current battery level and the remaining vape juice, eliminating any guesswork. Say goodbye to unexpected surprises – the KUZ keeps you informed."
605,silverback-harambe,Silverback Harambe,https://csvape.com/products/silverback-harambe,$18.00,$26.00,,Regular price$30.00,"['30mg (3.0%)', '50mg', '30ml']",[],[],In stock,"Beard Vape Co. presents to you their No. 05. This brings the best of both worlds together with a freshly baked cheesecake, along with a nice spread of strawberry bits. If it's been difficult to find a great fruit dessert flavor, No. 05 is the one for you! The masterminds at Beard Vape Co. don't miss a beat when it comes to the creation of an excellent flavor! This ejuice is packed in a 30ml chubby gorilla bottle and is available in 30mg (3%) and 50mg (5%).
We recommend using this ejuice for pod systems only. Salt nicotine ejuices are NOT for sub-ohm use.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silverback Harambe
['30mg (3.0%)', '50mg', '30ml']
Beard Vape Co. presents to you their No. 05. This brings the best of both worlds together with a freshly baked cheesecake, along with a nice spread of strawberry bits. If it's been difficult to find a great fruit dessert flavor, No. 05 is the one for you! The masterminds at Beard Vape Co. don't miss a beat when it comes to the creation of an excellent flavor! This ejuice is packed in a 30ml chubby gorilla bottle and is available in 30mg (3%) and 50mg (5%).
We recommend using this ejuice for pod systems only. Salt nicotine ejuices are NOT for sub-ohm use."
359,reds-apple-iced-salt-e-liquid,7 Daze Salt Apple Iced,https://csvape.com/products/reds-apple-iced-salt-e-liquid,$17.00,$23.00,"http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_400x.jpg?v=1608685089 400w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_500x.jpg?v=1608685089 500w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_600x.jpg?v=1608685089 600w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_700x.jpg?v=1608685089 700w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_800x.jpg?v=1608685089 800w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_900x.jpg?v=1608685089 900w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_1000x.jpg?v=1608685089 1000w,http://csvape.com/cdn/shop/products/daze_salt_apple_iced_30ml_1100x.jpg?v=1608685089 1100w",Regular price$30.00,"['30mg (3.0%)', '50mg', '30ml']",[],[],In stock,"Reds Salt delivers their iced version of their flavors, to allow vapers to enjoy the coolness of koolada while letting their senses roam with the feeling of freezing their freshly picked apples. If you are looking for an all-day-vape, Reds Apple Ice is a first choice for many. Blending just the right amount of ice with a delicious red apple keeps things simplified. Packaged in a 30ml chubby gorilla bottle, and available in both 3% (30mg) and a stronger 5% (50mg) gives a variety of nicotine levels for many to try! Enjoy a bottle for yourself today! Salt Nicotine ejuices are to be used in pod systems only!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Daze Salt Apple Iced
['30mg (3.0%)', '50mg', '30ml']
Reds Salt delivers their iced version of their flavors, to allow vapers to enjoy the coolness of koolada while letting their senses roam with the feeling of freezing their freshly picked apples. If you are looking for an all-day-vape, Reds Apple Ice is a first choice for many. Blending just the right amount of ice with a delicious red apple keeps things simplified. Packaged in a 30ml chubby gorilla bottle, and available in both 3% (30mg) and a stronger 5% (50mg) gives a variety of nicotine levels for many to try! Enjoy a bottle for yourself today! Salt Nicotine ejuices are to be used in pod systems only!"
212,the-salty-one-apple,The Salty One Apple,https://csvape.com/products/the-salty-one-apple,$17.00,$22.95,http://csvape.com/cdn/shop/files/beardsaltyoneappledonutcerealmilk_300x.jpg?v=1684711067 300w,Regular price$30.00,"['30mg (3%)', '50mg (5%)', '30ml']",[],[],In stock,"The Salty One Apple by The Beard Vape Co is a delicious combination of a warm glazed apple donut and creamy milk. Its perfect balance of sweet and savory will make your taste buds rejoice with every puff.
Salt nicotine ejuices are for pod systems ONLY and should not be used in sub-ohm applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Salty One Apple
['30mg (3%)', '50mg (5%)', '30ml']
The Salty One Apple by The Beard Vape Co is a delicious combination of a warm glazed apple donut and creamy milk. Its perfect balance of sweet and savory will make your taste buds rejoice with every puff.
Salt nicotine ejuices are for pod systems ONLY and should not be used in sub-ohm applications."
597,beard-vape-co-no-00,Beard Vape Co. No. 00,https://csvape.com/products/beard-vape-co-no-00,$18.00,$26.00,"http://csvape.com/cdn/shop/products/beard_no.00_400x.jpg?v=1608684315 400w,http://csvape.com/cdn/shop/products/beard_no.00_500x.jpg?v=1608684315 500w,http://csvape.com/cdn/shop/products/beard_no.00_600x.jpg?v=1608684315 600w,http://csvape.com/cdn/shop/products/beard_no.00_700x.jpg?v=1608684315 700w,http://csvape.com/cdn/shop/products/beard_no.00_800x.jpg?v=1608684315 800w,http://csvape.com/cdn/shop/products/beard_no.00_900x.jpg?v=1608684315 900w,http://csvape.com/cdn/shop/products/beard_no.00_1000x.jpg?v=1608684315 1000w,http://csvape.com/cdn/shop/products/beard_no.00_1100x.jpg?v=1608684315 1100w",Regular price$30.00,"['0mg', '3mg', '6mg', '60ml']",[],[],In stock,"Beard Vape Co has introduced their No. 00 to the market with allowing the excellent experience between sweet tobacco and cappuccino! Crafted by experts to give the best balance of both worlds, it allows customers to taste whatâ€™s great! Blended with their 80/20 Vg and PG ratio, it is built to cater to both flavor chasers and cloud chasers. If youâ€™re looking for a delicious Tobacoccino, this is a definite first pick for you! Filled in a 60ml glass dropper bottle for an excellent long lasting all-day vape. Pick yourself up a bottle of No. 00 today!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beard Vape Co. No. 00
['0mg', '3mg', '6mg', '60ml']
Beard Vape Co has introduced their No. 00 to the market with allowing the excellent experience between sweet tobacco and cappuccino! Crafted by experts to give the best balance of both worlds, it allows customers to taste whatâ€™s great! Blended with their 80/20 Vg and PG ratio, it is built to cater to both flavor chasers and cloud chasers. If youâ€™re looking for a delicious Tobacoccino, this is a definite first pick for you! Filled in a 60ml glass dropper bottle for an excellent long lasting all-day vape. Pick yourself up a bottle of No. 00 today!"
37,the-puff-brands-hotbox-7500-disposable,The Puff Brands Hotbox 7500 Puff Disposable Device,https://csvape.com/products/the-puff-brands-hotbox-7500-disposable,$11.95,$24.95,"http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_400x.webp?v=1709953260 400w,http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_500x.webp?v=1709953260 500w,http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_600x.webp?v=1709953260 600w,http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_700x.webp?v=1709953260 700w,http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_800x.webp?v=1709953260 800w,http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_900x.webp?v=1709953260 900w,http://csvape.com/cdn/shop/files/HotboxDisposableVape7500PuffsStrawberryAppleIce_1024x1024_739e8df3-fa01-4397-8068-eafefd86e8cd_1000x.webp?v=1709953260 1000w",Regular price$30.00,"['Aloe Grape', 'Black Ice', 'Blue Razz Cherry Lime', 'Blue Slushee Ice', 'Clear', 'Crisp Menthol', 'Fuji Apple Strawberry Nectarine', 'Gummy', 'Ice Cream Cake', 'Lush Ice', 'Peach Mango Pineapple', 'Strawberry Apple Ice', 'Strawberry Apple Watermelon', 'Strawberry Rainbow Snowcone', 'Strawberry Pineapple Coconut', 'Strawberry Watermelon Bubblegum', 'Strawberry Watermelon Ice', 'Tobacco', 'Tropical Slushee', 'Watermelon Slushee', 'White Gummy Ice', 'White Peach Razz']",[],[],Sold out,"The Hotbox Disposable Vape is a 7500 puff disposable vape featuring a mesh coil system and paired with 5% synthetic nicotine. This all new propriety mesh coil design allows for the purest and strongest flavor production out of any other disposable currently on the market. The Hotbox is a compact, lightweight, and portable system that allows users to puff away without having to worry about anything. Pre-filled with 16.0mL of Synthetic Nicotine and available in multiple flavor profiles, this is the perfect on-the-go device. Each Hotbox Disposable has an integrated 700mAh rechargeable battery and lasts for up to 7500 puffs.
Hotbox Disposable Vape 7500 Puffs

1-Qty Hotbox Lanyard
1-Qty Hotbox Type C USB Charging Cable","This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",1-Qty,,"Disposable Pod Device
Integrated 700mAh Rechargeable Battery
USB Type C Port Rapid Charging - USB Type C cable included with every Hotbox
Lanyard Hook for easy carrying - Lanyard included with every Hotbox
All New Mesh Coil – Intense Flavor Production
7500 puffs per Device
Pre-Filled with 16mL of Synthetic Nicotine Salt E-Liquid
Salt Nicotine: 5%
Pre-Charged – Simply Puff on the Device to Activate
Compact, Lightweight, and Portable","Aloe Grape
Black Ice
Blue Slushee Ice
Clear
Crisp Menthol
Gummy
Lush Ice
Strawberry Apple Ice
Strawberry Rainbow Snow Cone
Strawberry Watemelon Ice
Tropical Slushee
White Peach Razz
Ice Cream Cake
Tobacco
White Gummy Ice
Strawberry Watermelon Bubblegum
Watermelon Slushee",,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,,"The Puff Brands Hotbox 7500 Puff Disposable Device
['Aloe Grape', 'Black Ice', 'Blue Razz Cherry Lime', 'Blue Slushee Ice', 'Clear', 'Crisp Menthol', 'Fuji Apple Strawberry Nectarine', 'Gummy', 'Ice Cream Cake', 'Lush Ice', 'Peach Mango Pineapple', 'Strawberry Apple Ice', 'Strawberry Apple Watermelon', 'Strawberry Rainbow Snowcone', 'Strawberry Pineapple Coconut', 'Strawberry Watermelon Bubblegum', 'Strawberry Watermelon Ice', 'Tobacco', 'Tropical Slushee', 'Watermelon Slushee', 'White Gummy Ice', 'White Peach Razz']
The Hotbox Disposable Vape is a 7500 puff disposable vape featuring a mesh coil system and paired with 5% synthetic nicotine. This all new propriety mesh coil design allows for the purest and strongest flavor production out of any other disposable currently on the market. The Hotbox is a compact, lightweight, and portable system that allows users to puff away without having to worry about anything. Pre-filled with 16.0mL of Synthetic Nicotine and available in multiple flavor profiles, this is the perfect on-the-go device. Each Hotbox Disposable has an integrated 700mAh rechargeable battery and lasts for up to 7500 puffs.
Hotbox Disposable Vape 7500 Puffs

1-Qty Hotbox Lanyard
1-Qty Hotbox Type C USB Charging Cable
This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.
Disposable Pod Device
Integrated 700mAh Rechargeable Battery
USB Type C Port Rapid Charging - USB Type C cable included with every Hotbox
Lanyard Hook for easy carrying - Lanyard included with every Hotbox
All New Mesh Coil – Intense Flavor Production
7500 puffs per Device
Pre-Filled with 16mL of Synthetic Nicotine Salt E-Liquid
Salt Nicotine: 5%
Pre-Charged – Simply Puff on the Device to Activate
Compact, Lightweight, and Portable
Aloe Grape
Black Ice
Blue Slushee Ice
Clear
Crisp Menthol
Gummy
Lush Ice
Strawberry Apple Ice
Strawberry Rainbow Snow Cone
Strawberry Watemelon Ice
Tropical Slushee
White Peach Razz
Ice Cream Cake
Tobacco
White Gummy Ice
Strawberry Watermelon Bubblegum
Watermelon Slushee"
578,custard-monster-salts-blueberry,Custard Monster Salts Blueberry,https://csvape.com/products/custard-monster-salts-blueberry,$17.00,$22.95,"http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_400x.jpg?v=1608691282 400w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_500x.jpg?v=1608691282 500w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_600x.jpg?v=1608691282 600w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_700x.jpg?v=1608691282 700w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_800x.jpg?v=1608691282 800w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_900x.jpg?v=1608691282 900w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_1000x.jpg?v=1608691282 1000w,http://csvape.com/cdn/shop/products/custard_monster_salt_blueberry_1100x.jpg?v=1608691282 1100w",Regular price$30.00,"['24mg (2.4%)', '48mg (4.8%)', '30ml']",[],[],In stock,"Custard Monster Series by Monster Vape Labs Introduces another flavorful juice, Blueberry Custard. Freshly picked blueberries blended into a rich creamy sweet custard cream. Dessert fans all over will be pleased with the end results of this flavor. This ejuice is packaged in a 30ml chubby gorilla bottle and is available in nicotine levels of 24mg (2.4%) and 48mg (4.8%).
Salt nicotine ejuices are for pod systems ONLY and should not be used in sub-ohm applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Custard Monster Salts Blueberry
['24mg (2.4%)', '48mg (4.8%)', '30ml']
Custard Monster Series by Monster Vape Labs Introduces another flavorful juice, Blueberry Custard. Freshly picked blueberries blended into a rich creamy sweet custard cream. Dessert fans all over will be pleased with the end results of this flavor. This ejuice is packaged in a 30ml chubby gorilla bottle and is available in nicotine levels of 24mg (2.4%) and 48mg (4.8%).
Salt nicotine ejuices are for pod systems ONLY and should not be used in sub-ohm applications."
