tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
geek-bar-pulse-15000-puff-disposable,Geek Bar Pulse 15000 Puff Disposable Vape,False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/geek-bar-pulse-15000-puff-disposable
geek-bar-pulse-x-25k-puff-disposable-vape,Geek Bar Pulse X 25000 Puff Disposable Vape,True,True,False,True,True,True,False,False,False,False,False,https://csvape.com/products/geek-bar-pulse-x-25k-puff-disposable-vape
smok-spaceman-prism-20000-puffs-disposable-vape,"SPACEMAN PRISM 20,000 PUFFS DISPOSABLE VAPE",False,False,False,False,True,False,True,False,False,False,False,https://csvape.com/products/smok-spaceman-prism-20000-puffs-disposable-vape
my-shisha-10000-puffs-disposable-vape-freebase,"MY SHISHA 3MG FREEBASE 10,000 PUFFS DISPOSABLE VAPE",False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/my-shisha-10000-puffs-disposable-vape-freebase
flum-mello-20000-puff-disposable-vape,FLUM Mello 20000 Puff Disposable Vape,False,False,False,False,True,True,False,False,True,True,False,https://csvape.com/products/flum-mello-20000-puff-disposable-vape
geek-bar-skyview-25000-puff-disposable-vape,Geek Bar Skyview 25000 Puff Disposable Vape,True,False,False,False,True,True,True,False,False,False,False,https://csvape.com/products/geek-bar-skyview-25000-puff-disposable-vape
lost-mary-mt15000-disposable-vape,LOST MARY MT15000 TURBO DISPOSABLE VAPE,False,False,False,False,True,True,False,True,False,False,False,https://csvape.com/products/lost-mary-mt15000-disposable-vape
the-puff-brands-hotbox-luxe-12000-puff-disposable,The Puff Brands Hotbox LUXE 12000 Puff Disposable,True,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/the-puff-brands-hotbox-luxe-12000-puff-disposable
craftbox-v-play-20k-puffs-disposable-vape,CraftBox V-Play 20K Puffs Disposable Vape,True,True,False,False,True,True,False,False,False,False,False,https://csvape.com/products/craftbox-v-play-20k-puffs-disposable-vape
vape-gang-mega-20000-puffs-disposable-vape,"Vape Gang MEGA 20,000 Puffs Disposable Vape",False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/vape-gang-mega-20000-puffs-disposable-vape
lost-mary-mo20000-pro-5-disposable-device,Lost Mary MO20000 Pro Disposable Vape,False,False,False,False,True,True,False,False,True,True,False,https://csvape.com/products/lost-mary-mo20000-pro-5-disposable-device
