tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
FUMYTECH-Hookah-Air-Replacement-Pod-Cartridge-Pa-p,FUMYTECH Hookah Air Replacement Pod Cartridge - Pack of 2,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/FUMYTECH-Hookah-Air-Replacement-Pod-Cartridge-Pa-p/fmt-hok20.htm
Asmodus-Blank-Bar-Pod-Cartridge-Pack-of-3-p,Asmodus Blank Bar Pod Cartridge - Pack of 3,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Asmodus-Blank-Bar-Pod-Cartridge-Pack-of-3-p/asm-pod10.htm
GeekVape-Tsunami-Reborn-Z-RDA-p,GeekVape Tsunami Reborn Z RDA,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/GeekVape-Tsunami-Reborn-Z-RDA-p/gv-tsz10.htm
7-Daze-Mates-Replacement-Pods-p,7Daze Mates Replacement Pods,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/7-Daze-Mates-Replacement-Pods-p/sda-dis20.htm
Innokin-VCAP-Cartridge-for-Innokin-Trine-Vape-Kit-p,Innokin VCAP Cartridge,False,False,False,False,False,False,False,False,False,False,False,https://www.myvaporstore.com/Innokin-VCAP-Cartridge-for-Innokin-Trine-Vape-Kit-p/ink-trn20.htm
Uwell-Whirl-S-Tank-Part-p,Uwell Whirl S Tank Part,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Uwell-Whirl-S-Tank-Part-p/uwc-whs30.htm
RELX-Pod-Pro-Infinity-2-p,RELX Flavor Pods - Pack of 3,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/RELX-Pod-Pro-Infinity-2-p/rlx-pro80.htm
Aspire-Nautilus-3S-Tank-p,Aspire Nautilus 3S Tank,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Aspire-Nautilus-3S-Tank-p/ap-nat3s.htm
Innokin-ZYON-Pod-Cartridge-p,Innokin ZYON Pod Cartridge,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Innokin-ZYON-Pod-Cartridge-p/ink-zyo20.htm
Innokin-Kroma-Nova-Pod-Cartridge-p,Innokin Kroma Nova Pod Cartridge,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Innokin-Kroma-Nova-Pod-Cartridge-p/ink-kno20.htm
Innokin-PZP-Replacement-Coil-Pack-of-3-p,Innokin PZP Replacement Coil - Pack of 3,False,False,False,False,False,False,False,False,False,False,False,https://www.myvaporstore.com/Innokin-PZP-Replacement-Coil-Pack-of-3-p/ink-pzp10.htm
Innokin-Ares-Finale-RTA-Tank-p,Innokin Ares Finale RTA Tank,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Innokin-Ares-Finale-RTA-Tank-p/ink-are40.htm
Vaporesso-Luxe-Q-3-0ml-Pod-Cartridge-Pack-of-2-p,Vaporesso Luxe Q Series 3.0ml Pod Cartridge,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Vaporesso-Luxe-Q-3-0ml-Pod-Cartridge-Pack-of-2-p/vpes-luq30.htm
GeekVape-Soul-Pod-Replacement-Cartridge-p,GeekVape Soul Pod Replacement Cartridge - Pack of 2,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/GeekVape-Soul-Pod-Replacement-Cartridge-p/gv-sou20.htm
GeekVape-B100-Boost-Pro-2-Replacement-Cartridge-p,GeekVape Boost Pro 2 Replacement Cartridge - Pack of 2,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/GeekVape-B100-Boost-Pro-2-Replacement-Cartridge-p/gv-bpo40.htm
GeekVape-Aegis-Boost-Pod-Cartridge-p,GeekVape Aegis Boost Pod Cartridge,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/GeekVape-Aegis-Boost-Pod-Cartridge-p/gv-boo30.htm
VooPoo-PnP-X-DTL-Pod-Tank-p,VooPoo PnP-X DTL Pod Tank,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/VooPoo-PnP-X-DTL-Pod-Tank-p/vop-dag40.htm
VooPoo-PnP-X-Series-Replacement-Coil-p,VooPoo PnP-X Series Replacement Coil - Pack of 5,False,False,False,False,False,False,False,False,False,False,False,https://www.myvaporstore.com/VooPoo-PnP-X-Series-Replacement-Coil-p/vop-dag30.htm
Smok-Nord-GT-Replacement-Empty-Cartridge-Pack-of-p,Smok Nord GT Replacement Empty Cartridge - Pack of 3,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/Smok-Nord-GT-Replacement-Empty-Cartridge-Pack-of-p/sm-nog20.htm
GeekVape-N-Series-Replacement-Cartridge-Pack-of-p,GeekVape N Series Replacement Cartridge - Pack of 2,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/GeekVape-N-Series-Replacement-Cartridge-Pack-of-p/gv-ano20.htm
Galaxy-Gas-Nitrous-Oxide-2-2L-N2O-Charger-Tank-p,Galaxy Gas Nitrous Oxide 2.2L - N2O Charger Tank,False,False,False,False,False,False,False,False,False,False,False,https://www.myvaporstore.com/Galaxy-Gas-Nitrous-Oxide-2-2L-N2O-Charger-Tank-p/gal-gas10.htm
Joye-EVIO-Grip-Replacement-Pod-Cartridge-Pack-of-p,Joye EVIO Grip Replacement Pod Cartridge - Pack of 2,False,False,False,False,False,False,False,False,False,False,False,https://www.myvaporstore.com/Joye-EVIO-Grip-Replacement-Pod-Cartridge-Pack-of-p/joye-evg20.htm
GeekVape-Peak-Pod-Replacement-Cartridge-Pack-of-p,GeekVape Peak Pod Replacement Cartridge - Pack of 2,False,False,False,False,False,True,False,False,False,False,False,https://www.myvaporstore.com/GeekVape-Peak-Pod-Replacement-Cartridge-Pack-of-p/gv-pak20.htm
