title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
JELLY BEAR - POD MONSTER SALTS - 60ML,FIND BRAND,JELLY BEAR - POD MONSTER SALTS - 60ML,$11.99,"Shop Jelly Bear by Pod Monster Salts, a nicotine salt blend infused with notes of sweetly saccharine gummy bears that will delight the taste buds.
JELLY BEAR - POD MONSTER SALTS - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 20mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",60mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/jelly-bear-pod-monster-salts
WHITE GUMMY ICE - POD JUICE SALTS X RAZ E-LIQUID - 30ML,POD JUICE,WHITE GUMMY ICE - POD JUICE SALTS X RAZ E-LIQUID - 30ML,$10.99,"Shop White Gummy Ice by Pod Juice Salts x RAZ, capturing the delectable flavor of sweet pineapple and a healthy serving of menthol for a frigid nicotine salt.
WHITE GUMMY ICE - POD JUICE SALTS X RAZ E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 20mg
• 35mg
• 55mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt,USA,https://www.elementvape.com/white-gummy-ice-pod-juice-raz-salts
STRAW WATERMELON BUBBLEGUM ICE - POD JUICE SALTS X RAZ E-LIQUID - 30ML,POD JUICE,STRAW WATERMELON BUBBLEGUM ICE - POD JUICE SALTS X RAZ E-LIQUID - 30ML,$10.99,"Check out Straw Watermelon Bubblegum Ice by Pod Juice Salts x RAZ, a nicotine salt creation of sweet strawberry bubblegum and ripened summertime watermelons.
STRAW WATERMELON BUBBLEGUM ICE - POD JUICE SALTS X RAZ E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 20mg
• 35mg
• 55mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt,USA,https://www.elementvape.com/straw-watermelon-bubblegum-ice-pod-juice-raz-salts
STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML,POD JUICE,STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML,$10.99,"Discover Strawberry Glazed Donut by Pod Juice Salts x RAZ, featuring sweet strawberries, creamy icing glaze, and freshly baked donuts in nicotine salt form.
STRAWBERRY GLAZED DONUT - POD JUICE SALTS X RAZ E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salt
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 20mg
• 35mg
• 55mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salt,USA,https://www.elementvape.com/strawberry-glazed-donut-pod-juice-raz-salts
WHITE GUMMY ICE - POD JUICE X RAZ E-LIQUID - 100ML,POD JUICE,WHITE GUMMY ICE - POD JUICE X RAZ E-LIQUID - 100ML,$13.99,,,,,,,https://www.elementvape.com/white-gummy-ice-pod-juice-raz
STRAWBERRY LOLLY - POD JUICE X RAZ E-LIQUID - 100ML,POD JUICE,STRAWBERRY LOLLY - POD JUICE X RAZ E-LIQUID - 100ML,$13.99,"Discover Strawberry Lolly by Pod Juice x RAZ, featuring a sweet and satisfying strawberry lollipop that will delight the taste buds with vibrant flavor.
STRAWBERRY LOLLY - POD JUICE X RAZ E-LIQUID - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-lolly-pod-juice-raz
PINK BURST CHEW - POD JUICE X RAZ E-LIQUID - 100ML,POD JUICE,PINK BURST CHEW - POD JUICE X RAZ E-LIQUID - 100ML,$13.99,"Shop Pink Burst Chew by Pod Juice x RAZ, recreating a delicious strawberry candy chew colored in a soft pastel pink that will awaken the senses.
PINK BURST CHEW - POD JUICE X RAZ E-LIQUID - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
• Collaboration between RAZ E-Liquids and Pod Juice
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/pink-burst-chew-pod-juice-raz
SOUR APPLE BUBBLEGUM - BLVK BUBBA SALTS - 30ML,FIND BRAND,SOUR APPLE BUBBLEGUM - BLVK BUBBA SALTS - 30ML,$10.99,"Check out Sour Apple Bubblegum by BLVK Bubba Salts, capturing the vibrant flavors of sour green apples with chewy bubblegum and a splash of menthol.
SOUR APPLE BUBBLEGUM - BLVK BUBBA SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/sour-apple-bubblegum-blvk-bubba-salts
MELON BUBBLEGUM - BLVK BUBBA SALTS - 30ML,FIND BRAND,MELON BUBBLEGUM - BLVK BUBBA SALTS - 30ML,$10.99,"Shop Melon Bubblegum by BLVK Bubba Salts, featuring notes of delectable cantaloupe set into a bubblegum chew, followed with a splash of menthol.
MELON BUBBLEGUM - BLVK BUBBA SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/melon-bubblegum-blvk-bubba-salts
GRAPE BUBBLEGUM - BLVK BUBBA SALTS - 30ML,FIND BRAND,GRAPE BUBBLEGUM - BLVK BUBBA SALTS - 30ML,$10.99,"Discover Grape Bubblegum by BLVK Bubba Salts, combining notes of sweet bubblegum and sweet table grapes with a splash of refreshing menthol.
GRAPE BUBBLEGUM - BLVK BUBBA SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/grape-bubblegum-blvk-salts
