Unnamed: 0,Brand,Product,SkuNumber,Price,Description,E-liquid contents,Puffs per Device,Flavor,Coil,Name Change,Master Case Qty,Vibration Notifications,Display,Display_Description,Nicotine_Levels,Power_Modes,Dual_Tank,Adjustable_Airflow,Battery_Type,Power_Mode,Internal_Features,External_Features,Country_of_Assembly,Nic_level_1,Nic_level_2,Nic_level_3,Iced_Variable,Nic_Free,TFN,Product_Type
0,Flonq,Flonq Max Smart Fruity Fusion 2% Sampler,55040,$34.99 ,This 2% nicotine strength fruity Flonq Max Smart sampler pack offers a discounted bundle price on 3 top-selling Flonq flavors,14ml,10000,,Made with Mesh Coil,,,,True,LCD Screen with e-Juice and Battery Indicators,2 PERCENT,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Disposable System
1,EBCREATE,BC5000 Sampler Pack,51349,$34.99 ,"The EBDesign BC5000 includes 3 best-selling vape flavors: Triple Berry Ice, Strawlemon Ice, and Peach Mango Watermelon. This discounted offer gives vapers a wide variety of flavors to satisfy any palate. Each BC5000 EBCREATE disposable vape contains +5000 puffs and have a 40mg nicotine strength.\nBrowse more disposable vape flavors\n*Flavors\/Options in Sampler Products are subject to change due to inventory restrictions\n\n"", ""category"": ""Disposables - EB5000"", ""url"": ""https://mipod.com/products/elf-bar-bc5000-sampler-pack"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/files/ebcreate-bc5000_aug23_sampler-image_1024x1024.png?v=1692370542"", ""image"": ""https://mipod.com/cdn/shop/files/ebcreate-bc5000_aug23_sampler-image_1024x1024.png?v=1692370542"", ""name"": ""Elf Bar BC5000 Vape Sampler Pack"", ""width"": 1024, ""height"": 1024 } }",,,,,,,,False,,40 MG,,False,False,,,,,,,,,True,0,0,Disposable System
2,Beard Vape Co,Fifty Bar Fruit Sampler Pack,55543,$39.99 ,,16ml,6500,The Fifty Bar fruit vape flavor sampler provides three top-selling Fifty Bar fruity flavors at one low price. This discounted bundle includes,,,,,False,,50 MG,,False,False,400mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Disposable System
3,Lost Mary,Lost Mary MO5000 Sampler Pack,53359,$39.99 ,,10ml,5000,The Lost Mary MO5000 disposable vape sampler pack comes with three top-selling MO5000 vape flavors at one low price. This sampler includes,Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,False,0,0,Disposable System
4,Flonq,Flonq Max Smart Decadent Nicotine-Free Sampler,55036,$34.99 ,"This Nicotine-Free, fruit-flavored Flonq Max Smart sampler pack offers a discounted bundle price on 3 top-selling Flonq flavors",14ml,10000,,Made with Mesh Coil,,,,True,LCD Screen with e-Juice and Battery Indicators,0 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,False,1,0,Disposable System
5,Flonq,Flonq Max Smart Decadent 2% Sampler,55037,$34.99 ,"This 2% nicotine strength, dessert-themed Flonq Max Smart sampler pack offers a discounted bundle price on 3 top-selling Flonq flavors",14ml,10000,,Made with Mesh Coil,,,,True,LCD Screen with e-Juice and Battery Indicators,2 PERCENT,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Disposable System
6,Flonq,Flonq Max Smart Decadent 5% Sampler,55038,$34.99 ,This dessert-themed Flonq Max Smart sampler pack offers a discounted bundle price on 3 top-selling Flonq flavors,14ml,10000,,Made with Mesh Coil,,,,True,LCD Screen with e-Juice and Battery Indicators,5 PERCENT,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Disposable System
7,RabBeats,RabBeats RC10000 Vape Sampler Pack,54495,$39.99 ,"The RabBeats RC10000 vape sampler pack includes 3 best-selling vape flavors: Grape Cherry, Watermelon Ice, and Lemon Lime. This discounted offer gives vapers a wide variety of RabBeats flavors to try at a lower cost. Each RC10000 disposable vape contains +10000 puffs, 18ml of vape juice, a 50mg nicotine strength and includes new anti-burn technology.\nBrowse more disposable vape flavors\n*Flavors\/Options in Sampler Products are subject to change due to inventory restrictions\n\n"", ""category"": ""Disposables - RabBeats RC10000"", ""url"": ""https://mipod.com/products/rabbeats-rc1000-sampler-pack"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/files/rabbeats-rc10000-SEP23_sampler-image_1024x1024.png?v=1696611877"", ""image"": ""https://mipod.com/cdn/shop/files/rabbeats-rc10000-SEP23_sampler-image_1024x1024.png?v=1696611877"", ""name"": ""RabBeats RC10000 Disposable Vape Sampler Bundle Pack"", ""width"": 1024, ""height"": 1024 } }",18.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Disposable System
8,Flum,UT Bar Sampler Pack,53892,$39.99 ,,10ml,6000,The UT Bar vape sampler pack provides three top-selling UT Bar flavors at a discounted price. This bundle includes,,,,,False,,50 MG,,False,False,550mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Disposable System
9,Funky Republic,Funky Lands Ti7000 Sampler Pack,53360,$34.99 ,,12.8ml,7000,The Funky Republic Ti7000 vape sampler pack includes,QUAQ Coil Technology,Funky Lands Ti7000 Sampler Pack,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Disposable System
10,VaporLax,Draco Sampler Pack,51538,$49.99 ,"\n\nThe VaporLax Draco disposable vape sampler includes 4 of the top-selling flavors: Strawberry Cream, Mango Dragonfruit, Luscious (Watermelon), and Citrus Lemonade. This discounted offer lets vapers try a wide variety of flavors at one low price. All Draco vapes contain 16mL of tobacco-free nicotine vape juice and have a 50mg nicotine strength.\n\nBrowse more disposable vape flavors\n\n*Flavors\/Options in Sampler Products are subject to change due to inventory restrictions\n \n"", ""category"": ""Disposables - Draco"", ""url"": ""https://mipod.com/products/draco-sampler-pack"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/draco-sampler-image_1024x1024.png?v=1638812274"", ""image"": ""https://mipod.com/cdn/shop/products/draco-sampler-image_1024x1024.png?v=1638812274"", ""name"": ""VaporLax Draco Disposable Vape Sampler"", ""width"": 1024, ""height"": 1024 } }",16.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,Synthetic,Disposable System
